phase,profile,horizon_h,subset,carreiro_availability,pairs,gained,lost,net_hits
test,A,1,all,complete,1399,0,0,0
test,A,1,all,partial,16,0,0,0
test,A,1,all,fully_missing,524,0,0,0
test,A,1,level_ge_7m,complete,144,0,0,0
test,A,1,level_ge_7m,partial,16,0,0,0
test,A,1,level_ge_7m,fully_missing,76,0,0,0
test,A,2,all,complete,1397,0,3,-3
test,A,2,all,partial,16,0,0,0
test,A,2,all,fully_missing,523,0,2,-2
test,A,2,level_ge_7m,complete,143,0,1,-1
test,A,2,level_ge_7m,partial,16,0,0,0
test,A,2,level_ge_7m,fully_missing,77,0,0,0
test,A,3,all,complete,1395,3,2,1
test,A,3,all,partial,16,0,0,0
test,A,3,all,fully_missing,522,1,4,-3
test,A,3,level_ge_7m,complete,142,1,0,1
test,A,3,level_ge_7m,partial,16,0,0,0
test,A,3,level_ge_7m,fully_missing,78,0,2,-2
test,A,4,all,complete,1394,5,4,1
test,A,4,all,partial,16,0,0,0
test,A,4,all,fully_missing,521,1,1,0
test,A,4,level_ge_7m,complete,141,2,3,-1
test,A,4,level_ge_7m,partial,16,0,0,0
test,A,4,level_ge_7m,fully_missing,79,0,0,0
test,A,5,all,complete,1393,7,10,-3
test,A,5,all,partial,16,0,0,0
test,A,5,all,fully_missing,520,3,4,-1
test,A,5,level_ge_7m,complete,140,5,6,-1
test,A,5,level_ge_7m,partial,16,0,0,0
test,A,5,level_ge_7m,fully_missing,80,3,1,2
test,A,6,all,complete,1392,11,23,-12
test,A,6,all,partial,16,0,0,0
test,A,6,all,fully_missing,519,1,4,-3
test,A,6,level_ge_7m,complete,140,2,13,-11
test,A,6,level_ge_7m,partial,15,0,0,0
test,A,6,level_ge_7m,fully_missing,81,0,1,-1
test,A,7,all,complete,1391,19,12,7
test,A,7,all,partial,16,1,0,1
test,A,7,all,fully_missing,518,7,4,3
test,A,7,level_ge_7m,complete,140,6,2,4
test,A,7,level_ge_7m,partial,14,1,0,1
test,A,7,level_ge_7m,fully_missing,82,0,0,0
test,A,8,all,complete,1390,15,12,3
test,A,8,all,partial,16,0,0,0
test,A,8,all,fully_missing,517,8,4,4
test,A,8,level_ge_7m,complete,140,1,3,-2
test,A,8,level_ge_7m,partial,13,0,0,0
test,A,8,level_ge_7m,fully_missing,83,4,0,4
test,A,9,all,complete,1389,31,18,13
test,A,9,all,partial,16,0,1,-1
test,A,9,all,fully_missing,516,10,9,1
test,A,9,level_ge_7m,complete,140,6,3,3
test,A,9,level_ge_7m,partial,12,0,1,-1
test,A,9,level_ge_7m,fully_missing,84,6,0,6
test,A,10,all,complete,1388,27,21,6
test,A,10,all,partial,16,0,0,0
test,A,10,all,fully_missing,515,6,7,-1
test,A,10,level_ge_7m,complete,140,5,4,1
test,A,10,level_ge_7m,partial,11,0,0,0
test,A,10,level_ge_7m,fully_missing,85,4,0,4
test,A,11,all,complete,1387,30,23,7
test,A,11,all,partial,16,1,0,1
test,A,11,all,fully_missing,514,10,21,-11
test,A,11,level_ge_7m,complete,140,2,1,1
test,A,11,level_ge_7m,partial,10,0,0,0
test,A,11,level_ge_7m,fully_missing,86,0,4,-4
test,A,12,all,complete,1386,34,18,16
test,A,12,all,partial,16,0,0,0
test,A,12,all,fully_missing,513,9,3,6
test,A,12,level_ge_7m,complete,140,3,2,1
test,A,12,level_ge_7m,partial,9,0,0,0
test,A,12,level_ge_7m,fully_missing,87,3,1,2
test,B,1,all,complete,1400,0,0,0
test,B,1,all,partial,16,0,0,0
test,B,1,all,fully_missing,524,2,0,2
test,B,1,level_ge_7m,complete,144,0,0,0
test,B,1,level_ge_7m,partial,16,0,0,0
test,B,1,level_ge_7m,fully_missing,76,0,0,0
test,B,2,all,complete,1398,0,1,-1
test,B,2,all,partial,16,0,0,0
test,B,2,all,fully_missing,523,1,1,0
test,B,2,level_ge_7m,complete,143,0,1,-1
test,B,2,level_ge_7m,partial,16,0,0,0
test,B,2,level_ge_7m,fully_missing,77,1,0,1
test,B,3,all,complete,1396,1,1,0
test,B,3,all,partial,16,0,0,0
test,B,3,all,fully_missing,522,3,0,3
test,B,3,level_ge_7m,complete,142,0,0,0
test,B,3,level_ge_7m,partial,16,0,0,0
test,B,3,level_ge_7m,fully_missing,78,0,0,0
test,B,4,all,complete,1395,4,6,-2
test,B,4,all,partial,16,0,0,0
test,B,4,all,fully_missing,521,1,1,0
test,B,4,level_ge_7m,complete,141,3,5,-2
test,B,4,level_ge_7m,partial,16,0,0,0
test,B,4,level_ge_7m,fully_missing,79,1,0,1
test,B,5,all,complete,1394,7,7,0
test,B,5,all,partial,16,0,0,0
test,B,5,all,fully_missing,520,5,1,4
test,B,5,level_ge_7m,complete,140,4,2,2
test,B,5,level_ge_7m,partial,16,0,0,0
test,B,5,level_ge_7m,fully_missing,80,3,0,3
test,B,6,all,complete,1393,13,24,-11
test,B,6,all,partial,16,0,1,-1
test,B,6,all,fully_missing,519,5,5,0
test,B,6,level_ge_7m,complete,140,4,14,-10
test,B,6,level_ge_7m,partial,15,0,1,-1
test,B,6,level_ge_7m,fully_missing,81,1,3,-2
test,B,7,all,complete,1392,13,13,0
test,B,7,all,partial,16,0,1,-1
test,B,7,all,fully_missing,518,6,5,1
test,B,7,level_ge_7m,complete,140,4,7,-3
test,B,7,level_ge_7m,partial,14,0,1,-1
test,B,7,level_ge_7m,fully_missing,82,0,2,-2
test,B,8,all,complete,1391,14,14,0
test,B,8,all,partial,16,0,0,0
test,B,8,all,fully_missing,517,8,4,4
test,B,8,level_ge_7m,complete,140,3,4,-1
test,B,8,level_ge_7m,partial,13,0,0,0
test,B,8,level_ge_7m,fully_missing,83,2,1,1
test,B,9,all,complete,1390,19,22,-3
test,B,9,all,partial,16,0,1,-1
test,B,9,all,fully_missing,516,13,10,3
test,B,9,level_ge_7m,complete,140,2,6,-4
test,B,9,level_ge_7m,partial,12,0,1,-1
test,B,9,level_ge_7m,fully_missing,84,5,0,5
test,B,10,all,complete,1389,27,24,3
test,B,10,all,partial,16,0,0,0
test,B,10,all,fully_missing,515,7,7,0
test,B,10,level_ge_7m,complete,140,5,7,-2
test,B,10,level_ge_7m,partial,11,0,0,0
test,B,10,level_ge_7m,fully_missing,85,1,0,1
test,B,11,all,complete,1388,37,28,9
test,B,11,all,partial,16,2,0,2
test,B,11,all,fully_missing,514,10,9,1
test,B,11,level_ge_7m,complete,140,3,4,-1
test,B,11,level_ge_7m,partial,10,1,0,1
test,B,11,level_ge_7m,fully_missing,86,2,2,0
test,B,12,all,complete,1387,35,31,4
test,B,12,all,partial,16,0,0,0
test,B,12,all,fully_missing,513,14,12,2
test,B,12,level_ge_7m,complete,140,6,4,2
test,B,12,level_ge_7m,partial,9,0,0,0
test,B,12,level_ge_7m,fully_missing,87,5,1,4
validation,A,1,all,complete,6148,0,0,0
validation,A,1,all,partial,50,0,0,0
validation,A,1,all,fully_missing,281,0,0,0
validation,A,1,level_ge_7m,complete,28,0,0,0
validation,A,1,level_ge_7m,partial,0,0,0,0
validation,A,1,level_ge_7m,fully_missing,0,0,0,0
validation,A,2,all,complete,6145,1,0,1
validation,A,2,all,partial,51,0,0,0
validation,A,2,all,fully_missing,281,0,0,0
validation,A,2,level_ge_7m,complete,28,0,0,0
validation,A,2,level_ge_7m,partial,0,0,0,0
validation,A,2,level_ge_7m,fully_missing,0,0,0,0
validation,A,3,all,complete,6146,6,11,-5
validation,A,3,all,partial,52,0,1,-1
validation,A,3,all,fully_missing,278,1,0,1
validation,A,3,level_ge_7m,complete,28,0,1,-1
validation,A,3,level_ge_7m,partial,0,0,0,0
validation,A,3,level_ge_7m,fully_missing,0,0,0,0
validation,A,4,all,complete,6143,9,5,4
validation,A,4,all,partial,52,0,0,0
