phase,horizon_h,population,subset,scheduled_rows,missing_truth,observed_targets,pairs,failures,control_hits,augmented_hits,hit_change,control_mae_m,augmented_mae_m,mae_change_m,control_max_abs_m,augmented_max_abs_m,max_change_m
test,1,complete_upstream18,all,1363,3,1360,1359,1,1357,1357,0,0.05081884780610725,0.051711174194002126,0.0008923263878948748,0.5362215437988027,0.5991155069158838,0.06289396311708106
test,1,complete_upstream18,level_ge_7m,1363,3,144,144,0,144,143,-1,0.08024027105991674,0.08466227362767867,0.004422002567761929,0.4157540204737611,0.5402198371372453,0.12446581666348422
test,1,full_schedule,all,1967,23,1944,1938,6,1924,1925,1,0.06115455391580039,0.061719644408389916,0.0005650904925895289,2.2888539483769783,2.2416403389302637,-0.0472136094467146
test,1,full_schedule,level_ge_7m,1967,23,237,236,1,228,228,0,0.13001982063570697,0.13116532486417565,0.00114550422846868,2.2888539483769783,2.2416403389302637,-0.0472136094467146
test,1,missing_upstream18,all,604,20,584,579,5,567,568,1,0.08541400918881072,0.08521102786495817,-0.00020298132385254686,2.2888539483769783,2.2416403389302637,-0.0472136094467146
test,1,missing_upstream18,level_ge_7m,604,20,93,92,1,84,85,1,0.2079356373630308,0.20395270940825788,-0.003982927954772925,2.2888539483769783,2.2416403389302637,-0.0472136094467146
test,2,complete_upstream18,all,1362,4,1358,1357,1,1342,1347,5,0.0656804047432747,0.06363743434490642,-0.002042970398368288,0.7567406519475135,0.6547393142323834,-0.10200133771513009
test,2,complete_upstream18,level_ge_7m,1362,4,143,143,0,134,137,3,0.12261321074509078,0.1068994403550988,-0.015713770389991985,0.7567406519475135,0.6547393142323834,-0.10200133771513009
test,2,full_schedule,all,1966,23,1943,1935,8,1898,1904,6,0.08221210133086075,0.08052432321981344,-0.0016877781110473111,3.0085622785030273,3.098020736704859,0.08945845820183163
test,2,full_schedule,level_ge_7m,1966,23,237,236,1,215,218,3,0.1816913689950492,0.170581050456176,-0.011110318538873204,3.0085622785030273,3.098020736704859,0.08945845820183163
test,2,missing_upstream18,all,604,19,585,578,7,556,557,1,0.12102440629514148,0.12017053118391177,-0.0008538751112297099,3.0085622785030273,3.098020736704859,0.08945845820183163
test,2,missing_upstream18,level_ge_7m,604,19,94,93,1,81,81,0,0.2725319779170283,0.2685000853427785,-0.004031892574249796,3.0085622785030273,3.098020736704859,0.08945845820183163
test,3,complete_upstream18,all,1361,5,1356,1355,1,1336,1333,-3,0.0778670093027286,0.07880838078055337,0.0009413714778247761,0.8545238041257956,0.9269501048805164,0.07242630075472078
test,3,complete_upstream18,level_ge_7m,1361,5,142,142,0,130,128,-2,0.17432204908767907,0.18224214480311382,0.007920095715434755,0.8545238041257956,0.9184537759801046,0.06392997185430893
test,3,full_schedule,all,1965,23,1942,1932,10,1879,1874,-5,0.10120592211712293,0.10242945892826975,0.0012235368111468276,4.121507568463075,4.058231563230118,-0.06327600523295729
test,3,full_schedule,level_ge_7m,1965,23,237,236,1,202,200,-2,0.28695729570194706,0.2894561920773366,0.0024988963753895255,4.121507568463075,4.058231563230118,-0.06327600523295729
test,3,missing_upstream18,all,604,18,586,577,9,543,541,-2,0.15601394094468674,0.15790010171883423,0.001886160774147494,4.121507568463075,4.058231563230118,-0.06327600523295729
test,3,missing_upstream18,level_ge_7m,604,18,95,94,1,72,72,0,0.4571084129277564,0.45141783795967305,-0.0056905749680833395,4.121507568463075,4.058231563230118,-0.06327600523295729
test,4,complete_upstream18,all,1360,5,1355,1354,1,1325,1329,4,0.09809843749744773,0.09815599573834895,5.755824090121486e-05,0.9850184619941071,1.129543148320602,0.14452468632649484
test,4,complete_upstream18,level_ge_7m,1360,5,141,141,0,124,121,-3,0.2338156860819653,0.24404460700324265,0.010228920921277362,0.9850184619941071,1.129543148320602,0.14452468632649484
test,4,full_schedule,all,1964,23,1941,1930,11,1860,1867,7,0.12530877032224458,0.12587821276004338,0.0005694424377988005,4.948287514603261,5.131503932182897,0.18321641757963558
test,4,full_schedule,level_ge_7m,1964,23,237,236,1,189,188,-1,0.3887337600006435,0.39709884385949334,0.00836508385884982,4.948287514603261,5.131503932182897,0.18321641757963558
test,4,missing_upstream18,all,604,18,586,576,10,535,538,3,0.18927194852497886,0.19104467430062375,0.0017727257756448844,4.948287514603261,5.131503932182897,0.18321641757963558
test,4,missing_upstream18,level_ge_7m,604,18,96,95,1,65,67,2,0.6186647960273133,0.6242635532987708,0.005598757271457533,4.948287514603261,5.131503932182897,0.18321641757963558
test,5,complete_upstream18,all,1359,5,1354,1353,1,1300,1305,5,0.13529578702463363,0.1337468022029717,-0.0015489848216619362,1.6428128830190545,1.4103130363589482,-0.23249984666010626
test,5,complete_upstream18,level_ge_7m,1359,5,140,140,0,111,113,2,0.324064437876407,0.32212167159624483,-0.001942766280162156,1.6428128830190545,1.4103130363589482,-0.23249984666010626
test,5,full_schedule,all,1963,23,1940,1928,12,1822,1828,6,0.1664160549367453,0.16018541111219706,-0.006230643824548243,5.449247976601654,5.196591924339362,-0.25265605226229226
test,5,full_schedule,level_ge_7m,1963,23,237,236,1,164,169,5,0.5314847360216167,0.5022325971930114,-0.029252138828605334,5.449247976601654,5.196591924339362,-0.25265605226229226
test,5,missing_upstream18,all,604,18,586,575,11,522,523,1,0.23964339838907064,0.22239660738033948,-0.017246791008731166,5.449247976601654,5.196591924339362,-0.25265605226229226
