phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,aged_hits,hits_delta,reference_mae_m,aged_mae_m,mae_m_delta,reference_bias_m,aged_bias_m,bias_m_delta,reference_p98_abs_m,aged_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,aged_max_abs_m,max_abs_m_delta
test,A,1,full_schedule,all,mixed_profile_candidate,primary_unaged,1944,1939,5,1933,1933,0,0.04783750593944735,0.04368604741778738,-0.004151458521659969,0.0016042383445942052,0.0032027063587081015,0.0015984680141138963,0.30354887951476256,0.2812617122914147,-0.022287167223347837,1.141419228155974,1.1694974274009189,0.028078199244944813
test,A,1,full_schedule,all,profile_A_control,matching_profile,1944,1939,5,1933,1933,0,0.0371222429682849,0.04368604741778738,0.006563804449502476,0.00031574249549438574,0.0032027063587081015,0.0028869638632137156,0.21510511095232232,0.2812617122914147,0.0661566013390924,1.2985394062094997,1.1694974274009189,-0.12904197880858082
test,A,1,full_schedule,all,profile_B_control,cross_profile,1944,1939,5,1912,1933,21,0.06303231581576944,0.04368604741778738,-0.019346268397982064,0.00544372362743687,0.0032027063587081015,-0.0022410172687287685,0.40312457464527224,0.2812617122914147,-0.12186286235385752,1.1376505785463262,1.1694974274009189,0.03184684885459266
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unaged,237,236,1,231,231,0,0.07625871051660717,0.07710345785610287,0.0008447473394957022,0.005757975327753496,0.008877693400270417,0.003119718072516921,0.4563071747801155,0.46349867486928487,0.007191500089169356,1.141419228155974,1.1694974274009189,0.028078199244944813
test,A,1,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,230,231,1,0.08365381495683401,0.07710345785610287,-0.006550357100731138,0.004328512216800681,0.008877693400270417,0.004549181183469735,0.5373691728450916,0.46349867486928487,-0.07387049797580669,1.2985394062094997,1.1694974274009189,-0.12904197880858082
test,A,1,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,231,231,0,0.0775943146177403,0.07710345785610287,-0.0004908567616374315,-0.0030883871545847098,0.008877693400270417,0.011966080554855126,0.4773267779115205,0.46349867486928487,-0.01382810304223564,1.1376505785463262,1.1694974274009189,0.03184684885459266
test,A,1,complete24,all,mixed_profile_candidate,primary_unaged,1350,1350,0,1350,1350,0,0.04312327604488985,0.036988394667854,-0.006134881377035849,0.0010444003423434212,0.002845406307180286,0.0018010059648368648,0.26588508970708497,0.22099345786396646,-0.04489163184311851,0.4769284998001275,0.42149838218411784,-0.05543011761600969
test,A,1,complete24,all,profile_A_control,matching_profile,1350,1350,0,1350,1350,0,0.0304847864407132,0.036988394667854,0.006503608227140804,0.0010034537392053463,0.002845406307180286,0.0018419525679749396,0.16552146689464775,0.22099345786396646,0.05547199096931871,0.4271823756500037,0.42149838218411784,-0.005683993465885884
test,A,1,complete24,all,profile_B_control,cross_profile,1350,1350,0,1337,1350,13,0.05900560993384436,0.036988394667854,-0.022017215265990354,0.005716792611886191,0.002845406307180286,-0.002871386304705905,0.3787469497620109,0.22099345786396646,-0.15775349189804444,0.6468784824758886,0.42149838218411784,-0.2253801002917708
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,primary_unaged,144,144,0,144,144,0,0.04882486232682682,0.048063382820973284,-0.0007614795058535351,0.006183181671581168,0.00841736791314376,0.002234186241562593,0.3025030817446567,0.2937940765726539,-0.008709005172002793,0.3813849950539048,0.37194065122076125,-0.00944434383314352
test,A,1,complete24,level_ge_7m,profile_A_control,matching_profile,144,144,0,144,144,0,0.055442801166581394,0.048063382820973284,-0.00737941834560811,0.00919925049033519,0.00841736791314376,-0.0007818825771914294,0.24315126317165353,0.2937940765726539,0.05064281340100035,0.41233080449643644,0.37194065122076125,-0.04039015327567519
test,A,1,complete24,level_ge_7m,profile_B_control,cross_profile,144,144,0,144,144,0,0.058889196649375565,0.048063382820973284,-0.010825813828402281,-0.0003785530509610477,0.00841736791314376,0.008795920964104809,0.3782499166329646,0.2937940765726539,-0.0844558400603107,0.4303116973062888,0.37194065122076125,-0.05837104608552757
