phase,horizon_h,age_split_nodes,trees_using_age,trees_identical_to_unaged,trees_identical_except_gain,total_trees,original180_bin_thresholds_identical
validation,1,40,36,27,27,180,True
validation,2,115,98,9,12,180,True
validation,3,62,59,9,11,180,True
validation,4,31,28,43,51,180,True
validation,5,7,7,57,63,180,True
validation,6,4,4,124,130,180,True
validation,7,3,3,90,91,180,True
validation,8,3,3,97,100,180,True
validation,9,0,0,179,180,180,True
validation,10,0,0,180,180,180,True
validation,11,0,0,180,180,180,True
validation,12,0,0,180,180,180,True
test,1,60,54,43,45,180,True
test,2,149,111,16,20,180,True
test,3,116,94,9,16,180,True
test,4,99,84,14,16,180,True
test,5,78,72,11,11,180,True
test,6,31,30,44,49,180,True
test,7,11,11,93,95,180,True
test,8,6,6,86,87,180,True
test,9,3,3,95,96,180,True
test,10,0,0,180,180,180,True
test,11,0,0,180,180,180,True
test,12,0,0,180,180,180,True
