phase,profile,horizon_h,population,subset,compared_family,matching_control,observed_targets,pairs,failures,baseline_hits,compared_hits,hits_delta,baseline_mae_m,compared_mae_m,mae_m_delta,baseline_bias_m,compared_bias_m,bias_m_delta,baseline_p98_abs_m,compared_p98_abs_m,p98_abs_m_delta,baseline_max_abs_m,compared_max_abs_m,max_abs_m_delta
test,A,1,full_schedule,all,mixed_profile_candidate,profile_A_control,1944,1939,5,1933,1933,0,0.0371222429682849,0.04783750593944735,0.010715262971162445,0.00031574249549438574,0.0016042383445942052,0.0012884958490998195,0.21510511095232232,0.30354887951476256,0.08844376856244024,1.2985394062094997,1.141419228155974,-0.15712017805352563
test,A,1,full_schedule,all,profile_B_control,profile_A_control,1944,1939,5,1933,1912,-21,0.0371222429682849,0.06303231581576944,0.02591007284748454,0.00031574249549438574,0.00544372362743687,0.005127981131942484,0.21510511095232232,0.40312457464527224,0.18801946369294992,1.2985394062094997,1.1376505785463262,-0.16088882766317347
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,230,231,1,0.08365381495683401,0.07625871051660717,-0.007395104440226841,0.004328512216800681,0.005757975327753496,0.0014294631109528144,0.5373691728450916,0.4563071747801155,-0.08106199806497605,1.2985394062094997,1.141419228155974,-0.15712017805352563
test,A,1,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,230,231,1,0.08365381495683401,0.0775943146177403,-0.006059500339093707,0.004328512216800681,-0.0030883871545847098,-0.0074168993713853906,0.5373691728450916,0.4773267779115205,-0.06004239493357105,1.2985394062094997,1.1376505785463262,-0.16088882766317347
test,A,1,complete24,all,mixed_profile_candidate,profile_A_control,1350,1350,0,1350,1350,0,0.0304847864407132,0.04312327604488985,0.012638489604176652,0.0010034537392053463,0.0010444003423434212,4.0946603138074895e-05,0.16552146689464775,0.26588508970708497,0.10036362281243721,0.4271823756500037,0.4769284998001275,0.049746124150123805
test,A,1,complete24,all,profile_B_control,profile_A_control,1350,1350,0,1350,1337,-13,0.0304847864407132,0.05900560993384436,0.028520823493131158,0.0010034537392053463,0.005716792611886191,0.004713338872680845,0.16552146689464775,0.3787469497620109,0.21322548286736315,0.4271823756500037,0.6468784824758886,0.21969610682588492
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,144,144,0,144,144,0,0.055442801166581394,0.04882486232682682,-0.006617938839754575,0.00919925049033519,0.006183181671581168,-0.0030160688187540223,0.24315126317165353,0.3025030817446567,0.059351818573003146,0.41233080449643644,0.3813849950539048,-0.03094580944253167
test,A,1,complete24,level_ge_7m,profile_B_control,profile_A_control,144,144,0,144,144,0,0.055442801166581394,0.058889196649375565,0.0034463954827941706,0.00919925049033519,-0.0003785530509610477,-0.009577803541296238,0.24315126317165353,0.3782499166329646,0.13509865346131106,0.41233080449643644,0.4303116973062888,0.017980892809852378
test,A,1,missing24,all,mixed_profile_candidate,profile_A_control,594,589,5,583,583,0,0.05233542855779558,0.05864261690320395,0.006307188345408374,-0.001260505686186085,0.0028873984516206205,0.004147904137806705,0.30304356193663556,0.3450497054481585,0.04200614351152293,1.2985394062094997,1.141419228155974,-0.15712017805352563
test,A,1,missing24,all,profile_B_control,profile_A_control,594,589,5,583,575,-8,0.05233542855779558,0.07226160773529214,0.01992617917749656,-0.001260505686186085,0.004817843951704128,0.006078349637890213,0.30304356193663556,0.549141731456145,0.2460981695195094,1.2985394062094997,1.1376505785463262,-0.16088882766317347
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,profile_A_control,93,92,1,86,87,1,0.1278101843676642,0.11919864681365469,-0.008611537554009507,-0.003295252037427247,0.005092434963501487,0.008387687000928734,0.9799900488125015,0.8242910444531536,-0.15569900435934791,1.2985394062094997,1.141419228155974,-0.15712017805352563
test,A,1,missing24,level_ge_7m,profile_B_control,profile_A_control,93,92,1,86,87,1,0.1278101843676642,0.10687189056822423,-0.02093829379943997,-0.003295252037427247,-0.007329866621126094,-0.004034614583698847,0.9799900488125015,0.8088713084859145,-0.17111874032658703,1.2985394062094997,1.1376505785463262,-0.16088882766317347
test,A,2,full_schedule,all,mixed_profile_candidate,profile_A_control,1943,1936,7,1915,1895,-20,0.06470988559156808,0.0875271938439811,0.022817308252413016,0.0039223171572363566,0.011391082081633634,0.007468764924397278,0.3688797265165805,0.5088748763256037,0.13999514980902317,2.430986906354253,2.35798379080882,-0.0730031155454327
test,A,2,full_schedule,all,profile_B_control,profile_A_control,1943,1936,7,1915,1865,-50,0.06470988559156808,0.11406009111190221,0.04935020552033413,0.0039223171572363566,0.01252278220881248,0.008600465051576123,0.3688797265165805,0.6898452617630729,0.3209655352464924,2.430986906354253,2.3364175247165386,-0.09456938163771422
test,A,2,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,225,225,0,0.1420297534699279,0.13368154358694637,-0.008348209882981544,-0.01521221496331502,-0.016494687570648987,-0.0012824726073339676,0.6927020057861919,0.7447002771129736,0.0519982713267817,2.430986906354253,2.35798379080882,-0.0730031155454327
test,A,2,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,225,226,1,0.1420297534699279,0.13583696487566047,-0.0061927885942674454,-0.01521221496331502,-0.020765015388159645,-0.005552800424844625,0.6927020057861919,0.7101871283579573,0.017485122571765377,2.430986906354253,2.3364175247165386,-0.09456938163771422
test,A,2,complete24,all,mixed_profile_candidate,profile_A_control,1348,1348,0,1344,1326,-18,0.05291251719277879,0.0816756776076114,0.0287631604148326,0.005210753638610464,0.012725536496433798,0.007514782857823333,0.2678823640126271,0.41502423933591587,0.14714187532328876,0.6439704232183767,0.9929772418768914,0.3490068186585147
test,A,2,complete24,all,profile_B_control,profile_A_control,1348,1348,0,1344,1314,-30,0.05291251719277879,0.10562542625149562,0.05271290905871683,0.005210753638610464,0.013599392780654565,0.008388639142044102,0.2678823640126271,0.5244956615891607,0.2566132975765336,0.6439704232183767,1.189884159398604,0.5459137361802273
