phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,weighted_hits,hits_delta,reference_mae_m,weighted_mae_m,mae_m_delta,reference_bias_m,weighted_bias_m,bias_m_delta,reference_p98_abs_m,weighted_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,weighted_max_abs_m,max_abs_m_delta
test,A,1,full_schedule,all,mixed_profile_candidate,primary_weight_9m,1944,1939,5,1933,1934,1,0.04783750593944735,0.04682848369768733,-0.00100902224176002,0.0016042383445942052,-0.0005488939816916962,-0.0021531323262859014,0.30354887951476256,0.29379526740098916,-0.009753612113773402,1.141419228155974,1.1735919883856756,0.0321727602297015
test,A,1,full_schedule,all,profile_A_control,matching_profile,1944,1939,5,1933,1934,1,0.0371222429682849,0.04682848369768733,0.009706240729402425,0.00031574249549438574,-0.0005488939816916962,-0.0008646364771860819,0.21510511095232232,0.29379526740098916,0.07869015644866684,1.2985394062094997,1.1735919883856756,-0.12494741782382413
test,A,1,full_schedule,all,profile_B_control,cross_profile,1944,1939,5,1912,1934,22,0.06303231581576944,0.04682848369768733,-0.016203832118082115,0.00544372362743687,-0.0005488939816916962,-0.005992617609128566,0.40312457464527224,0.29379526740098916,-0.10932930724428308,1.1376505785463262,1.1735919883856756,0.03594140983934935
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,primary_weight_9m,237,236,1,231,231,0,0.07625871051660717,0.07746670270381346,0.001207992187206297,0.005757975327753496,0.00044662993515849083,-0.0053113453925950046,0.4563071747801155,0.4853165809168029,0.0290094061366874,1.141419228155974,1.1735919883856756,0.0321727602297015
test,A,1,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,230,231,1,0.08365381495683401,0.07746670270381346,-0.006187112253020544,0.004328512216800681,0.00044662993515849083,-0.00388188228164219,0.5373691728450916,0.4853165809168029,-0.05205259192828865,1.2985394062094997,1.1735919883856756,-0.12494741782382413
test,A,1,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,231,231,0,0.0775943146177403,0.07746670270381346,-0.00012761191392683668,-0.0030883871545847098,0.00044662993515849083,0.0035350170897432004,0.4773267779115205,0.4853165809168029,0.007989803005282403,1.1376505785463262,1.1735919883856756,0.03594140983934935
test,A,1,complete24,all,mixed_profile_candidate,primary_weight_9m,1350,1350,0,1350,1350,0,0.04312327604488985,0.042627465142173276,-0.0004958109027165744,0.0010444003423434212,0.00010592399278912025,-0.0009384763495543009,0.26588508970708497,0.26202048546821816,-0.003864604238866809,0.4769284998001275,0.4388963610094567,-0.0380321387906708
test,A,1,complete24,all,profile_A_control,matching_profile,1350,1350,0,1350,1350,0,0.0304847864407132,0.042627465142173276,0.012142678701460078,0.0010034537392053463,0.00010592399278912025,-0.000897529746416226,0.16552146689464775,0.26202048546821816,0.0964990185735704,0.4271823756500037,0.4388963610094567,0.011713985359453005
test,A,1,complete24,all,profile_B_control,cross_profile,1350,1350,0,1337,1350,13,0.05900560993384436,0.042627465142173276,-0.01637814479167108,0.005716792611886191,0.00010592399278912025,-0.005610868619097071,0.3787469497620109,0.26202048546821816,-0.11672646429379274,0.6468784824758886,0.4388963610094567,-0.2079821214664319
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,144,144,0,144,144,0,0.04882486232682682,0.050416090425481154,0.0015912280986543348,0.006183181671581168,0.0016961895002585898,-0.004486992171322578,0.3025030817446567,0.3196614594925077,0.017158377747851006,0.3813849950539048,0.419699899913601,0.03831490485969624
