phase,profile,horizon_h,family,observed_level_band,scheduled_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,1,profile_A_control,below_7m,1707,0,1707,1703,4,1703,52.23772878569159,0.030673945264645678,-0.00024034303253161877,0.44777598744584335
test,A,1,profile_A_control,7_to_9m,120,0,120,120,0,119,5.750382868825375,0.04791985724021146,-0.023607726979256186,1.2985394062094997
test,A,1,profile_A_control,ge_9m,117,0,117,116,1,111,13.991917460987452,0.12061997811196079,0.033228070005825026,1.1982920262357215
test,A,1,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,1,profile_B_control,below_7m,1707,0,1707,1703,4,1681,103.90740211699024,0.06101432890017043,0.006626094822126883,0.7079854163370802
test,A,1,profile_B_control,7_to_9m,120,0,120,120,0,119,5.73014629399745,0.04775121911664541,-0.02761559481959961,1.1376505785463262
test,A,1,profile_B_control,ge_9m,117,0,117,116,1,112,12.58211195578926,0.10846648237749362,0.022284586291982426,1.0350126284895698
test,A,1,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,1,mixed_profile_candidate,below_7m,1707,0,1707,1703,4,1702,74.75986833466914,0.0438989244478386,0.0010286177174505806,0.523336059961476
test,A,1,mixed_profile_candidate,7_to_9m,120,0,120,120,0,119,5.206458336328266,0.04338715280273555,-0.022950115295409454,1.141419228155974
test,A,1,mixed_profile_candidate,ge_9m,117,0,117,116,1,112,12.790597345591028,0.1102637702206123,0.03545600011033585,1.0390881555708749
test,A,1,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,1,flood_weight_7m,below_7m,1707,0,1707,1703,4,1703,72.51828805171576,0.04258267061169451,-0.000686852668935762,0.43904245801776387
test,A,1,flood_weight_7m,7_to_9m,120,0,120,120,0,119,5.490019840415674,0.04575016533679729,-0.031189646451129864,1.1735919883856756
test,A,1,flood_weight_7m,ge_9m,117,0,117,116,1,112,12.792121997684305,0.11027691377314056,0.03317381240373265,1.0572581291362972
test,A,1,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,2,profile_A_control,below_7m,1706,0,1706,1700,6,1690,91.75931668637281,0.053976068639042835,0.006578640439854076,0.7545024542619916
test,A,2,profile_A_control,7_to_9m,120,0,120,120,0,119,9.056352217197432,0.0754696018099786,-0.04952981236409055,1.769338513383003
test,A,2,profile_A_control,ge_9m,117,0,117,116,1,106,24.462669601705553,0.21088508277332374,0.020288747865073457,2.430986906354253
test,A,2,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,2,profile_B_control,below_7m,1706,0,1706,1700,6,1639,188.76281268198682,0.11103694863646284,0.017143911757568613,1.2385896276023336
test,A,2,profile_B_control,7_to_9m,120,0,120,120,0,119,8.945675934938716,0.07454729945782264,-0.054142163882451716,1.6114422565287647
test,A,2,profile_B_control,ge_9m,117,0,117,116,1,107,23.111847775717155,0.19924006703204444,0.013763069261108015,2.3364175247165386
test,A,2,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,2,mixed_profile_candidate,below_7m,1706,0,1706,1700,6,1670,137.90380299542804,0.08111988411495767,0.015262283045126985,0.9929772418768914
test,A,2,mixed_profile_candidate,7_to_9m,120,0,120,120,0,119,8.336635724746023,0.06947196437288353,-0.051595123070946734,1.6204937265767514
test,A,2,mixed_profile_candidate,ge_9m,117,0,117,116,1,106,23.212208561773316,0.20010524622218376,0.019816107774486617,2.35798379080882
test,A,2,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,2,flood_weight_7m,below_7m,1706,0,1706,1700,6,1669,139.64724708465752,0.08214543946156325,0.015131442078574659,1.0214379006260959
test,A,2,flood_weight_7m,7_to_9m,120,0,120,120,0,119,8.989682774525434,0.07491402312104528,-0.05514482401082633,1.6707012415244469
test,A,2,flood_weight_7m,ge_9m,117,0,117,116,1,107,23.38580213896482,0.20160174257728294,0.02101791663815963,2.3601731142121523
test,A,2,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,3,profile_A_control,below_7m,1705,0,1705,1697,8,1686,111.47323776269471,0.06568841353134632,0.0008865274704747611,0.913540898341795
test,A,3,profile_A_control,7_to_9m,120,0,120,120,0,118,14.537694089772778,0.12114745074810648,-0.053691056695787304,2.041118098199072
test,A,3,profile_A_control,ge_9m,117,0,117,116,1,92,45.222152078336684,0.3898461386063507,-0.06562855897149297,3.8502978392165037
test,A,3,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,3,profile_B_control,below_7m,1705,0,1705,1697,8,1640,206.26092586661332,0.1215444465919937,0.008457321364764361,1.3034235443624622
test,A,3,profile_B_control,7_to_9m,120,0,120,120,0,118,14.327103759320133,0.11939253132766778,-0.05544647336243854,1.8656298992459384
test,A,3,profile_B_control,ge_9m,117,0,117,116,1,93,39.809314580923385,0.34318374638727056,-0.043429295530604005,3.591469992707828
test,A,3,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,3,mixed_profile_candidate,below_7m,1705,0,1705,1697,8,1658,159.81749876761765,0.09417648719364623,0.011362032387213788,1.2845272385391668
test,A,3,mixed_profile_candidate,7_to_9m,120,0,120,120,0,118,13.418319593293983,0.11181932994411653,-0.05915819276608243,1.8093264917365977
test,A,3,mixed_profile_candidate,ge_9m,117,0,117,116,1,93,41.10558537113651,0.35435849457876306,-0.03584770018115913,3.5417724438313964
test,A,3,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,3,flood_weight_7m,below_7m,1705,0,1705,1697,8,1663,153.9068536853274,0.09069349068080577,0.01019249734827922,1.1629903439283833
test,A,3,flood_weight_7m,7_to_9m,120,0,120,120,0,118,13.016077937681363,0.10846731614734469,-0.04783911491528954,1.9113386594039552
test,A,3,flood_weight_7m,ge_9m,117,0,117,116,1,90,43.06010811089437,0.3712078285421928,-0.07542652978237102,3.7326181945682153
test,A,3,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,4,profile_A_control,below_7m,1704,0,1704,1695,9,1679,140.72897747115124,0.08302594541070869,0.0041775494832680974,1.2968851475790908
test,A,4,profile_A_control,7_to_9m,120,0,120,120,0,116,19.600613656080085,0.16333844713400072,-0.0520541446078043,1.9832586211822543
test,A,4,profile_A_control,ge_9m,117,0,117,116,1,83,61.696390419179345,0.5318654346480978,-0.11837491279379116,4.579107233006882
test,A,4,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,4,profile_B_control,below_7m,1704,0,1704,1695,9,1656,191.75476664339766,0.11312965583681278,0.00487186153980472,1.204229096342723
test,A,4,profile_B_control,7_to_9m,120,0,120,120,0,118,22.01578991309831,0.1834649159424859,-0.06935535978836257,2.0085898688405237
test,A,4,profile_B_control,ge_9m,117,0,117,116,1,83,61.87920554587513,0.5334414271196132,-0.1425323116351759,4.745916441945315
test,A,4,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,4,mixed_profile_candidate,below_7m,1704,0,1704,1695,9,1665,166.7287404153243,0.09836503859311167,0.007035199269926985,1.2514831977616367
test,A,4,mixed_profile_candidate,7_to_9m,120,0,120,120,0,116,20.25759350152162,0.16881327917934683,-0.06777587276048254,2.0993023523097447
test,A,4,mixed_profile_candidate,ge_9m,117,0,117,116,1,83,64.92144380283035,0.5596676189899168,-0.13381064292664127,4.7455033562984505
test,A,4,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,4,flood_weight_7m,below_7m,1704,0,1704,1695,9,1666,169.02764554994297,0.09972132480822594,0.006597478322511386,1.4621026261479746
test,A,4,flood_weight_7m,7_to_9m,120,0,120,120,0,115,19.860348420046694,0.16550290350038913,-0.04430412171063122,1.887957566722644
test,A,4,flood_weight_7m,ge_9m,117,0,117,116,1,81,63.397225234348454,0.5465278037443833,-0.11750492696971297,4.708370505657758
test,A,4,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,5,profile_A_control,below_7m,1703,0,1703,1693,10,1674,179.64722638973322,0.10611176986989558,0.0014441818036886205,1.3195400532826316
test,A,5,profile_A_control,7_to_9m,120,0,120,120,0,113,29.92977308652729,0.24941477572106077,-0.1003998016181875,2.9277507408639583
test,A,5,profile_A_control,ge_9m,117,0,117,116,1,69,85.39998727449924,0.7362067868491313,-0.15429231978454067,5.585721334594157
test,A,5,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,5,profile_B_control,below_7m,1703,0,1703,1693,10,1662,203.12442599878904,0.11997898759526819,-0.004345076883336601,1.309551892011191
test,A,5,profile_B_control,7_to_9m,120,0,120,120,0,107,29.82136676994904,0.24851138974957535,-0.1068459992702825,2.8150249202237063
test,A,5,profile_B_control,ge_9m,117,0,117,116,1,69,86.70100432492141,0.7474224510769087,-0.18109912790562288,5.577554864047173
test,A,5,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,5,mixed_profile_candidate,below_7m,1703,0,1703,1693,10,1667,192.040186048282,0.11343188780170231,0.0026728228341658658,1.2750636363819812
test,A,5,mixed_profile_candidate,7_to_9m,120,0,120,120,0,111,29.422899591866706,0.24519082993222255,-0.08433850235710326,2.854736393522413
test,A,5,mixed_profile_candidate,ge_9m,117,0,117,116,1,67,85.67360571225231,0.7385655664849338,-0.1639722786044217,5.4406707406415205
test,A,5,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,5,flood_weight_7m,below_7m,1703,0,1703,1693,10,1668,192.02906903419878,0.11342532134329521,-0.0004269389754463381,1.3553756397070824
test,A,5,flood_weight_7m,7_to_9m,120,0,120,120,0,113,28.595324931870856,0.23829437443225712,-0.058481682706142686,2.9822308999416505
test,A,5,flood_weight_7m,ge_9m,117,0,117,116,1,67,83.16751401538087,0.7169613277188006,-0.15745282251815973,5.253259327535564
