phase,profile,horizon_h,observed_level_band,pairs,gained,lost,net_hits
test,A,1,below_7m,1703,1,0,1
test,A,1,7_to_9m,120,0,0,0
test,A,1,ge_9m,116,0,0,0
test,A,1,unknown,0,0,0,0
test,A,2,below_7m,1700,2,3,-1
test,A,2,7_to_9m,120,0,0,0
test,A,2,ge_9m,116,1,0,1
test,A,2,unknown,0,0,0,0
test,A,3,below_7m,1697,8,3,5
test,A,3,7_to_9m,120,0,0,0
test,A,3,ge_9m,116,1,4,-3
test,A,3,unknown,0,0,0,0
test,A,4,below_7m,1695,6,5,1
test,A,4,7_to_9m,120,1,2,-1
test,A,4,ge_9m,116,1,3,-2
test,A,4,unknown,0,0,0,0
test,A,5,below_7m,1693,8,7,1
test,A,5,7_to_9m,120,3,1,2
test,A,5,ge_9m,116,2,2,0
test,A,5,unknown,0,0,0,0
test,A,6,below_7m,1691,14,17,-3
test,A,6,7_to_9m,120,3,7,-4
test,A,6,ge_9m,116,5,5,0
test,A,6,unknown,0,0,0,0
test,A,7,below_7m,1689,17,12,5
test,A,7,7_to_9m,120,10,5,5
test,A,7,ge_9m,116,5,1,4
test,A,7,unknown,0,0,0,0
test,A,8,below_7m,1687,22,31,-9
test,A,8,7_to_9m,120,5,5,0
test,A,8,ge_9m,116,3,1,2
test,A,8,unknown,0,0,0,0
test,A,9,below_7m,1685,29,37,-8
test,A,9,7_to_9m,120,4,7,-3
test,A,9,ge_9m,116,4,1,3
test,A,9,unknown,0,0,0,0
test,A,10,below_7m,1683,28,31,-3
test,A,10,7_to_9m,120,4,5,-1
test,A,10,ge_9m,116,6,0,6
test,A,10,unknown,0,0,0,0
test,A,11,below_7m,1681,39,55,-16
test,A,11,7_to_9m,120,3,6,-3
test,A,11,ge_9m,116,8,0,8
test,A,11,unknown,0,0,0,0
test,A,12,below_7m,1679,40,45,-5
test,A,12,7_to_9m,120,4,9,-5
test,A,12,ge_9m,116,4,7,-3
test,A,12,unknown,0,0,0,0
test,B,1,below_7m,1704,0,0,0
test,B,1,7_to_9m,120,0,0,0
test,B,1,ge_9m,116,0,0,0
test,B,1,unknown,0,0,0,0
test,B,2,below_7m,1701,1,0,1
test,B,2,7_to_9m,120,0,1,-1
test,B,2,ge_9m,116,2,0,2
test,B,2,unknown,0,0,0,0
test,B,3,below_7m,1698,8,3,5
test,B,3,7_to_9m,120,0,0,0
test,B,3,ge_9m,116,2,2,0
test,B,3,unknown,0,0,0,0
test,B,4,below_7m,1696,2,5,-3
test,B,4,7_to_9m,120,2,3,-1
test,B,4,ge_9m,116,4,1,3
test,B,4,unknown,0,0,0,0
test,B,5,below_7m,1694,7,3,4
test,B,5,7_to_9m,120,5,0,5
test,B,5,ge_9m,116,2,4,-2
test,B,5,unknown,0,0,0,0
test,B,6,below_7m,1692,20,16,4
test,B,6,7_to_9m,120,6,2,4
test,B,6,ge_9m,116,5,6,-1
test,B,6,unknown,0,0,0,0
test,B,7,below_7m,1690,13,14,-1
test,B,7,7_to_9m,120,4,7,-3
test,B,7,ge_9m,116,5,2,3
test,B,7,unknown,0,0,0,0
test,B,8,below_7m,1688,19,32,-13
test,B,8,7_to_9m,120,4,5,-1
test,B,8,ge_9m,116,3,5,-2
test,B,8,unknown,0,0,0,0
test,B,9,below_7m,1686,30,41,-11
test,B,9,7_to_9m,120,2,6,-4
test,B,9,ge_9m,116,4,0,4
test,B,9,unknown,0,0,0,0
test,B,10,below_7m,1684,32,29,3
test,B,10,7_to_9m,120,4,9,-5
test,B,10,ge_9m,116,7,1,6
test,B,10,unknown,0,0,0,0
test,B,11,below_7m,1682,42,54,-12
test,B,11,7_to_9m,120,4,7,-3
test,B,11,ge_9m,116,11,1,10
test,B,11,unknown,0,0,0,0
test,B,12,below_7m,1680,57,51,6
test,B,12,7_to_9m,120,4,13,-9
test,B,12,ge_9m,116,7,5,2
test,B,12,unknown,0,0,0,0
validation,A,1,below_7m,6451,0,0,0
validation,A,1,7_to_9m,25,0,0,0
validation,A,1,ge_9m,3,0,0,0
validation,A,1,unknown,0,0,0,0
validation,A,2,below_7m,6449,1,1,0
validation,A,2,7_to_9m,25,0,0,0
validation,A,2,ge_9m,3,0,0,0
validation,A,2,unknown,0,0,0,0
validation,A,3,below_7m,6448,5,10,-5
validation,A,3,7_to_9m,25,1,0,1
validation,A,3,ge_9m,3,0,0,0
validation,A,3,unknown,0,0,0,0
validation,A,4,below_7m,6446,17,7,10
validation,A,4,7_to_9m,25,2,0,2
validation,A,4,ge_9m,3,0,0,0
validation,A,4,unknown,0,0,0,0
validation,A,5,below_7m,6445,10,19,-9
validation,A,5,7_to_9m,25,1,1,0
validation,A,5,ge_9m,3,0,0,0
validation,A,5,unknown,0,0,0,0
validation,A,6,below_7m,6444,22,22,0
validation,A,6,7_to_9m,25,2,2,0
validation,A,6,ge_9m,3,0,0,0
validation,A,6,unknown,0,0,0,0
validation,A,7,below_7m,6443,32,44,-12
validation,A,7,7_to_9m,25,1,2,-1
validation,A,7,ge_9m,3,0,1,-1
validation,A,7,unknown,0,0,0,0
validation,A,8,below_7m,6442,53,91,-38
validation,A,8,7_to_9m,25,0,4,-4
validation,A,8,ge_9m,3,0,0,0
validation,A,8,unknown,0,0,0,0
validation,A,9,below_7m,6442,75,102,-27
validation,A,9,7_to_9m,25,1,3,-2
validation,A,9,ge_9m,3,0,0,0
validation,A,9,unknown,0,0,0,0
