profile,rank,origin,column,raw_value,used_value,was_imputed,standardized_value,coefficient,contribution_m
A,1,2026-07-21T16:00:00-03:00,1,-0.1200000000000001,-0.1200000000000001,False,-0.9426147157422187,0.07719236934618576,-0.07276266328872324
A,1,2026-07-21T16:00:00-03:00,2,-0.14000000000000012,-0.14000000000000012,False,-1.1292485134332075,0.05239486419477468,-0.0591668225034841
A,1,2026-07-21T16:00:00-03:00,3,-0.135,-0.135,False,-1.1199555425515353,-0.0034696245692844557,0.0038858252669431094
A,1,2026-07-21T16:00:00-03:00,4,-0.07250000000000001,-0.07250000000000001,False,-0.6446336117016309,0.003811875610124216,-0.0024572631419117314
A,1,2026-07-21T16:00:00-03:00,5,-0.012500000000000011,-0.012500000000000011,False,-0.16095387678770415,-0.13607811146029936,0.021902299585484494
A,1,2026-07-21T16:00:00-03:00,7,0.2599999999999998,0.2599999999999998,False,1.4284681646417847,0.24789498697762669,0.3541100970718295
A,1,2026-07-21T16:00:00-03:00,8,0.2400000000000002,0.2400000000000002,False,1.3696112996865857,0.07882655413734942,0.10796173926187014
A,1,2026-07-21T16:00:00-03:00,9,0.2200000000000002,0.2200000000000002,False,1.3568952219176136,0.10951919630053016,0.14860607416844654
A,1,2026-07-21T16:00:00-03:00,10,0.13750000000000007,0.13750000000000007,False,0.9646530005691927,0.09441145001467899,0.09107428854474843
A,1,2026-07-21T16:00:00-03:00,11,-0.06125000000000003,-0.06125000000000003,False,-0.6471353598158952,-0.0005336874731809111,0.0003453680349861649
A,1,2026-07-21T16:00:00-03:00,13,0.040000000000000036,0.040000000000000036,False,0.2561697510703851,0.13497545400505548,0.034576628453087274
A,1,2026-07-21T16:00:00-03:00,14,0.010000000000000231,0.010000000000000231,False,0.03531953658650287,0.08444942396260254,0.0029827145193562325
A,1,2026-07-21T16:00:00-03:00,15,-0.02499999999999991,-0.02499999999999991,False,-0.236599647119401,0.055103598546028476,-0.013037491970999477
A,1,2026-07-21T16:00:00-03:00,16,-0.09750000000000003,-0.09750000000000003,False,-0.9113160709132205,0.06209143612933185,-0.05658492361074189
A,1,2026-07-21T16:00:00-03:00,17,-0.07,-0.07,False,-0.8154328758900772,-0.052476468223512235,0.04279103740005283
A,1,2026-07-21T16:00:00-03:00,19,,0.0,True,0.003112666402545016,0.04572707920683501,0.00014233314313363013
A,1,2026-07-21T16:00:00-03:00,20,,0.0,True,-0.005073061043986007,-5.294902941472621e-05,2.6861365844071675e-07
A,1,2026-07-21T16:00:00-03:00,21,,0.0,True,-0.009763710217543872,0.031238719231095568,-0.000305005802139632
A,1,2026-07-21T16:00:00-03:00,22,,0.0,True,-0.01775308850082245,0.03539958328833386,-0.0006284519350100265
A,1,2026-07-21T16:00:00-03:00,23,,0.0,True,-0.029944769217097735,0.09703942481229254,-0.0029058231809640078
A,2,2026-07-21T14:00:00-03:00,1,-0.05999999999999961,-0.05999999999999961,False,-0.46879016072162916,0.07719236934618576,-0.03618702323228178
A,2,2026-07-21T14:00:00-03:00,2,-0.04999999999999982,-0.04999999999999982,False,-0.39793778620399073,0.05239486419477468,-0.020849896266127377
A,2,2026-07-21T14:00:00-03:00,3,-0.010000000000000009,-0.010000000000000009,False,-0.07408841211912437,-0.0034696245692844557,0.00025705897498778615
A,2,2026-07-21T14:00:00-03:00,4,0.020000000000000018,0.020000000000000018,False,0.1795952801997081,0.003811875610124216,0.0006845948682866919
A,2,2026-07-21T14:00:00-03:00,5,0.027500000000000024,0.027500000000000024,False,0.2551896238698591,-0.13607811146029936,-0.03472572208047456
A,2,2026-07-21T14:00:00-03:00,7,0.13999999999999968,0.13999999999999968,False,0.7502820222254774,0.24789498697762669,0.18599115212913211
A,2,2026-07-21T14:00:00-03:00,8,0.10999999999999988,0.10999999999999988,False,0.6045374363594197,0.07882655413734942,0.047653602955240223
A,2,2026-07-21T14:00:00-03:00,9,0.05499999999999994,0.05499999999999994,False,0.30411033945238003,0.10951919630053016,0.03330591996350607
A,2,2026-07-21T14:00:00-03:00,10,-0.1200000000000001,-0.1200000000000001,False,-0.9448830248043439,0.09441145001467899,-0.089207776466034
A,2,2026-07-21T14:00:00-03:00,11,-0.11875000000000002,-0.11875000000000002,False,-1.211704925176504,-0.0005336874731809111,0.0006466717397583134
A,2,2026-07-21T14:00:00-03:00,13,-0.14000000000000057,-0.14000000000000057,False,-1.091943803298482,0.13497545400505548,-0.1473856105982196
A,2,2026-07-21T14:00:00-03:00,14,-0.15000000000000036,-0.15000000000000036,False,-1.182045290270272,0.08444942396260254,-0.09982304386103179
A,2,2026-07-21T14:00:00-03:00,15,-0.17000000000000015,-0.17000000000000015,False,-1.3917002111854535,0.055103598546028476,-0.07668768973358628
A,2,2026-07-21T14:00:00-03:00,16,-0.12750000000000006,-0.12750000000000006,False,-1.1851811644027925,0.06209143612933185,-0.07358960057120315
A,2,2026-07-21T14:00:00-03:00,17,-0.06,-0.06,False,-0.7021799163559196,-0.052476468223512235,0.03684792206783989
A,2,2026-07-21T14:00:00-03:00,19,,0.0,True,0.003112666402545016,0.04572707920683501,0.00014233314313363013
A,2,2026-07-21T14:00:00-03:00,20,,0.0,True,-0.005073061043986007,-5.294902941472621e-05,2.6861365844071675e-07
A,2,2026-07-21T14:00:00-03:00,21,,0.0,True,-0.009763710217543872,0.031238719231095568,-0.000305005802139632
A,2,2026-07-21T14:00:00-03:00,22,,0.0,True,-0.01775308850082245,0.03539958328833386,-0.0006284519350100265
A,2,2026-07-21T14:00:00-03:00,23,,0.0,True,-0.029944769217097735,0.09703942481229254,-0.0029058231809640078
A,3,2026-07-21T15:00:00-03:00,1,-0.13999999999999968,-0.13999999999999968,False,-1.1005562340824107,0.07719236934618576,-0.08495454330753671
A,3,2026-07-21T15:00:00-03:00,2,-0.1299999999999999,-0.1299999999999999,False,-1.047991765963293,0.05239486419477468,-0.05490938625488882
A,3,2026-07-21T15:00:00-03:00,3,-0.08999999999999986,-0.08999999999999986,False,-0.7434433755958659,-0.0034696245692844557,0.0025794694018391883
A,3,2026-07-21T15:00:00-03:00,4,-0.022499999999999964,-0.022499999999999964,False,-0.1991044809441501,0.003811875610124216,-0.0007589615147774475
A,3,2026-07-21T15:00:00-03:00,5,0.008750000000000036,0.008750000000000036,False,0.06012235793662663,-0.13607811146029936,-0.008181336924556292
A,3,2026-07-21T15:00:00-03:00,7,0.1999999999999993,0.1999999999999993,False,1.0893750934336286,0.24789498697762669,0.27005062460048024
A,3,2026-07-21T15:00:00-03:00,8,0.20000000000000018,0.20000000000000018,False,1.1342039571243812,0.07882655413734942,0.08940538962906097
A,3,2026-07-21T15:00:00-03:00,9,0.15500000000000003,0.15500000000000003,False,0.942161783370703,0.10951919630053016,0.1031848012998336
A,3,2026-07-21T15:00:00-03:00,10,0.03249999999999997,0.03249999999999997,False,0.18600724264988644,0.09441145001467899,0.01756121349180802
A,3,2026-07-21T15:00:00-03:00,11,-0.09375,-0.09375,False,-0.9662398967588478,-0.0005336874731809111,0.0005156701289878139
A,3,2026-07-21T15:00:00-03:00,13,-0.040000000000000036,-0.040000000000000036,False,-0.3429918286491099,0.13497545400505548,-0.0462954777919378
A,3,2026-07-21T15:00:00-03:00,14,-0.06000000000000005,-0.06000000000000005,False,-0.49727757516333637,0.08444942396260254,-0.04199480477206354
A,3,2026-07-21T15:00:00-03:00,15,-0.1050000000000002,-0.1050000000000002,False,-0.8738965100523968,0.055103598546028476,-0.04815484246070261
A,3,2026-07-21T15:00:00-03:00,16,-0.13750000000000007,-0.13750000000000007,False,-1.2764695288993166,0.06209143612933185,-0.07925782622469024
A,3,2026-07-21T15:00:00-03:00,17,-0.07,-0.07,False,-0.8154328758900772,-0.052476468223512235,0.04279103740005283
A,3,2026-07-21T15:00:00-03:00,19,,0.0,True,0.003112666402545016,0.04572707920683501,0.00014233314313363013
A,3,2026-07-21T15:00:00-03:00,20,,0.0,True,-0.005073061043986007,-5.294902941472621e-05,2.6861365844071675e-07
A,3,2026-07-21T15:00:00-03:00,21,,0.0,True,-0.009763710217543872,0.031238719231095568,-0.000305005802139632
A,3,2026-07-21T15:00:00-03:00,22,,0.0,True,-0.01775308850082245,0.03539958328833386,-0.0006284519350100265
A,3,2026-07-21T15:00:00-03:00,23,,0.0,True,-0.029944769217097735,0.09703942481229254,-0.0029058231809640078
B,1,2026-07-21T17:00:00-03:00,1,-0.05999999999999961,-0.05999999999999961,False,-0.46879016072162916,0.07719236934618576,-0.03618702323228178
B,1,2026-07-21T17:00:00-03:00,2,-0.07999999999999963,-0.07999999999999963,False,-0.6417080286137272,0.05239486419477468,-0.03362220501191282
B,1,2026-07-21T17:00:00-03:00,3,-0.10999999999999988,-0.10999999999999988,False,-0.9107821164650518,-0.0034696245692844557,0.0031600720085520405
B,1,2026-07-21T17:00:00-03:00,4,-0.09249999999999992,-0.09249999999999992,False,-0.8228452640046222,0.003811875610124216,-0.003136583792765441
B,1,2026-07-21T17:00:00-03:00,5,-0.022499999999999964,-0.022499999999999964,False,-0.2649897519520944,-0.13607811146029936,0.03605930500197418
B,1,2026-07-21T17:00:00-03:00,7,0.4399999999999995,0.4399999999999995,False,2.445747378266243,0.24789498697762669,0.606288514485875
B,1,2026-07-21T17:00:00-03:00,8,0.3799999999999999,0.3799999999999999,False,2.193536998654299,0.07882655413734942,0.17290896297670208
B,1,2026-07-21T17:00:00-03:00,9,0.31000000000000005,0.31000000000000005,False,1.9311415214441026,0.10951919630053016,0.21149706737114113
B,1,2026-07-21T17:00:00-03:00,10,0.23250000000000004,0.23250000000000004,False,1.6691420196390405,0.09441145001467899,0.1575861183545516
B,1,2026-07-21T17:00:00-03:00,11,-0.015000000000000013,-0.015000000000000013,False,-0.19302505724323135,-0.0005336874731809111,0.00010301505506074087
B,1,2026-07-21T17:00:00-03:00,13,0.040000000000000036,0.040000000000000036,False,0.2561697510703851,0.13497545400505548,0.034576628453087274
B,1,2026-07-21T17:00:00-03:00,14,0.010000000000000231,0.010000000000000231,False,0.03531953658650287,0.08444942396260254,0.0029827145193562325
B,1,2026-07-21T17:00:00-03:00,15,-0.02499999999999991,-0.02499999999999991,False,-0.236599647119401,0.055103598546028476,-0.013037491970999477
B,1,2026-07-21T17:00:00-03:00,16,-0.09750000000000003,-0.09750000000000003,False,-0.9113160709132205,0.06209143612933185,-0.05658492361074189
B,1,2026-07-21T17:00:00-03:00,17,-0.07,-0.07,False,-0.8154328758900772,-0.052476468223512235,0.04279103740005283
B,1,2026-07-21T17:00:00-03:00,19,,0.0,True,0.003112666402545016,0.04572707920683501,0.00014233314313363013
B,1,2026-07-21T17:00:00-03:00,20,,0.0,True,-0.005073061043986007,-5.294902941472621e-05,2.6861365844071675e-07
B,1,2026-07-21T17:00:00-03:00,21,,0.0,True,-0.009763710217543872,0.031238719231095568,-0.000305005802139632
B,1,2026-07-21T17:00:00-03:00,22,,0.0,True,-0.01775308850082245,0.03539958328833386,-0.0006284519350100265
B,1,2026-07-21T17:00:00-03:00,23,,0.0,True,-0.029944769217097735,0.09703942481229254,-0.0029058231809640078
B,2,2026-07-21T16:00:00-03:00,1,-0.14000000000000057,-0.14000000000000057,False,-1.1005562340824175,0.07719236934618576,-0.08495454330753724
B,2,2026-07-21T16:00:00-03:00,2,-0.14000000000000012,-0.14000000000000012,False,-1.1292485134332075,0.05239486419477468,-0.0591668225034841
B,2,2026-07-21T16:00:00-03:00,3,-0.13000000000000012,-0.13000000000000012,False,-1.0781208573342398,-0.0034696245692844557,0.0037406746152648996
B,2,2026-07-21T16:00:00-03:00,4,-0.06000000000000005,-0.06000000000000005,False,-0.5332513290122612,0.003811875610124216,-0.0020326877351281624
B,2,2026-07-21T16:00:00-03:00,5,-0.007500000000000007,-0.007500000000000007,False,-0.10893593920550873,-0.13607811146029936,0.014823796877239611
B,2,2026-07-21T16:00:00-03:00,7,0.2599999999999998,0.2599999999999998,False,1.4284681646417847,0.24789498697762669,0.3541100970718295
B,2,2026-07-21T16:00:00-03:00,8,0.2400000000000002,0.2400000000000002,False,1.3696112996865857,0.07882655413734942,0.10796173926187014
B,2,2026-07-21T16:00:00-03:00,9,0.2200000000000002,0.2200000000000002,False,1.3568952219176136,0.10951919630053016,0.14860607416844654
B,2,2026-07-21T16:00:00-03:00,10,0.13750000000000007,0.13750000000000007,False,0.9646530005691927,0.09441145001467899,0.09107428854474843
B,2,2026-07-21T16:00:00-03:00,11,-0.06125000000000003,-0.06125000000000003,False,-0.6471353598158952,-0.0005336874731809111,0.0003453680349861649
B,2,2026-07-21T16:00:00-03:00,13,-0.040000000000000036,-0.040000000000000036,False,-0.3429918286491099,0.13497545400505548,-0.0462954777919378
B,2,2026-07-21T16:00:00-03:00,14,-0.06000000000000005,-0.06000000000000005,False,-0.49727757516333637,0.08444942396260254,-0.04199480477206354
B,2,2026-07-21T16:00:00-03:00,15,-0.1050000000000002,-0.1050000000000002,False,-0.8738965100523968,0.055103598546028476,-0.04815484246070261
B,2,2026-07-21T16:00:00-03:00,16,-0.13750000000000007,-0.13750000000000007,False,-1.2764695288993166,0.06209143612933185,-0.07925782622469024
B,2,2026-07-21T16:00:00-03:00,17,-0.07,-0.07,False,-0.8154328758900772,-0.052476468223512235,0.04279103740005283
B,2,2026-07-21T16:00:00-03:00,19,,0.0,True,0.003112666402545016,0.04572707920683501,0.00014233314313363013
