original_index,feature,in_45,in_108,in_core33,block
0,86510000:H,True,True,True,retained_core
1,86510000:dH0.5,True,True,True,retained_core
2,86510000:dH1,True,True,True,retained_core
3,86510000:dH2,True,True,True,retained_core
4,86510000:dH4,True,True,True,retained_core
5,86510000:dH8,True,True,True,retained_core
6,86472000:H,True,True,True,retained_core
7,86472000:dH0.5,True,True,True,retained_core
8,86472000:dH1,True,True,True,retained_core
9,86472000:dH2,True,True,True,retained_core
10,86472000:dH4,True,True,True,retained_core
11,86472000:dH8,True,True,True,retained_core
12,86472600:H,True,False,False,auxiliary_levels
13,86472600:dH0.5,True,False,False,auxiliary_levels
14,86472600:dH1,True,False,False,auxiliary_levels
15,86472600:dH2,True,False,False,auxiliary_levels
16,86472600:dH4,True,False,False,auxiliary_levels
17,86472600:dH8,True,False,False,auxiliary_levels
18,86500000:H,True,False,False,auxiliary_levels
19,86500000:dH0.5,True,False,False,auxiliary_levels
20,86500000:dH1,True,False,False,auxiliary_levels
21,86500000:dH2,True,False,False,auxiliary_levels
22,86500000:dH4,True,False,False,auxiliary_levels
23,86500000:dH8,True,False,False,auxiliary_levels
24,julho:Q06,True,True,True,retained_core
25,julho:Q,True,True,True,retained_core
26,julho:I,True,True,True,retained_core
27,julho:dQ061,True,True,True,retained_core
28,julho:dQ062,True,True,True,retained_core
29,julho:dQ064,True,True,True,retained_core
30,julho:dQ068,True,True,True,retained_core
31,monte:Q06,True,True,True,retained_core
32,monte:Q,True,True,True,retained_core
33,monte:I,True,True,True,retained_core
34,monte:dQ061,True,True,True,retained_core
35,monte:dQ062,True,True,True,retained_core
36,monte:dQ064,True,True,True,retained_core
37,monte:dQ068,True,True,True,retained_core
38,castro:Q06,True,True,True,retained_core
39,castro:Q,True,True,True,retained_core
40,castro:I,True,True,True,retained_core
41,castro:dQ061,True,True,True,retained_core
42,castro:dQ062,True,True,True,retained_core
43,castro:dQ064,True,True,True,retained_core
44,castro:dQ068,True,True,True,retained_core
45,Baixo Antas:P1,False,True,False,rain_amount
46,Baixo Antas:C1,False,True,False,rain_coverage
47,Baixo Antas:P3,False,True,False,rain_amount
48,Baixo Antas:C3,False,True,False,rain_coverage
49,Baixo Antas:P6,False,True,False,rain_amount
50,Baixo Antas:C6,False,True,False,rain_coverage
51,Baixo Antas:P12,False,True,False,rain_amount
52,Baixo Antas:C12,False,True,False,rain_coverage
53,Baixo Antas:P24,False,True,False,rain_amount
54,Baixo Antas:C24,False,True,False,rain_coverage
55,Baixo Antas:P48,False,True,False,rain_amount
56,Baixo Antas:C48,False,True,False,rain_coverage
57,Baixo Antas:P3lag3,False,True,False,rain_amount
58,Baixo Antas:P3lag6,False,True,False,rain_amount
59,Baixo Antas:P3lag12,False,True,False,rain_amount
60,Carreiro:P1,False,True,False,rain_amount
61,Carreiro:C1,False,True,False,rain_coverage
62,Carreiro:P3,False,True,False,rain_amount
63,Carreiro:C3,False,True,False,rain_coverage
64,Carreiro:P6,False,True,False,rain_amount
65,Carreiro:C6,False,True,False,rain_coverage
66,Carreiro:P12,False,True,False,rain_amount
67,Carreiro:C12,False,True,False,rain_coverage
68,Carreiro:P24,False,True,False,rain_amount
69,Carreiro:C24,False,True,False,rain_coverage
70,Carreiro:P48,False,True,False,rain_amount
71,Carreiro:C48,False,True,False,rain_coverage
72,Carreiro:P3lag3,False,True,False,rain_amount
73,Carreiro:P3lag6,False,True,False,rain_amount
74,Carreiro:P3lag12,False,True,False,rain_amount
75,Prata-Turvo:P1,False,True,False,rain_amount
76,Prata-Turvo:C1,False,True,False,rain_coverage
77,Prata-Turvo:P3,False,True,False,rain_amount
78,Prata-Turvo:C3,False,True,False,rain_coverage
79,Prata-Turvo:P6,False,True,False,rain_amount
80,Prata-Turvo:C6,False,True,False,rain_coverage
81,Prata-Turvo:P12,False,True,False,rain_amount
82,Prata-Turvo:C12,False,True,False,rain_coverage
83,Prata-Turvo:P24,False,True,False,rain_amount
84,Prata-Turvo:C24,False,True,False,rain_coverage
85,Prata-Turvo:P48,False,True,False,rain_amount
86,Prata-Turvo:C48,False,True,False,rain_coverage
87,Prata-Turvo:P3lag3,False,True,False,rain_amount
88,Prata-Turvo:P3lag6,False,True,False,rain_amount
89,Prata-Turvo:P3lag12,False,True,False,rain_amount
90,Alto Antas:P1,False,True,False,rain_amount
91,Alto Antas:C1,False,True,False,rain_coverage
92,Alto Antas:P3,False,True,False,rain_amount
93,Alto Antas:C3,False,True,False,rain_coverage
94,Alto Antas:P6,False,True,False,rain_amount
95,Alto Antas:C6,False,True,False,rain_coverage
96,Alto Antas:P12,False,True,False,rain_amount
97,Alto Antas:C12,False,True,False,rain_coverage
98,Alto Antas:P24,False,True,False,rain_amount
99,Alto Antas:C24,False,True,False,rain_coverage
100,Alto Antas:P48,False,True,False,rain_amount
101,Alto Antas:C48,False,True,False,rain_coverage
102,Alto Antas:P3lag3,False,True,False,rain_amount
103,Alto Antas:P3lag6,False,True,False,rain_amount
104,Alto Antas:P3lag12,False,True,False,rain_amount
105,Tainhas:P1,False,True,False,rain_amount
106,Tainhas:C1,False,True,False,rain_coverage
107,Tainhas:P3,False,True,False,rain_amount
108,Tainhas:C3,False,True,False,rain_coverage
109,Tainhas:P6,False,True,False,rain_amount
110,Tainhas:C6,False,True,False,rain_coverage
111,Tainhas:P12,False,True,False,rain_amount
112,Tainhas:C12,False,True,False,rain_coverage
113,Tainhas:P24,False,True,False,rain_amount
114,Tainhas:C24,False,True,False,rain_coverage
115,Tainhas:P48,False,True,False,rain_amount
116,Tainhas:C48,False,True,False,rain_coverage
117,Tainhas:P3lag3,False,True,False,rain_amount
118,Tainhas:P3lag6,False,True,False,rain_amount
119,Tainhas:P3lag12,False,True,False,rain_amount
