phase,horizon_h,population,block,rows,columns,cells,finite_cells,missing_cells,rows_complete,rows_any_missing,rows_all_missing,zero_finite_cells
validation,1,original_training,auxiliary12,4362,12,52344,49684,2660,3674,688,0,10616
validation,1,original_training,SantaTereza6,4362,6,26172,23531,2641,3682,680,360,2344
validation,1,original_training,Carreiro6,4362,6,26172,26153,19,4348,14,1,8272
validation,1,original_training,rain75,4362,75,327150,326492,658,4077,285,0,109573
validation,1,original_training,rain_amount45,4362,45,196290,195632,658,4077,285,0,109573
validation,1,original_training,rain_coverage30,4362,30,130860,130860,0,4362,0,0,0
validation,1,original_training,retained45,4362,45,196290,193522,2768,3633,729,0,32286
validation,1,original_training,retained108,4362,108,471096,470330,766,4020,342,0,131243
validation,1,added2023_training,auxiliary12,503,12,6036,0,6036,0,503,503,0
validation,1,added2023_training,SantaTereza6,503,6,3018,0,3018,0,503,503,0
validation,1,added2023_training,Carreiro6,503,6,3018,0,3018,0,503,503,0
validation,1,added2023_training,rain75,503,75,37725,30199,7526,73,430,0,5396
validation,1,added2023_training,rain_amount45,503,45,22635,15109,7526,73,430,0,5396
validation,1,added2023_training,rain_coverage30,503,30,15090,15090,0,503,0,0,0
validation,1,added2023_training,retained45,503,45,22635,16488,6147,0,503,0,1285
validation,1,added2023_training,retained108,503,108,54324,46687,7637,73,430,0,6681
validation,1,combined_training,auxiliary12,4865,12,58380,49684,8696,3674,1191,503,10616
validation,1,combined_training,SantaTereza6,4865,6,29190,23531,5659,3682,1183,863,2344
validation,1,combined_training,Carreiro6,4865,6,29190,26153,3037,4348,517,504,8272
validation,1,combined_training,rain75,4865,75,364875,356691,8184,4150,715,0,114969
validation,1,combined_training,rain_amount45,4865,45,218925,210741,8184,4150,715,0,114969
validation,1,combined_training,rain_coverage30,4865,30,145950,145950,0,4865,0,0,0
validation,1,combined_training,retained45,4865,45,218925,210010,8915,3633,1232,0,33571
validation,1,combined_training,retained108,4865,108,525420,517017,8403,4093,772,0,137924
validation,1,evaluation_high_full_schedule,auxiliary12,28,12,336,336,0,28,0,0,2
validation,1,evaluation_high_full_schedule,SantaTereza6,28,6,168,168,0,28,0,0,1
validation,1,evaluation_high_full_schedule,Carreiro6,28,6,168,168,0,28,0,0,1
validation,1,evaluation_high_full_schedule,rain75,28,75,2100,2100,0,28,0,0,121
validation,1,evaluation_high_full_schedule,rain_amount45,28,45,1260,1260,0,28,0,0,121
validation,1,evaluation_high_full_schedule,rain_coverage30,28,30,840,840,0,28,0,0,0
validation,1,evaluation_high_full_schedule,retained45,28,45,1260,1260,0,28,0,0,13
validation,1,evaluation_high_full_schedule,retained108,28,108,3024,3024,0,28,0,0,132
validation,2,original_training,auxiliary12,4360,12,52320,49661,2659,3673,687,0,10606
validation,2,original_training,SantaTereza6,4360,6,26160,23520,2640,3681,679,360,2344
validation,2,original_training,Carreiro6,4360,6,26160,26141,19,4346,14,1,8262
validation,2,original_training,rain75,4360,75,327000,326342,658,4075,285,0,109510
validation,2,original_training,rain_amount45,4360,45,196200,195542,658,4075,285,0,109510
validation,2,original_training,rain_coverage30,4360,30,130800,130800,0,4360,0,0,0
validation,2,original_training,retained45,4360,45,196200,193430,2770,3631,729,0,32273
validation,2,original_training,retained108,4360,108,470880,470111,769,4017,343,0,131177
validation,2,added2023_training,auxiliary12,501,12,6012,0,6012,0,501,501,0
validation,2,added2023_training,SantaTereza6,501,6,3006,0,3006,0,501,501,0
validation,2,added2023_training,Carreiro6,501,6,3006,0,3006,0,501,501,0
validation,2,added2023_training,rain75,501,75,37575,30077,7498,73,428,0,5392
validation,2,added2023_training,rain_amount45,501,45,22545,15047,7498,73,428,0,5392
validation,2,added2023_training,rain_coverage30,501,30,15030,15030,0,501,0,0,0
validation,2,added2023_training,retained45,501,45,22545,16422,6123,0,501,0,1285
validation,2,added2023_training,retained108,501,108,54108,46499,7609,73,428,0,6677
validation,2,combined_training,auxiliary12,4861,12,58332,49661,8671,3673,1188,501,10606
validation,2,combined_training,SantaTereza6,4861,6,29166,23520,5646,3681,1180,861,2344
validation,2,combined_training,Carreiro6,4861,6,29166,26141,3025,4346,515,502,8262
validation,2,combined_training,rain75,4861,75,364575,356419,8156,4148,713,0,114902
validation,2,combined_training,rain_amount45,4861,45,218745,210589,8156,4148,713,0,114902
validation,2,combined_training,rain_coverage30,4861,30,145830,145830,0,4861,0,0,0
validation,2,combined_training,retained45,4861,45,218745,209852,8893,3631,1230,0,33558
validation,2,combined_training,retained108,4861,108,524988,516610,8378,4090,771,0,137854
validation,2,evaluation_high_full_schedule,auxiliary12,28,12,336,336,0,28,0,0,2
validation,2,evaluation_high_full_schedule,SantaTereza6,28,6,168,168,0,28,0,0,1
validation,2,evaluation_high_full_schedule,Carreiro6,28,6,168,168,0,28,0,0,1
validation,2,evaluation_high_full_schedule,rain75,28,75,2100,2100,0,28,0,0,107
validation,2,evaluation_high_full_schedule,rain_amount45,28,45,1260,1260,0,28,0,0,107
validation,2,evaluation_high_full_schedule,rain_coverage30,28,30,840,840,0,28,0,0,0
validation,2,evaluation_high_full_schedule,retained45,28,45,1260,1260,0,28,0,0,10
validation,2,evaluation_high_full_schedule,retained108,28,108,3024,3024,0,28,0,0,115
validation,3,original_training,auxiliary12,4358,12,52296,49637,2659,3671,687,0,10602
validation,3,original_training,SantaTereza6,4358,6,26148,23508,2640,3679,679,360,2342
validation,3,original_training,Carreiro6,4358,6,26148,26129,19,4344,14,1,8260
validation,3,original_training,rain75,4358,75,326850,326191,659,4072,286,0,109494
validation,3,original_training,rain_amount45,4358,45,196110,195451,659,4072,286,0,109494
validation,3,original_training,rain_coverage30,4358,30,130740,130740,0,4358,0,0,0
validation,3,original_training,retained45,4358,45,196110,193341,2769,3629,729,0,32261
validation,3,original_training,retained108,4358,108,470664,469895,769,4015,343,0,131153
validation,3,added2023_training,auxiliary12,499,12,5988,0,5988,0,499,499,0
validation,3,added2023_training,SantaTereza6,499,6,2994,0,2994,0,499,499,0
validation,3,added2023_training,Carreiro6,499,6,2994,0,2994,0,499,499,0
validation,3,added2023_training,rain75,499,75,37425,29953,7472,73,426,0,5390
validation,3,added2023_training,rain_amount45,499,45,22455,14983,7472,73,426,0,5390
