phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,1,original_training,Baixo Antas,4362,39258,157,24087,0,26172,0,149,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,1,original_training,Carreiro,4362,39258,388,19632,0,26172,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,1,original_training,Prata-Turvo,4362,39258,34,21110,0,26172,0,26,0.13350657427149967,0.998376791637053,1.0
validation,1,original_training,Alto Antas,4362,39258,41,19957,0,26172,0,31,0.0992246513654852,0.9561198673251985,0.9991401155658854
validation,1,original_training,Tainhas,4362,39258,38,24787,0,26172,0,30,0.11402834699453551,1.0,1.0
validation,1,added2023_training,Baixo Antas,503,4527,3775,177,415,3018,0,2521,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,1,added2023_training,Carreiro,503,4527,3748,193,415,3018,0,2502,0.046801872074883,0.0514820592823713,0.781371879875195
validation,1,added2023_training,Prata-Turvo,503,4527,0,1585,0,3018,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,1,added2023_training,Alto Antas,503,4527,2,1287,0,3018,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,1,added2023_training,Tainhas,503,4527,1,2154,0,3018,0,1,0.3907103825136612,1.0,1.0
validation,1,combined_training,Baixo Antas,4865,43785,3932,24264,415,29190,0,2670,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,1,combined_training,Carreiro,4865,43785,4136,19825,415,29190,0,2729,0.046801872074883,0.9637285491419656,0.999561232449298
validation,1,combined_training,Prata-Turvo,4865,43785,34,22695,0,29190,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,1,combined_training,Alto Antas,4865,43785,43,21244,0,29190,0,33,0.0992246513654852,0.9493448979921235,0.9991401155658854
validation,1,combined_training,Tainhas,4865,43785,39,26941,0,29190,0,31,0.11402834699453551,1.0,1.0
validation,1,evaluation_high_full_schedule,Baixo Antas,28,252,0,42,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,1,evaluation_high_full_schedule,Carreiro,28,252,0,27,0,168,0,0,0.891185647425897,0.9389625585023402,0.9750796281851275
validation,1,evaluation_high_full_schedule,Prata-Turvo,28,252,0,32,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,1,evaluation_high_full_schedule,Alto Antas,28,252,0,10,0,168,0,0,0.8370036800309897,0.9794325811866487,0.9965604622635418
validation,1,evaluation_high_full_schedule,Tainhas,28,252,0,10,0,168,0,0,1.0,1.0,1.0
validation,2,original_training,Baixo Antas,4360,39240,158,24070,0,26160,0,150,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,2,original_training,Carreiro,4360,39240,388,19616,0,26160,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,2,original_training,Prata-Turvo,4360,39240,34,21101,0,26160,0,26,0.13350657427149967,0.998376791637053,1.0
validation,2,original_training,Alto Antas,4360,39240,41,19948,0,26160,0,31,0.0992246513654852,0.9562267980502293,0.9991401155658854
validation,2,original_training,Tainhas,4360,39240,37,24775,0,26160,0,29,0.11402834699453551,1.0,1.0
validation,2,added2023_training,Baixo Antas,501,4509,3760,177,414,3006,0,2511,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,2,added2023_training,Carreiro,501,4509,3735,193,414,3006,0,2493,0.046801872074883,0.0514820592823713,0.781371879875195
validation,2,added2023_training,Prata-Turvo,501,4509,0,1583,0,3006,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,2,added2023_training,Alto Antas,501,4509,2,1286,0,3006,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,2,added2023_training,Tainhas,501,4509,1,2153,0,3006,0,1,0.3907103825136612,1.0,1.0
