horizon_h,phase,subset,eligible_base_target,original_X24_complete,excluded_X24,excluded_pct,own_mucum_features_missing,aux_features_missing,aux_only_missing,own_only_missing,both_missing,max_excluded_target_m,first_excluded_origin,last_excluded_origin
1,train,all,4362,3633,729,16.71251719394773,57,697,672,32,25,11.41,2025-04-01T08:00:00-03:00,2025-09-29T06:00:00-03:00
1,train,high_target_ge_7m,227,161,66,29.07488986784141,4,62,62,4,0,11.41,2025-06-17T22:00:00-03:00,2025-07-01T16:00:00-03:00
1,validation,all,6479,5891,588,9.075474610279365,169,475,419,113,56,6.24,2025-10-03T19:00:00-03:00,2026-06-30T22:00:00-03:00
1,validation,high_target_ge_7m,28,28,0,0.0,0,0,0,0,0,,,
1,test,all,1939,1350,589,30.37648272305312,27,581,562,8,19,19.86,2026-07-01T00:00:00-03:00,2026-09-09T23:00:00-03:00
1,test,high_target_ge_7m,236,144,92,38.983050847457626,4,92,88,0,4,19.86,2026-07-02T20:00:00-03:00,2026-08-15T01:00:00-03:00
1,today,all,14,14,0,0.0,0,0,0,0,0,,,
1,today,high_target_ge_7m,3,3,0,0.0,0,0,0,0,0,,,
6,train,all,4354,3622,732,16.812126779972438,59,699,673,33,26,11.41,2025-04-01T08:00:00-03:00,2025-09-29T06:00:00-03:00
6,train,high_target_ge_7m,227,163,64,28.19383259911894,4,60,60,4,0,11.41,2025-06-17T17:00:00-03:00,2025-07-01T11:00:00-03:00
6,validation,all,6472,5881,591,9.131644004944375,173,477,418,114,59,5.8,2025-10-03T19:00:00-03:00,2026-06-30T17:00:00-03:00
6,validation,high_target_ge_7m,28,28,0,0.0,0,0,0,0,0,,,
6,test,all,1927,1343,584,30.306175402179555,27,576,557,8,19,19.86,2026-07-01T00:00:00-03:00,2026-09-09T23:00:00-03:00
6,test,high_target_ge_7m,236,140,96,40.67796610169491,4,96,92,0,4,19.86,2026-07-02T15:00:00-03:00,2026-08-15T00:00:00-03:00
6,today,all,9,9,0,0.0,0,0,0,0,0,,,
6,today,high_target_ge_7m,3,3,0,0.0,0,0,0,0,0,,,
12,train,all,4348,3616,732,16.83532658693652,59,699,673,33,26,11.41,2025-04-01T08:00:00-03:00,2025-09-29T06:00:00-03:00
12,train,high_target_ge_7m,227,170,57,25.110132158590307,4,53,53,4,0,11.41,2025-06-17T11:00:00-03:00,2025-07-01T05:00:00-03:00
12,validation,all,6466,5879,587,9.078255490256728,173,473,414,114,59,5.51,2025-10-03T19:00:00-03:00,2026-06-30T11:00:00-03:00
12,validation,high_target_ge_7m,28,28,0,0.0,0,0,0,0,0,,,
12,test,all,1915,1337,578,30.182767624020887,27,570,551,8,19,19.86,2026-07-01T00:00:00-03:00,2026-09-09T23:00:00-03:00
12,test,high_target_ge_7m,236,140,96,40.67796610169491,4,96,92,0,4,19.86,2026-07-02T09:00:00-03:00,2026-08-14T18:00:00-03:00
12,today,all,3,3,0,0.0,0,0,0,0,0,,,
12,today,high_target_ge_7m,3,3,0,0.0,0,0,0,0,0,,,
