horizon_h,phase,subset,feature_index,feature,excluded_missing
1,train,all,0,86510000:H,0
1,train,all,1,86510000:dH0.5,9
1,train,all,2,86510000:dH1,10
1,train,all,3,86510000:dH2,13
1,train,all,4,86510000:dH4,17
1,train,all,5,86510000:dH8,21
1,train,all,6,86472000:H,2
1,train,all,7,86472000:dH0.5,2
1,train,all,8,86472000:dH1,4
1,train,all,9,86472000:dH2,4
1,train,all,10,86472000:dH4,4
1,train,all,11,86472000:dH8,5
1,train,all,12,86472600:H,360
1,train,all,13,86472600:dH0.5,361
1,train,all,14,86472600:dH1,419
1,train,all,15,86472600:dH2,460
1,train,all,16,86472600:dH4,496
1,train,all,17,86472600:dH8,545
1,train,all,18,86500000:H,1
1,train,all,19,86500000:dH0.5,2
1,train,all,20,86500000:dH1,3
1,train,all,21,86500000:dH2,4
1,train,all,22,86500000:dH4,4
1,train,all,23,86500000:dH8,5
1,train,high_target_ge_7m,0,86510000:H,0
1,train,high_target_ge_7m,1,86510000:dH0.5,0
1,train,high_target_ge_7m,2,86510000:dH1,1
1,train,high_target_ge_7m,3,86510000:dH2,1
1,train,high_target_ge_7m,4,86510000:dH4,1
1,train,high_target_ge_7m,5,86510000:dH8,1
1,train,high_target_ge_7m,6,86472000:H,0
1,train,high_target_ge_7m,7,86472000:dH0.5,0
1,train,high_target_ge_7m,8,86472000:dH1,0
1,train,high_target_ge_7m,9,86472000:dH2,0
1,train,high_target_ge_7m,10,86472000:dH4,0
1,train,high_target_ge_7m,11,86472000:dH8,0
1,train,high_target_ge_7m,12,86472600:H,52
1,train,high_target_ge_7m,13,86472600:dH0.5,52
1,train,high_target_ge_7m,14,86472600:dH1,52
1,train,high_target_ge_7m,15,86472600:dH2,54
1,train,high_target_ge_7m,16,86472600:dH4,56
1,train,high_target_ge_7m,17,86472600:dH8,60
1,train,high_target_ge_7m,18,86500000:H,0
1,train,high_target_ge_7m,19,86500000:dH0.5,0
1,train,high_target_ge_7m,20,86500000:dH1,0
