original_column,feature,physical_source,unit,formula,source_field,delay_minutes,query_expiry_minutes,core_column
0,86510000:H,Muçum,m,H delayed,ANA NivelFinal/100,15,15,0
1,86510000:dH0.5,Muçum,m/h,(H(O)-H(O-0.5h))/0.5,ANA NivelFinal/100,15,15,1
2,86510000:dH1,Muçum,m/h,(H(O)-H(O-1h))/1,ANA NivelFinal/100,15,15,2
3,86510000:dH2,Muçum,m/h,(H(O)-H(O-2h))/2,ANA NivelFinal/100,15,15,3
4,86510000:dH4,Muçum,m/h,(H(O)-H(O-4h))/4,ANA NivelFinal/100,15,15,4
5,86510000:dH8,Muçum,m/h,(H(O)-H(O-8h))/8,ANA NivelFinal/100,15,15,5
6,86472000:H,Linha José Júlio,m,H delayed,ANA NivelFinal/100,30,15,6
7,86472000:dH0.5,Linha José Júlio,m/h,(H(O)-H(O-0.5h))/0.5,ANA NivelFinal/100,30,15,7
8,86472000:dH1,Linha José Júlio,m/h,(H(O)-H(O-1h))/1,ANA NivelFinal/100,30,15,8
9,86472000:dH2,Linha José Júlio,m/h,(H(O)-H(O-2h))/2,ANA NivelFinal/100,30,15,9
10,86472000:dH4,Linha José Júlio,m/h,(H(O)-H(O-4h))/4,ANA NivelFinal/100,30,15,10
11,86472000:dH8,Linha José Júlio,m/h,(H(O)-H(O-8h))/8,ANA NivelFinal/100,30,15,11
24,julho:Q06,14 de Julho JIUHQJ,(1000m3/s)^0.6,"maximum(Q/1000,0)**0.6",ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,12
25,julho:Q,14 de Julho JIUHQJ,1000m3/s,Q/1000,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,13
26,julho:I,14 de Julho JIUHQJ,1000m3/s,I/1000,ONS val_vazaoafluente; original recent CERAN HTML merged,60,90,14
27,julho:dQ1,14 de Julho JIUHQJ,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-1h))/1,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,15
28,julho:dQ2,14 de Julho JIUHQJ,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-2h))/2,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,16
29,julho:dQ4,14 de Julho JIUHQJ,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-4h))/4,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,17
30,julho:dQ8,14 de Julho JIUHQJ,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-8h))/8,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,18
31,monte:Q06,Monte Claro JIUHMC,(1000m3/s)^0.6,"maximum(Q/1000,0)**0.6",ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,19
32,monte:Q,Monte Claro JIUHMC,1000m3/s,Q/1000,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,20
33,monte:I,Monte Claro JIUHMC,1000m3/s,I/1000,ONS val_vazaoafluente; original recent CERAN HTML merged,60,90,21
34,monte:dQ1,Monte Claro JIUHMC,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-1h))/1,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,22
35,monte:dQ2,Monte Claro JIUHMC,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-2h))/2,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,23
36,monte:dQ4,Monte Claro JIUHMC,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-4h))/4,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,24
37,monte:dQ8,Monte Claro JIUHMC,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-8h))/8,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,25
38,castro:Q06,Castro Alves JIUHCA,(1000m3/s)^0.6,"maximum(Q/1000,0)**0.6",ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,26
39,castro:Q,Castro Alves JIUHCA,1000m3/s,Q/1000,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,27
40,castro:I,Castro Alves JIUHCA,1000m3/s,I/1000,ONS val_vazaoafluente; original recent CERAN HTML merged,60,90,28
41,castro:dQ1,Castro Alves JIUHCA,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-1h))/1,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,29
42,castro:dQ2,Castro Alves JIUHCA,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-2h))/2,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,30
43,castro:dQ4,Castro Alves JIUHCA,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-4h))/4,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,31
44,castro:dQ8,Castro Alves JIUHCA,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-8h))/8,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,32
