dataset,original_column,feature,physical_source,unit,formula,source_field,delay_minutes,query_expiry_minutes,core_column,rows,finite,missing
original2025_26,0,86510000:H,Muçum,m,H delayed,ANA NivelFinal/100,15,15,0,12928,12844,84
original2025_26,1,86510000:dH0.5,Muçum,m/h,(H(O)-H(O-0.5h))/0.5,ANA NivelFinal/100,15,15,1,12928,12804,124
original2025_26,2,86510000:dH1,Muçum,m/h,(H(O)-H(O-1h))/1,ANA NivelFinal/100,15,15,2,12928,12789,139
original2025_26,3,86510000:dH2,Muçum,m/h,(H(O)-H(O-2h))/2,ANA NivelFinal/100,15,15,3,12928,12785,143
original2025_26,4,86510000:dH4,Muçum,m/h,(H(O)-H(O-4h))/4,ANA NivelFinal/100,15,15,4,12928,12779,149
original2025_26,5,86510000:dH8,Muçum,m/h,(H(O)-H(O-8h))/8,ANA NivelFinal/100,15,15,5,12928,12770,158
original2025_26,6,86472000:H,Linha José Júlio,m,H delayed,ANA NivelFinal/100,30,15,6,12928,12818,110
original2025_26,7,86472000:dH0.5,Linha José Júlio,m/h,(H(O)-H(O-0.5h))/0.5,ANA NivelFinal/100,30,15,7,12928,12813,115
original2025_26,8,86472000:dH1,Linha José Júlio,m/h,(H(O)-H(O-1h))/1,ANA NivelFinal/100,30,15,8,12928,12798,130
original2025_26,9,86472000:dH2,Linha José Júlio,m/h,(H(O)-H(O-2h))/2,ANA NivelFinal/100,30,15,9,12928,12787,141
original2025_26,10,86472000:dH4,Linha José Júlio,m/h,(H(O)-H(O-4h))/4,ANA NivelFinal/100,30,15,10,12928,12774,154
original2025_26,11,86472000:dH8,Linha José Júlio,m/h,(H(O)-H(O-8h))/8,ANA NivelFinal/100,30,15,11,12928,12753,175
original2025_26,24,julho:Q06,14 de Julho JIUHQJ,(1000m3/s)^0.6,"maximum(Q/1000,0)**0.6",ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,12,12928,12926,2
original2025_26,25,julho:Q,14 de Julho JIUHQJ,1000m3/s,Q/1000,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,13,12928,12926,2
original2025_26,26,julho:I,14 de Julho JIUHQJ,1000m3/s,I/1000,ONS val_vazaoafluente; original recent CERAN HTML merged,60,90,14,12928,12926,2
original2025_26,27,julho:dQ1,14 de Julho JIUHQJ,(1000m3/s)^0.6/h,(Q06(O)-Q06(O-1h))/1,ONS val_vazaodefluente; original recent CERAN HTML merged,60,90,15,12928,12925,3
