plant,field,origin,assumed_available_before,source_time,age_after_delay_minutes,value_m,usable
julho,val_nivelmontante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21T13:00:00-03:00,0.0,106.3,True
julho,val_nivelmontante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21T14:00:00-03:00,0.0,106.19,True
julho,val_nivelmontante,2026-09-21T16:00:00-03:00,2026-09-21T15:00:00-03:00,2026-09-21T15:00:00-03:00,0.0,106.54,True
julho,val_nivelmontante,2026-09-21T17:00:00-03:00,2026-09-21T16:00:00-03:00,2026-09-21T16:00:00-03:00,0.0,107.08,True
julho,val_nivelmontante,2026-09-21T18:00:00-03:00,2026-09-21T17:00:00-03:00,2026-09-21T17:00:00-03:00,0.0,107.41,True
julho,val_nivelmontante,2026-09-21T19:00:00-03:00,2026-09-21T18:00:00-03:00,2026-09-21T18:00:00-03:00,0.0,107.78,True
julho,val_nivelmontante,2026-09-21T20:00:00-03:00,2026-09-21T19:00:00-03:00,2026-09-21T19:00:00-03:00,0.0,107.79,True
julho,val_nivelmontante,2026-09-21T21:00:00-03:00,2026-09-21T20:00:00-03:00,2026-09-21T20:00:00-03:00,0.0,107.95,True
julho,val_niveljusante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21T13:00:00-03:00,0.0,75.95,True
julho,val_niveljusante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21T14:00:00-03:00,0.0,77.11,True
julho,val_niveljusante,2026-09-21T16:00:00-03:00,2026-09-21T15:00:00-03:00,2026-09-21T15:00:00-03:00,0.0,77.46,True
julho,val_niveljusante,2026-09-21T17:00:00-03:00,2026-09-21T16:00:00-03:00,2026-09-21T16:00:00-03:00,0.0,78.28,True
julho,val_niveljusante,2026-09-21T18:00:00-03:00,2026-09-21T17:00:00-03:00,2026-09-21T17:00:00-03:00,0.0,78.86,True
julho,val_niveljusante,2026-09-21T19:00:00-03:00,2026-09-21T18:00:00-03:00,2026-09-21T18:00:00-03:00,0.0,79.67,True
julho,val_niveljusante,2026-09-21T20:00:00-03:00,2026-09-21T19:00:00-03:00,2026-09-21T19:00:00-03:00,0.0,81.15,True
julho,val_niveljusante,2026-09-21T21:00:00-03:00,2026-09-21T20:00:00-03:00,2026-09-21T20:00:00-03:00,0.0,82.1,True
monte,val_nivelmontante,2026-09-21T14:00:00-03:00,2026-09-21T13:00:00-03:00,2026-09-21T13:00:00-03:00,0.0,150.74,True
monte,val_nivelmontante,2026-09-21T15:00:00-03:00,2026-09-21T14:00:00-03:00,2026-09-21T14:00:00-03:00,0.0,151.5,True
monte,val_nivelmontante,2026-09-21T16:00:00-03:00,2026-09-21T15:00:00-03:00,2026-09-21T15:00:00-03:00,0.0,151.97,True
monte,val_nivelmontante,2026-09-21T17:00:00-03:00,2026-09-21T16:00:00-03:00,2026-09-21T16:00:00-03:00,0.0,152.1,True
monte,val_nivelmontante,2026-09-21T18:00:00-03:00,2026-09-21T17:00:00-03:00,2026-09-21T17:00:00-03:00,0.0,152.18,True
monte,val_nivelmontante,2026-09-21T19:00:00-03:00,2026-09-21T18:00:00-03:00,2026-09-21T18:00:00-03:00,0.0,152.76,True
