plant,time,field,earlier_m,later_m,delta_m,earlier_collected_at,later_collected_at
JIUHQJ,2026-09-21T17:00:00-03:00,val_nivelmontante,107.41,107.41,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T17:00:00-03:00,val_niveljusante,78.86,78.86,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T16:00:00-03:00,val_nivelmontante,107.08,107.08,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T16:00:00-03:00,val_niveljusante,78.28,78.28,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T15:00:00-03:00,val_nivelmontante,106.54,106.54,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T15:00:00-03:00,val_niveljusante,77.46,77.46,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T14:00:00-03:00,val_nivelmontante,106.19,106.19,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T14:00:00-03:00,val_niveljusante,77.11,77.11,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T13:00:00-03:00,val_nivelmontante,106.3,106.3,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T13:00:00-03:00,val_niveljusante,75.95,75.95,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T12:00:00-03:00,val_nivelmontante,106.1,106.1,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T12:00:00-03:00,val_niveljusante,74.37,74.37,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T11:00:00-03:00,val_nivelmontante,105.39,105.39,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T11:00:00-03:00,val_niveljusante,72.75,72.75,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T10:00:00-03:00,val_nivelmontante,104.87,104.87,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T10:00:00-03:00,val_niveljusante,71.74,71.74,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T09:00:00-03:00,val_nivelmontante,104.41,104.41,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T09:00:00-03:00,val_niveljusante,72.08,72.08,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T08:00:00-03:00,val_nivelmontante,104.25,104.25,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T08:00:00-03:00,val_niveljusante,71.1,71.1,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T07:00:00-03:00,val_nivelmontante,104.22,104.22,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T07:00:00-03:00,val_niveljusante,71.05,71.05,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-21T06:00:00-03:00,val_nivelmontante,104.22,104.22,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
