phase,horizon_h,training_rows,with_missing_reservoir_features
validation,1,3633,0
test,1,9524,0
validation,2,3631,0
test,2,9516,0
validation,3,3629,0
test,3,9515,0
validation,4,3626,0
test,4,9506,0
validation,5,3623,0
test,5,9506,0
validation,6,3622,0
test,6,9503,0
validation,7,3622,0
test,7,9506,0
validation,8,3621,0
test,8,9503,0
validation,9,3620,0
test,9,9503,0
validation,10,3619,0
test,10,9500,0
validation,11,3618,0
test,11,9500,0
validation,12,3616,0
test,12,9495,0
