station,source_id,field,QC,records
86060010,0,NivelFinal,Dado aprovado,6553
86060010,0,ChuvaFinal,Dado aprovado,6553
86060010,1,NivelFinal,Dado aprovado,6270
86060010,1,ChuvaFinal,Dado aprovado,6270
86060010,2,NivelFinal,Dado aprovado,33
86060010,2,ChuvaFinal,Dado aprovado,33
86099000,3,NivelFinal,Dado aprovado,6518
86099000,3,ChuvaFinal,Dado aprovado,6518
86099000,4,NivelFinal,Dado aprovado,5984
86099000,4,ChuvaFinal,Dado aprovado,5984
86099000,5,NivelFinal,Dado aprovado,39
86099000,5,ChuvaFinal,Dado aprovado,39
86102000,6,NivelFinal,Dado aprovado,6556
86102000,6,ChuvaFinal,Dado aprovado,6556
86102000,7,NivelFinal,Dado aprovado,6245
86102000,7,ChuvaFinal,Dado aprovado,6245
86102000,8,NivelFinal,Dado aprovado,35
86102000,8,ChuvaFinal,Dado aprovado,35
86117000,9,NivelFinal,Dado aprovado,6171
86117000,9,ChuvaFinal,Dado aprovado,6171
86117000,10,NivelFinal,Dado aprovado,6293
86117000,10,ChuvaFinal,Dado aprovado,6293
86117000,11,NivelFinal,Dado aprovado,39
86117000,11,ChuvaFinal,Dado aprovado,39
86125000,12,NivelFinal,Dado aprovado,5996
86125000,12,ChuvaFinal,Dado aprovado,5996
86125000,13,NivelFinal,Dado aprovado,3749
86125000,13,ChuvaFinal,Dado aprovado,3749
86125000,14,NivelFinal,Dado aprovado,36
86125000,14,ChuvaFinal,Dado aprovado,36
86125050,15,NivelFinal,Dado aprovado,6594
86125050,15,ChuvaFinal,Dado aprovado,6594
86125050,16,NivelFinal,Dado aprovado,6324
86125050,16,ChuvaFinal,Dado aprovado,6324
86125050,17,NivelFinal,Dado aprovado,39
86125050,17,ChuvaFinal,Dado aprovado,39
86160000,18,NivelFinal,Dado aprovado,26316
86160000,18,ChuvaFinal,Dado aprovado,26321
86160000,18,NivelFinal,None,20
86160000,18,ChuvaFinal,None,15
86160000,19,NivelFinal,Dado aprovado,21559
86160000,19,ChuvaFinal,Dado aprovado,24945
86160000,19,NivelFinal,None,25
86160000,19,NivelFinal,Dado suspeito,3391
86160000,19,ChuvaFinal,None,30
86160000,20,NivelFinal,Dado aprovado,148
86160000,20,ChuvaFinal,Dado aprovado,148
86160000,21,NivelFinal,Dado aprovado,156
86160000,21,ChuvaFinal,Dado aprovado,156
86163000,22,NivelFinal,Dado aprovado,6543
86163000,22,ChuvaFinal,Dado aprovado,6543
86163000,23,NivelFinal,Dado aprovado,5997
86163000,23,ChuvaFinal,Dado aprovado,5997
86163000,24,NivelFinal,Dado aprovado,39
86163000,24,ChuvaFinal,Dado aprovado,39
86200900,25,NivelFinal,Dado aprovado,6547
86200900,25,ChuvaFinal,Dado aprovado,6547
86200900,26,NivelFinal,Dado aprovado,6296
86200900,26,ChuvaFinal,Dado aprovado,6296
86200900,27,NivelFinal,Dado aprovado,37
86200900,27,ChuvaFinal,Dado aprovado,37
86280500,28,NivelFinal,Dado aprovado,6164
86280500,28,ChuvaFinal,Dado aprovado,6164
86280500,29,NivelFinal,Dado aprovado,5414
86280500,29,ChuvaFinal,Dado aprovado,5414
86280500,30,NivelFinal,Dado aprovado,39
86280500,30,ChuvaFinal,Dado aprovado,39
86298000,31,NivelFinal,Dado aprovado,6599
86298000,31,ChuvaFinal,Dado aprovado,6599
86298000,32,NivelFinal,Dado aprovado,8531
86298000,32,ChuvaFinal,Dado aprovado,8531
86298000,33,NivelFinal,Dado aprovado,39
86298000,33,ChuvaFinal,Dado aprovado,39
86403000,34,NivelFinal,Dado aprovado,6599
86403000,34,ChuvaFinal,Dado aprovado,6599
86403000,35,NivelFinal,Dado aprovado,6320
86403000,35,ChuvaFinal,Dado aprovado,6320
86403000,36,NivelFinal,Dado aprovado,39
86403000,36,ChuvaFinal,Dado aprovado,39
86410800,37,NivelFinal,Dado aprovado,6462
86410800,37,ChuvaFinal,Dado aprovado,6462
86410800,38,NivelFinal,Dado aprovado,6104
86410800,38,ChuvaFinal,Dado aprovado,6104
86410800,39,NivelFinal,Dado aprovado,39
86410800,39,ChuvaFinal,Dado aprovado,39
86447000,40,NivelFinal,Dado aprovado,6173
86447000,40,ChuvaFinal,Dado aprovado,6173
86447000,41,NivelFinal,Dado aprovado,6032
86447000,41,ChuvaFinal,Dado aprovado,6032
86447000,42,NivelFinal,Dado aprovado,39
86447000,42,ChuvaFinal,Dado aprovado,39
86448000,43,NivelFinal,Dado aprovado,6556
86448000,43,ChuvaFinal,Dado aprovado,6556
86448000,44,NivelFinal,Dado aprovado,6323
86448000,44,ChuvaFinal,Dado aprovado,6323
86448000,45,NivelFinal,Dado aprovado,39
86448000,45,ChuvaFinal,Dado aprovado,39
86450000,46,NivelFinal,Dado aprovado,6552
86450000,46,ChuvaFinal,Dado aprovado,6552
86450000,47,NivelFinal,Dado aprovado,10398
86450000,47,ChuvaFinal,Dado aprovado,10398
86450000,48,NivelFinal,Dado aprovado,156
86450000,48,ChuvaFinal,Dado aprovado,156
86471000,49,NivelFinal,Dado aprovado,5089
86471000,49,ChuvaFinal,Dado aprovado,5089
86471000,50,NivelFinal,Dado aprovado,10367
86471000,50,ChuvaFinal,Dado aprovado,10367
86471000,51,NivelFinal,Dado aprovado,156
86471000,51,ChuvaFinal,Dado aprovado,156
86472000,52,NivelFinal,Dado aprovado,26348
86472000,52,ChuvaFinal,Dado aprovado,26340
86472000,52,NivelFinal,None,32
86472000,52,ChuvaFinal,None,40
86472000,53,NivelFinal,Dado aprovado,24916
86472000,53,ChuvaFinal,Dado aprovado,25207
86472000,53,NivelFinal,Dado suspeito,197
86472000,53,NivelFinal,None,106
86472000,53,ChuvaFinal,None,12
86472000,54,NivelFinal,Dado aprovado,147
86472000,54,ChuvaFinal,Dado aprovado,147
86472000,55,NivelFinal,Dado aprovado,154
86472000,55,ChuvaFinal,Dado aprovado,155
86472000,55,NivelFinal,None,1
86472600,56,NivelFinal,Dado aprovado,24859
86472600,56,ChuvaFinal,Dado aprovado,24924
86472600,56,NivelFinal,Dado suspeito,8
86472600,56,ChuvaFinal,None,68
86472600,56,NivelFinal,None,127
86472600,56,ChuvaFinal,Dado suspeito,2
86472600,57,NivelFinal,Dado aprovado,25099
86472600,57,ChuvaFinal,Dado aprovado,25105
86472600,57,ChuvaFinal,None,36
86472600,57,NivelFinal,None,42
86472600,58,NivelFinal,Dado aprovado,148
86472600,58,ChuvaFinal,Dado aprovado,148
86472600,59,NivelFinal,Dado aprovado,156
86472600,59,ChuvaFinal,Dado aprovado,156
86479000,60,NivelFinal,Dado aprovado,6540
86479000,60,ChuvaFinal,Dado aprovado,6540
86479000,61,NivelFinal,Dado aprovado,5762
86479000,61,ChuvaFinal,Dado aprovado,5762
86479000,62,NivelFinal,Dado aprovado,39
86479000,62,ChuvaFinal,Dado aprovado,39
86488000,63,NivelFinal,Dado aprovado,6118
86488000,63,ChuvaFinal,Dado aprovado,6118
86488000,64,NivelFinal,Dado aprovado,5739
86488000,64,ChuvaFinal,Dado aprovado,5739
86488000,65,NivelFinal,Dado aprovado,32
86488000,65,ChuvaFinal,Dado aprovado,32
86493000,66,NivelFinal,Dado aprovado,6547
86493000,66,ChuvaFinal,Dado aprovado,6547
86493000,67,NivelFinal,Dado aprovado,6309
86493000,67,ChuvaFinal,Dado aprovado,6309
86493000,68,NivelFinal,Dado aprovado,39
86493000,68,ChuvaFinal,Dado aprovado,39
86495500,69,NivelFinal,Dado aprovado,6553
86495500,69,ChuvaFinal,Dado aprovado,6553
86495500,70,NivelFinal,Dado aprovado,6289
86495500,70,ChuvaFinal,Dado aprovado,6289
86495500,71,NivelFinal,Dado aprovado,39
86495500,71,ChuvaFinal,Dado aprovado,39
86500000,72,NivelFinal,Dado aprovado,26343
86500000,72,ChuvaFinal,Dado aprovado,26341
86500000,72,ChuvaFinal,None,31
86500000,72,NivelFinal,None,28
86500000,72,NivelFinal,Dado suspeito,1
86500000,73,NivelFinal,Dado aprovado,22076
86500000,73,ChuvaFinal,Dado aprovado,23186
86500000,73,NivelFinal,Dado suspeito,25
86500000,73,ChuvaFinal,None,177
86500000,73,NivelFinal,None,1262
86500000,74,NivelFinal,Dado aprovado,147
86500000,74,ChuvaFinal,Dado aprovado,147
86500000,75,NivelFinal,Dado aprovado,155
86500000,75,ChuvaFinal,Dado aprovado,155
86504900,76,NivelFinal,Dado aprovado,6004
86504900,76,ChuvaFinal,Dado aprovado,6004
86504900,77,NivelFinal,Dado aprovado,6322
86504900,77,ChuvaFinal,Dado aprovado,6322
86504900,78,NivelFinal,Dado aprovado,39
86504900,78,ChuvaFinal,Dado aprovado,39
86505500,79,NivelFinal,Dado aprovado,6536
86505500,79,ChuvaFinal,Dado aprovado,6536
86505500,80,NivelFinal,Dado aprovado,6307
86505500,80,ChuvaFinal,Dado aprovado,6307
86505500,81,NivelFinal,Dado aprovado,39
86505500,81,ChuvaFinal,Dado aprovado,39
86510000,82,NivelFinal,Dado aprovado,26219
