column_index,Radar_appended_column_index,name,units,finite,missing,minimum,maximum
0,180,julho:val_nivelmontante:level,m,12923,5,97.21,108.15
1,181,julho:val_nivelmontante:change1,m/h,12921,7,-0.23999999999999488,0.519999999999996
2,182,julho:val_nivelmontante:slope3,m/h,12919,9,-0.1933333333333375,0.4066666666666663
3,183,julho:val_nivelmontante:slope6,m/h,12916,12,-0.18000000000000208,0.3466666666666664
4,184,julho:val_niveljusante:level,m,12924,4,66.75,168.74
5,185,julho:val_niveljusante:change1,m/h,12923,5,-99.99000000000001,100.00000000000001
6,186,julho:val_niveljusante:slope3,m/h,12921,7,-33.34,33.34
7,187,julho:val_niveljusante:slope6,m/h,12918,10,-16.67,16.67
8,188,monte:val_nivelmontante:level,m,12923,5,146.8,153.39
9,189,monte:val_nivelmontante:change1,m/h,12921,7,-0.9799999999999898,1.0600000000000023
10,190,monte:val_nivelmontante:slope3,m/h,12919,9,-0.36333333333333445,0.5766666666666632
11,191,monte:val_nivelmontante:slope6,m/h,12916,12,-0.2566666666666653,0.44333333333333275
12,192,monte:val_niveljusante:level,m,12923,5,103.0,119.41
13,193,monte:val_niveljusante:change1,m/h,12921,7,-3.5900000000000034,4.640000000000001
14,194,monte:val_niveljusante:slope3,m/h,12919,9,-1.1600000000000013,1.5833333333333333
15,195,monte:val_niveljusante:slope6,m/h,12916,12,-0.5499999999999995,0.9466666666666654
16,196,castro:val_nivelmontante:level,m,12924,4,236.92,245.92
17,197,castro:val_nivelmontante:change1,m/h,12923,5,-0.18999999999999773,1.0999999999999943
18,198,castro:val_nivelmontante:slope3,m/h,12921,7,-0.18666666666666742,0.6399999999999958
19,199,castro:val_nivelmontante:slope6,m/h,12918,10,-0.17833333333333692,0.576666666666668
20,200,castro:val_niveljusante:level,m,12924,4,145.36,157.56
21,201,castro:val_niveljusante:change1,m/h,12923,5,-2.0600000000000023,2.700000000000017
22,202,castro:val_niveljusante:slope3,m/h,12921,7,-0.6400000000000053,0.9666666666666686
23,203,castro:val_niveljusante:slope6,m/h,12918,10,-0.37333333333333485,0.771666666666666
