phase,horizon_h,family,origin,target_time,base_m,actual_m
test,1,observed_control,2026-07-22T17:00:00-03:00,2026-07-22T18:00:00-03:00,,18.68
test,1,augmented,2026-07-22T17:00:00-03:00,2026-07-22T18:00:00-03:00,,18.68
test,1,core_original,2026-07-22T17:00:00-03:00,2026-07-22T18:00:00-03:00,,18.68
test,1,core_augmented,2026-07-22T17:00:00-03:00,2026-07-22T18:00:00-03:00,,18.68
test,2,observed_control,2026-07-22T17:00:00-03:00,2026-07-22T19:00:00-03:00,,18.43
test,2,augmented,2026-07-22T17:00:00-03:00,2026-07-22T19:00:00-03:00,,18.43
test,2,core_original,2026-07-22T17:00:00-03:00,2026-07-22T19:00:00-03:00,,18.43
test,2,core_augmented,2026-07-22T17:00:00-03:00,2026-07-22T19:00:00-03:00,,18.43
test,3,observed_control,2026-07-22T17:00:00-03:00,2026-07-22T20:00:00-03:00,,18.11
test,3,augmented,2026-07-22T17:00:00-03:00,2026-07-22T20:00:00-03:00,,18.11
test,3,core_original,2026-07-22T17:00:00-03:00,2026-07-22T20:00:00-03:00,,18.11
test,3,core_augmented,2026-07-22T17:00:00-03:00,2026-07-22T20:00:00-03:00,,18.11
test,4,observed_control,2026-07-22T17:00:00-03:00,2026-07-22T21:00:00-03:00,,17.79
test,4,augmented,2026-07-22T17:00:00-03:00,2026-07-22T21:00:00-03:00,,17.79
test,4,core_original,2026-07-22T17:00:00-03:00,2026-07-22T21:00:00-03:00,,17.79
test,4,core_augmented,2026-07-22T17:00:00-03:00,2026-07-22T21:00:00-03:00,,17.79
test,5,observed_control,2026-07-22T17:00:00-03:00,2026-07-22T22:00:00-03:00,,17.41
test,5,augmented,2026-07-22T17:00:00-03:00,2026-07-22T22:00:00-03:00,,17.41
test,5,core_original,2026-07-22T17:00:00-03:00,2026-07-22T22:00:00-03:00,,17.41
test,5,core_augmented,2026-07-22T17:00:00-03:00,2026-07-22T22:00:00-03:00,,17.41
test,6,observed_control,2026-07-22T17:00:00-03:00,2026-07-22T23:00:00-03:00,,17.04
test,6,augmented,2026-07-22T17:00:00-03:00,2026-07-22T23:00:00-03:00,,17.04
test,6,core_original,2026-07-22T17:00:00-03:00,2026-07-22T23:00:00-03:00,,17.04
test,6,core_augmented,2026-07-22T17:00:00-03:00,2026-07-22T23:00:00-03:00,,17.04
test,7,observed_control,2026-07-22T17:00:00-03:00,2026-07-23T00:00:00-03:00,,16.58
test,7,augmented,2026-07-22T17:00:00-03:00,2026-07-23T00:00:00-03:00,,16.58
test,7,core_original,2026-07-22T17:00:00-03:00,2026-07-23T00:00:00-03:00,,16.58
test,7,core_augmented,2026-07-22T17:00:00-03:00,2026-07-23T00:00:00-03:00,,16.58
test,8,observed_control,2026-07-22T17:00:00-03:00,2026-07-23T01:00:00-03:00,,16.07
test,8,augmented,2026-07-22T17:00:00-03:00,2026-07-23T01:00:00-03:00,,16.07
test,8,core_original,2026-07-22T17:00:00-03:00,2026-07-23T01:00:00-03:00,,16.07
test,8,core_augmented,2026-07-22T17:00:00-03:00,2026-07-23T01:00:00-03:00,,16.07
test,9,observed_control,2026-07-22T17:00:00-03:00,2026-07-23T02:00:00-03:00,,15.55
test,9,augmented,2026-07-22T17:00:00-03:00,2026-07-23T02:00:00-03:00,,15.55
test,9,core_original,2026-07-22T17:00:00-03:00,2026-07-23T02:00:00-03:00,,15.55
test,9,core_augmented,2026-07-22T17:00:00-03:00,2026-07-23T02:00:00-03:00,,15.55
test,10,observed_control,2026-07-22T17:00:00-03:00,2026-07-23T03:00:00-03:00,,14.98
test,10,augmented,2026-07-22T17:00:00-03:00,2026-07-23T03:00:00-03:00,,14.98
test,10,core_original,2026-07-22T17:00:00-03:00,2026-07-23T03:00:00-03:00,,14.98
test,10,core_augmented,2026-07-22T17:00:00-03:00,2026-07-23T03:00:00-03:00,,14.98
test,11,observed_control,2026-07-22T17:00:00-03:00,2026-07-23T04:00:00-03:00,,14.51
test,11,augmented,2026-07-22T17:00:00-03:00,2026-07-23T04:00:00-03:00,,14.51
test,11,core_original,2026-07-22T17:00:00-03:00,2026-07-23T04:00:00-03:00,,14.51
test,11,core_augmented,2026-07-22T17:00:00-03:00,2026-07-23T04:00:00-03:00,,14.51
test,12,observed_control,2026-07-22T17:00:00-03:00,2026-07-23T05:00:00-03:00,,14.07
test,12,augmented,2026-07-22T17:00:00-03:00,2026-07-23T05:00:00-03:00,,14.07
test,12,core_original,2026-07-22T17:00:00-03:00,2026-07-23T05:00:00-03:00,,14.07
test,12,core_augmented,2026-07-22T17:00:00-03:00,2026-07-23T05:00:00-03:00,,14.07
