phase,candidate,reference,dominates_hits_mae_max_all_horizons
validation,observed_control,augmented,False
validation,observed_control,core_original,False
validation,observed_control,core_augmented,False
validation,observed_control,levels45_original,False
validation,observed_control,levels45_augmented,False
validation,observed_control,rain108_original,False
validation,observed_control,rain108_augmented,False
validation,augmented,observed_control,False
validation,augmented,core_original,False
validation,augmented,core_augmented,False
validation,augmented,levels45_original,False
validation,augmented,levels45_augmented,False
validation,augmented,rain108_original,False
validation,augmented,rain108_augmented,False
validation,core_original,observed_control,False
validation,core_original,augmented,False
validation,core_original,core_augmented,False
validation,core_original,levels45_original,False
validation,core_original,levels45_augmented,False
validation,core_original,rain108_original,False
validation,core_original,rain108_augmented,False
validation,core_augmented,observed_control,False
validation,core_augmented,augmented,False
validation,core_augmented,core_original,False
validation,core_augmented,levels45_original,False
validation,core_augmented,levels45_augmented,False
validation,core_augmented,rain108_original,False
validation,core_augmented,rain108_augmented,False
validation,levels45_original,observed_control,False
validation,levels45_original,augmented,False
validation,levels45_original,core_original,False
validation,levels45_original,core_augmented,False
validation,levels45_original,levels45_augmented,False
validation,levels45_original,rain108_original,False
validation,levels45_original,rain108_augmented,False
validation,levels45_augmented,observed_control,False
validation,levels45_augmented,augmented,False
validation,levels45_augmented,core_original,False
validation,levels45_augmented,core_augmented,False
validation,levels45_augmented,levels45_original,False
validation,levels45_augmented,rain108_original,False
validation,levels45_augmented,rain108_augmented,False
validation,rain108_original,observed_control,False
validation,rain108_original,augmented,False
validation,rain108_original,core_original,False
validation,rain108_original,core_augmented,False
validation,rain108_original,levels45_original,False
validation,rain108_original,levels45_augmented,False
validation,rain108_original,rain108_augmented,False
validation,rain108_augmented,observed_control,False
validation,rain108_augmented,augmented,False
validation,rain108_augmented,core_original,False
validation,rain108_augmented,core_augmented,False
validation,rain108_augmented,levels45_original,False
validation,rain108_augmented,levels45_augmented,False
validation,rain108_augmented,rain108_original,False
test,observed_control,augmented,False
test,observed_control,core_original,False
test,observed_control,core_augmented,False
test,observed_control,levels45_original,False
test,observed_control,levels45_augmented,False
test,observed_control,rain108_original,False
test,observed_control,rain108_augmented,False
test,augmented,observed_control,False
test,augmented,core_original,False
test,augmented,core_augmented,False
test,augmented,levels45_original,False
test,augmented,levels45_augmented,False
test,augmented,rain108_original,False
test,augmented,rain108_augmented,False
test,core_original,observed_control,False
test,core_original,augmented,False
test,core_original,core_augmented,False
test,core_original,levels45_original,False
test,core_original,levels45_augmented,False
test,core_original,rain108_original,False
test,core_original,rain108_augmented,False
test,core_augmented,observed_control,False
test,core_augmented,augmented,False
test,core_augmented,core_original,False
test,core_augmented,levels45_original,False
test,core_augmented,levels45_augmented,False
test,core_augmented,rain108_original,False
test,core_augmented,rain108_augmented,False
test,levels45_original,observed_control,False
test,levels45_original,augmented,False
test,levels45_original,core_original,False
test,levels45_original,core_augmented,False
test,levels45_original,levels45_augmented,False
test,levels45_original,rain108_original,False
test,levels45_original,rain108_augmented,False
test,levels45_augmented,observed_control,False
test,levels45_augmented,augmented,False
test,levels45_augmented,core_original,False
test,levels45_augmented,core_augmented,False
test,levels45_augmented,levels45_original,False
test,levels45_augmented,rain108_original,False
test,levels45_augmented,rain108_augmented,False
test,rain108_original,observed_control,False
test,rain108_original,augmented,False
test,rain108_original,core_original,False
test,rain108_original,core_augmented,False
test,rain108_original,levels45_original,False
test,rain108_original,levels45_augmented,False
test,rain108_original,rain108_augmented,False
test,rain108_augmented,observed_control,False
test,rain108_augmented,augmented,False
test,rain108_augmented,core_original,False
test,rain108_augmented,core_augmented,False
test,rain108_augmented,levels45_original,False
test,rain108_augmented,levels45_augmented,False
test,rain108_augmented,rain108_original,False
both,observed_control,augmented,False
both,observed_control,core_original,False
both,observed_control,core_augmented,False
both,observed_control,levels45_original,False
both,observed_control,levels45_augmented,False
both,observed_control,rain108_original,False
both,observed_control,rain108_augmented,False
both,augmented,observed_control,False
both,augmented,core_original,False
both,augmented,core_augmented,False
both,augmented,levels45_original,False
both,augmented,levels45_augmented,False
both,augmented,rain108_original,False
both,augmented,rain108_augmented,False
both,core_original,observed_control,False
both,core_original,augmented,False
both,core_original,core_augmented,False
both,core_original,levels45_original,False
both,core_original,levels45_augmented,False
both,core_original,rain108_original,False
both,core_original,rain108_augmented,False
both,core_augmented,observed_control,False
both,core_augmented,augmented,False
both,core_augmented,core_original,False
both,core_augmented,levels45_original,False
both,core_augmented,levels45_augmented,False
both,core_augmented,rain108_original,False
both,core_augmented,rain108_augmented,False
both,levels45_original,observed_control,False
both,levels45_original,augmented,False
both,levels45_original,core_original,False
both,levels45_original,core_augmented,False
both,levels45_original,levels45_augmented,False
both,levels45_original,rain108_original,False
both,levels45_original,rain108_augmented,False
both,levels45_augmented,observed_control,False
both,levels45_augmented,augmented,False
both,levels45_augmented,core_original,False
both,levels45_augmented,core_augmented,False
both,levels45_augmented,levels45_original,False
both,levels45_augmented,rain108_original,False
both,levels45_augmented,rain108_augmented,False
both,rain108_original,observed_control,False
both,rain108_original,augmented,False
both,rain108_original,core_original,False
both,rain108_original,core_augmented,False
both,rain108_original,levels45_original,False
both,rain108_original,levels45_augmented,False
both,rain108_original,rain108_augmented,False
both,rain108_augmented,observed_control,False
both,rain108_augmented,augmented,False
both,rain108_augmented,core_original,False
both,rain108_augmented,core_augmented,False
both,rain108_augmented,levels45_original,False
both,rain108_augmented,levels45_augmented,False
both,rain108_augmented,rain108_original,False
