phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,1,year120,observed_control,augmented,28,28,0,0.0666807029630848,0.07586753928089005,0.009186836317805244,0.020062143129802985,0.04817294736848624,0.028110804238683257,0.21438872115969643,0.23597821968722388,0.02158949852752745,0.25365721478517145,0.2844677981726562,0.03081058338748477
validation,1,year33,core_original,core_augmented,28,28,0,0.07053470926401026,0.06020004405401199,-0.010334665209998269,0.014362662357881004,0.01468755194077739,0.00032488958289638575,0.17481136237806227,0.1542124004730363,-0.02059896190502597,0.18425926240222523,0.16246581788822922,-0.021793444513996008
validation,1,year45,levels45_original,levels45_augmented,28,28,0,0.06429655051933339,0.05773788476333779,-0.006558665755995598,0.008710509790566328,0.01097059549204693,0.002260085701480603,0.1867162914159286,0.16412156525112903,-0.022594726164799572,0.21492638410326492,0.20617006590437725,-0.00875631819888767
validation,1,year108,rain108_original,rain108_augmented,28,28,0,0.07112314911874093,0.07132897216963542,0.00020582305089449082,0.02860738260230763,0.0362044701017088,0.007597087499401165,0.18201223256392657,0.21785948890171417,0.0358472563377876,0.1869852972107484,0.2332988507103222,0.04631355349957378
validation,1,rain_with_aux_original,levels45_original,observed_control,28,28,0,0.06429655051933339,0.0666807029630848,0.002384152443751411,0.008710509790566328,0.020062143129802985,0.011351633339236658,0.1867162914159286,0.21438872115969643,0.027672429743767823,0.21492638410326492,0.25365721478517145,0.038730830681906525
validation,1,rain_with_aux_augmented,levels45_augmented,augmented,28,28,0,0.05773788476333779,0.07586753928089005,0.018129654517552253,0.01097059549204693,0.04817294736848624,0.03720235187643931,0.16412156525112903,0.23597821968722388,0.07185665443609485,0.20617006590437725,0.2844677981726562,0.07829773226827896
validation,1,rain_without_aux_original,core_original,rain108_original,28,28,0,0.07053470926401026,0.07112314911874093,0.0005884398547306713,0.014362662357881004,0.02860738260230763,0.014244720244426627,0.17481136237806227,0.18201223256392657,0.007200870185864294,0.18425926240222523,0.1869852972107484,0.002726034808523181
validation,1,rain_without_aux_augmented,core_augmented,rain108_augmented,28,28,0,0.06020004405401199,0.07132897216963542,0.01112892811562343,0.01468755194077739,0.0362044701017088,0.021516918160931407,0.1542124004730363,0.21785948890171417,0.06364708842867786,0.16246581788822922,0.2332988507103222,0.07083303282209297
validation,1,aux_with_rain_original,rain108_original,observed_control,28,28,0,0.07112314911874093,0.0666807029630848,-0.0044424461556561295,0.02860738260230763,0.020062143129802985,-0.008545239472504646,0.18201223256392657,0.21438872115969643,0.03237648859576986,0.1869852972107484,0.25365721478517145,0.06667191757442303
validation,1,aux_with_rain_augmented,rain108_augmented,augmented,28,28,0,0.07132897216963542,0.07586753928089005,0.004538567111254624,0.0362044701017088,0.04817294736848624,0.011968477266777446,0.21785948890171417,0.23597821968722388,0.018118730785509712,0.2332988507103222,0.2844677981726562,0.051168947462334025
validation,1,aux_without_rain_original,core_original,levels45_original,28,28,0,0.07053470926401026,0.06429655051933339,-0.006238158744676869,0.014362662357881004,0.008710509790566328,-0.005652152567314677,0.17481136237806227,0.1867162914159286,0.01190492903786633,0.18425926240222523,0.21492638410326492,0.03066712170103969
validation,1,aux_without_rain_augmented,core_augmented,levels45_augmented,28,28,0,0.06020004405401199,0.05773788476333779,-0.0024621592906741985,0.01468755194077739,0.01097059549204693,-0.0037169564487304595,0.1542124004730363,0.16412156525112903,0.009909164778092727,0.16246581788822922,0.20617006590437725,0.04370424801614803
validation,2,year120,observed_control,augmented,28,28,0,0.11897886238198042,0.12951907349574096,0.010540211113760536,0.02382246183854456,0.011678629413639983,-0.012143832424904577,0.3544459802504053,0.3835144772981856,0.029068497047780306,0.36191043129735867,0.44768831489714067,0.085777883599782
validation,2,year33,core_original,core_augmented,27,28,1,0.16316878136293617,0.12438253781048954,-0.03878624355244663,0.012259775734056693,0.0269201152959549,0.014660339561898208,0.5455550975367626,0.35380923567686295,-0.1917458618598996,0.6144893711934012,0.3905449828425498,-0.2239443883508514
