phase,horizon_h,interaction,left,right,difference_of_effects_hits,difference_of_effects_mae_m,difference_of_effects_max_abs_m
validation,1,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,0,0.015745502073800842,0.03956690158637244
validation,1,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,0,0.01054048826089276,0.06810699801356979
validation,1,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,0,0.008981013266910753,-0.01550297011208901
validation,1,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,0,0.003775999454002671,0.013037126315108338
validation,1,rain_aux_original,rain_without_aux_original,rain_with_aux_original,0,0.0017957125890207398,0.036004795873383344
validation,1,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,0,0.007000726401928822,0.007464699446185996
validation,2,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,0,0.022323711464011464,0.20931945447712152
validation,2,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-1,0.02710995086619182,0.19770470582399113
validation,2,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,0,0.022216503800015344,0.11201756612664227
validation,2,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-1,0.0270027432021957,0.10040281747351187
validation,2,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-1,0.015400449503536293,0.22452642391530286
validation,2,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,0,0.010614210101355936,0.23614117256843326
validation,3,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-1,-0.009039261888448308,-0.05209027200691985
validation,3,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,1,-0.030375116096229143,-0.1160277553311806
validation,3,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-5,0.08720064803372402,0.19581869326025547
validation,3,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-3,0.06586479382594318,0.13188120993599473
validation,3,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-2,0.012494985230077804,0.1452321023011809
validation,3,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-4,0.03383083943785864,0.20916958562544163
validation,4,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,1,0.011731660500004515,0.25325184908606335
validation,4,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-3,0.0480236796054217,0.16768147847580117
validation,4,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,0,0.05460074672374407,0.17182388483980393
validation,4,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-4,0.09089276582916125,0.08625351422954175
validation,4,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-4,0.07317389358407908,-0.1904090936869851
validation,4,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,0,0.0368818744786619,-0.10483872307672293
validation,5,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,0,0.06195186153918278,0.35416017506297326
validation,5,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-1,0.03579725452922644,0.11865381220960991
validation,5,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,0,0.03274351294679698,0.47838114935691856
validation,5,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-1,0.006588905936840639,0.2428747865035552
validation,5,rain_aux_original,rain_without_aux_original,rain_with_aux_original,5,-0.03363953392405447,-0.025463890701628245
validation,5,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,6,-0.007484926914098133,0.2100424721517351
validation,6,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-8,0.2600232748354196,0.6537725545652648
validation,6,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-5,0.21119591587283526,0.24592845484347858
validation,6,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-3,0.0986667940358657,0.5522310880399424
validation,6,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,0,0.04983943507328137,0.1443869883181561
validation,6,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-3,0.017998906308577034,-0.39025016701523096
validation,6,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-6,0.06682626527116137,0.017593932706555293
validation,7,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-7,0.23014988196078318,1.9406974099237804
