phase,horizon_h,family,original_n,added_n,weight_sum
validation,1,levels45_original,4362,0,4646
validation,1,levels45_augmented,4362,503,5171
validation,1,rain108_original,4362,0,4646
validation,1,rain108_augmented,4362,503,5171
test,1,levels45_original,10841,0,11137
test,1,levels45_augmented,10841,503,11662
test,1,rain108_original,10841,0,11137
test,1,rain108_augmented,10841,503,11662
validation,2,levels45_original,4360,0,4714
validation,2,levels45_augmented,4360,501,5249
validation,2,rain108_original,4360,0,4714
validation,2,rain108_augmented,4360,501,5249
test,2,levels45_original,10837,0,11273
test,2,levels45_augmented,10837,501,11808
test,2,rain108_original,10837,0,11273
test,2,rain108_augmented,10837,501,11808
validation,3,levels45_original,4358,0,4832
validation,3,levels45_augmented,4358,499,5373
validation,3,rain108_original,4358,0,4832
validation,3,rain108_augmented,4358,499,5373
test,3,levels45_original,10834,0,11510
test,3,levels45_augmented,10834,499,12051
test,3,rain108_original,10834,0,11510
test,3,rain108_augmented,10834,499,12051
validation,4,levels45_original,4356,0,4980
validation,4,levels45_augmented,4356,497,5525
validation,4,rain108_original,4356,0,4980
validation,4,rain108_augmented,4356,497,5525
test,4,levels45_original,10830,0,11762
test,4,levels45_augmented,10830,497,12307
test,4,rain108_original,10830,0,11762
test,4,rain108_augmented,10830,497,12307
validation,5,levels45_original,4355,0,5141
validation,5,levels45_augmented,4355,495,5698
validation,5,rain108_original,4355,0,5141
validation,5,rain108_augmented,4355,495,5698
test,5,levels45_original,10828,0,12152
test,5,levels45_augmented,10828,495,12709
test,5,rain108_original,10828,0,12152
test,5,rain108_augmented,10828,495,12709
validation,6,levels45_original,4354,0,5334
validation,6,levels45_augmented,4354,493,5899
validation,6,rain108_original,4354,0,5334
validation,6,rain108_augmented,4354,493,5899
test,6,levels45_original,10826,0,12558
test,6,levels45_augmented,10826,493,13123
test,6,rain108_original,10826,0,12558
test,6,rain108_augmented,10826,493,13123
validation,7,levels45_original,4353,0,5481
validation,7,levels45_augmented,4353,491,6054
validation,7,rain108_original,4353,0,5481
validation,7,rain108_augmented,4353,491,6054
test,7,levels45_original,10824,0,12870
test,7,levels45_augmented,10824,491,13443
test,7,rain108_original,10824,0,12870
test,7,rain108_augmented,10824,491,13443
validation,8,levels45_original,4352,0,5612
validation,8,levels45_augmented,4352,489,6197
validation,8,rain108_original,4352,0,5612
validation,8,rain108_augmented,4352,489,6197
test,8,levels45_original,10822,0,13128
test,8,levels45_augmented,10822,489,13713
test,8,rain108_original,10822,0,13128
test,8,rain108_augmented,10822,489,13713
validation,9,levels45_original,4351,0,5731
validation,9,levels45_augmented,4351,487,6338
validation,9,rain108_original,4351,0,5731
validation,9,rain108_augmented,4351,487,6338
test,9,levels45_original,10821,0,13363
test,9,levels45_augmented,10821,487,13970
test,9,rain108_original,10821,0,13363
test,9,rain108_augmented,10821,487,13970
validation,10,levels45_original,4350,0,5836
validation,10,levels45_augmented,4350,485,6453
validation,10,rain108_original,4350,0,5836
validation,10,rain108_augmented,4350,485,6453
test,10,levels45_original,10818,0,13556
test,10,levels45_augmented,10818,485,14173
test,10,rain108_original,10818,0,13556
test,10,rain108_augmented,10818,485,14173
validation,11,levels45_original,4349,0,5927
validation,11,levels45_augmented,4349,483,6560
validation,11,rain108_original,4349,0,5927
validation,11,rain108_augmented,4349,483,6560
test,11,levels45_original,10817,0,13701
test,11,levels45_augmented,10817,483,14334
test,11,rain108_original,10817,0,13701
test,11,rain108_augmented,10817,483,14334
validation,12,levels45_original,4348,0,6004
validation,12,levels45_augmented,4348,481,6667
validation,12,rain108_original,4348,0,6004
validation,12,rain108_augmented,4348,481,6667
test,12,levels45_original,10814,0,13812
test,12,levels45_augmented,10814,481,14475
test,12,rain108_original,10814,0,13812
test,12,rain108_augmented,10814,481,14475
