origin,target_time,base_m,actual_m,response_m,control_m,augmented_m,control_abs_error_m,augmented_abs_error_m,error_change_m
2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,8.4,4.64244530187294,5.195547310299369,7.34755469812706,6.794452689700631,-0.5531020084264284
2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,9.43,5.506138479442928,6.109957599751901,7.463861520557073,6.8600424002480995,-0.6038191203089731
2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,10.36,7.380541345445687,6.704589556213133,6.389458654554312,7.065410443786867,0.6759517892325544
2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,11.22,7.327269754047366,6.544902024868362,7.162730245952634,7.945097975131638,0.7823677291790041
2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,11.95,7.70873056121961,7.185360631632774,7.45126943878039,7.974639368367226,0.5233699295868366
2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,12.56,8.445390224791328,9.717755452248186,7.364609775208672,6.092244547751815,-1.2723652274568575
2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,13.08,8.912244691093182,10.00583480573975,7.587755308906818,6.494165194260249,-1.0935901146465685
2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,13.27,9.57000341615042,10.30888996185596,7.5899965838495795,6.851110038144039,-0.7388865457055402
2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,12.760000000000002,10.675239376340734,11.193488507553877,7.104760623659267,6.5865114924461245,-0.5182491312131425
2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,11.420000000000002,12.395571674058688,12.698487337123861,5.974428325941313,5.67151266287614,-0.30291566306517304
2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,10.02,13.5199555748097,13.587573762354292,5.270044425190299,5.202426237645707,-0.0676181875445927
2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,8.6,14.481495017174453,14.527505629582425,4.538504982825547,4.492494370417575,-0.04601061240797222
