phase,horizon_h,observed_targets,paired,hits_control,hits_augmented,hits_change,mae_control_m,mae_augmented_m,mae_change_m,max_control_m,max_augmented_m
validation,1,28,28,28,28,0,0.0666807029630848,0.06333335504352917,-0.0033473479195556266,0.25365721478517145,0.24943821848564696
validation,2,28,28,28,28,0,0.11897886238198042,0.11696550238526024,-0.002013359996720185,0.36191043129735867,0.3728587788332991
validation,3,28,28,26,26,0,0.16960676474370254,0.1502673038111546,-0.01933946093254793,0.6140799441250824,0.5506832464500686
validation,4,28,28,26,23,-3,0.16646123882897323,0.2921228861579999,0.12566164732902668,0.560207741268413,0.7093898649565311
validation,5,28,28,25,25,0,0.2291228510791504,0.2355024601811717,0.006379609102021316,0.7553061347974745,0.8954256355647745
validation,6,28,28,24,21,-3,0.2587119452642057,0.3550741139148806,0.09636216865067487,1.0962896884715265,1.386024455608342
validation,7,28,28,18,22,4,0.4275016599210431,0.36599592967606104,-0.06150573024498207,2.6556568259868305,1.6104075559087958
validation,8,28,28,20,21,1,0.4882291267479996,0.37579139202211265,-0.11243773472588697,2.5050304061770072,0.7601263675107086
validation,9,28,28,17,15,-2,0.6095633629892163,0.504473866873807,-0.1050894961154093,2.1405087524778477,0.9834888366483341
validation,10,28,28,11,10,-1,0.7637956998438623,0.7356940778716989,-0.02810162197216337,1.6643311821088886,1.6713292291906034
validation,11,28,28,9,11,2,0.913230549267538,0.7703725655892585,-0.1428579836782795,2.3488613754696814,1.9131478636324442
validation,12,28,28,7,7,0,0.9084925009708122,0.8928044255856857,-0.01568807538512651,2.619470094800553,2.6269778946483946
test,1,237,236,230,231,1,0.07747194053705365,0.06476384966726866,-0.012708090869785,1.284834339803509,0.9375133944874756
test,2,237,236,225,225,0,0.14574519761403643,0.13340345651541086,-0.01234174109862557,2.4854087637465963,1.739874407090178
test,3,237,236,206,218,12,0.2397801871519601,0.2045290355720415,-0.035251151579918594,3.5268719363183774,3.0549834478696507
test,4,237,236,189,195,6,0.3477376475215351,0.3120340189086519,-0.035703628612883176,4.159274231826119,3.789297893218299
test,5,237,236,174,180,6,0.44950094391357975,0.41425014656526404,-0.03525079734831571,4.732017992487203,4.197175167878556
test,6,237,236,149,163,14,0.5992745509944473,0.5361155561391127,-0.0631589948553346,5.717300772050423,4.704522031131441
test,7,237,236,132,164,32,0.7350302813017384,0.5468895482338202,-0.18814073306791823,5.611443817837554,4.638033184969102
test,8,237,236,128,143,15,0.8437648586743666,0.6777920248435835,-0.1659728338307831,6.185898482285559,5.446067301688627
test,9,237,236,113,124,11,0.9692832556460395,0.8094479487623841,-0.15983530688365533,6.0003742492804815,6.169177317055857
test,10,237,236,93,109,16,1.0678142840693023,0.9459917650300765,-0.12182251903922581,6.464545216847842,6.448103913221744
test,11,237,236,85,101,16,1.1782923476697535,1.0918713368645792,-0.08642101080517439,6.566430652044184,7.526430836325472
test,12,237,236,83,87,4,1.3618131697950429,1.2303379463822062,-0.13147522341283668,7.5899965838495795,7.974639368367226
