phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,level_ge_7m,full_schedule,observed_control,6551,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,full_schedule,augmented,6551,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
validation,2,level_ge_7m,full_schedule,observed_control,6550,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
validation,2,level_ge_7m,full_schedule,augmented,6550,28,28,0,28,1.0,1.0,0.11696550238526024,0.0012352105638357028,0.3594508607550828,0.3728587788332991
validation,3,level_ge_7m,full_schedule,observed_control,6549,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16960676474370254,0.0480847892416398,0.5556545652840782,0.6140799441250824
validation,3,level_ge_7m,full_schedule,augmented,6549,28,28,0,26,0.9285714285714286,0.9285714285714286,0.1502673038111546,0.09533394613663794,0.5406408494591053,0.5506832464500686
validation,4,level_ge_7m,full_schedule,observed_control,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
validation,4,level_ge_7m,full_schedule,augmented,6548,28,28,0,23,0.8214285714285714,0.8214285714285714,0.2921228861579999,0.1828676187884579,0.6708210096405526,0.7093898649565311
validation,5,level_ge_7m,full_schedule,observed_control,6547,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
validation,5,level_ge_7m,full_schedule,augmented,6547,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2355024601811717,0.11675886546164316,0.7730412775641098,0.8954256355647745
validation,6,level_ge_7m,full_schedule,observed_control,6546,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
validation,6,level_ge_7m,full_schedule,augmented,6546,28,28,0,21,0.75,0.75,0.3550741139148806,0.2457170568496924,1.047826571049586,1.386024455608342
validation,7,level_ge_7m,full_schedule,observed_control,6545,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4275016599210431,0.3297182360213466,1.6964790563889107,2.6556568259868305
