horizon_h,origin,base_m,target_m,eligible
1,2020-07-08T05:00:00-03:00,19.02,,False
1,2020-07-08T06:00:00-03:00,,,False
1,2020-07-08T07:00:00-03:00,,,False
1,2020-07-08T08:00:00-03:00,,,False
1,2020-07-08T09:00:00-03:00,,,False
1,2020-07-08T10:00:00-03:00,,,False
1,2020-07-08T11:00:00-03:00,,,False
1,2020-07-08T12:00:00-03:00,,,False
1,2020-07-08T13:00:00-03:00,,,False
1,2020-07-08T14:00:00-03:00,,,False
1,2020-07-08T15:00:00-03:00,,,False
1,2020-07-08T16:00:00-03:00,,,False
1,2020-07-08T17:00:00-03:00,,,False
1,2020-07-08T18:00:00-03:00,,,False
1,2020-07-08T19:00:00-03:00,,,False
1,2020-07-08T20:00:00-03:00,,,False
1,2020-07-08T21:00:00-03:00,,,False
1,2020-07-08T22:00:00-03:00,,,False
1,2020-07-08T23:00:00-03:00,,,False
1,2020-07-09T00:00:00-03:00,,,False
1,2020-07-09T01:00:00-03:00,,,False
1,2020-07-09T02:00:00-03:00,,,False
1,2020-07-09T03:00:00-03:00,,19.35,False
2,2020-07-08T05:00:00-03:00,19.02,,False
2,2020-07-08T06:00:00-03:00,,,False
2,2020-07-08T07:00:00-03:00,,,False
2,2020-07-08T08:00:00-03:00,,,False
2,2020-07-08T09:00:00-03:00,,,False
2,2020-07-08T10:00:00-03:00,,,False
2,2020-07-08T11:00:00-03:00,,,False
2,2020-07-08T12:00:00-03:00,,,False
2,2020-07-08T13:00:00-03:00,,,False
2,2020-07-08T14:00:00-03:00,,,False
2,2020-07-08T15:00:00-03:00,,,False
2,2020-07-08T16:00:00-03:00,,,False
2,2020-07-08T17:00:00-03:00,,,False
2,2020-07-08T18:00:00-03:00,,,False
2,2020-07-08T19:00:00-03:00,,,False
2,2020-07-08T20:00:00-03:00,,,False
2,2020-07-08T21:00:00-03:00,,,False
2,2020-07-08T22:00:00-03:00,,,False
2,2020-07-08T23:00:00-03:00,,,False
2,2020-07-09T00:00:00-03:00,,,False
2,2020-07-09T01:00:00-03:00,,,False
2,2020-07-09T02:00:00-03:00,,19.35,False
2,2020-07-09T03:00:00-03:00,,18.85,False
3,2020-07-08T05:00:00-03:00,19.02,,False
3,2020-07-08T06:00:00-03:00,,,False
3,2020-07-08T07:00:00-03:00,,,False
3,2020-07-08T08:00:00-03:00,,,False
3,2020-07-08T09:00:00-03:00,,,False
3,2020-07-08T10:00:00-03:00,,,False
3,2020-07-08T11:00:00-03:00,,,False
3,2020-07-08T12:00:00-03:00,,,False
3,2020-07-08T13:00:00-03:00,,,False
3,2020-07-08T14:00:00-03:00,,,False
3,2020-07-08T15:00:00-03:00,,,False
3,2020-07-08T16:00:00-03:00,,,False
3,2020-07-08T17:00:00-03:00,,,False
3,2020-07-08T18:00:00-03:00,,,False
3,2020-07-08T19:00:00-03:00,,,False
3,2020-07-08T20:00:00-03:00,,,False
3,2020-07-08T21:00:00-03:00,,,False
3,2020-07-08T22:00:00-03:00,,,False
3,2020-07-08T23:00:00-03:00,,,False
3,2020-07-09T00:00:00-03:00,,,False
3,2020-07-09T01:00:00-03:00,,19.35,False
3,2020-07-09T02:00:00-03:00,,18.85,False
3,2020-07-09T03:00:00-03:00,,18.4,False
4,2020-07-08T05:00:00-03:00,19.02,,False
4,2020-07-08T06:00:00-03:00,,,False
4,2020-07-08T07:00:00-03:00,,,False
4,2020-07-08T08:00:00-03:00,,,False
4,2020-07-08T09:00:00-03:00,,,False
4,2020-07-08T10:00:00-03:00,,,False
4,2020-07-08T11:00:00-03:00,,,False
4,2020-07-08T12:00:00-03:00,,,False
4,2020-07-08T13:00:00-03:00,,,False
4,2020-07-08T14:00:00-03:00,,,False
4,2020-07-08T15:00:00-03:00,,,False
4,2020-07-08T16:00:00-03:00,,,False
4,2020-07-08T17:00:00-03:00,,,False
4,2020-07-08T18:00:00-03:00,,,False
4,2020-07-08T19:00:00-03:00,,,False
4,2020-07-08T20:00:00-03:00,,,False
4,2020-07-08T21:00:00-03:00,,,False
4,2020-07-08T22:00:00-03:00,,,False
4,2020-07-08T23:00:00-03:00,,,False
4,2020-07-09T00:00:00-03:00,,19.35,False
4,2020-07-09T01:00:00-03:00,,18.85,False
4,2020-07-09T02:00:00-03:00,,18.4,False
4,2020-07-09T03:00:00-03:00,,17.87,False
5,2020-07-08T05:00:00-03:00,19.02,,False
5,2020-07-08T06:00:00-03:00,,,False
5,2020-07-08T07:00:00-03:00,,,False
5,2020-07-08T08:00:00-03:00,,,False
5,2020-07-08T09:00:00-03:00,,,False
5,2020-07-08T10:00:00-03:00,,,False
5,2020-07-08T11:00:00-03:00,,,False
5,2020-07-08T12:00:00-03:00,,,False
5,2020-07-08T13:00:00-03:00,,,False
5,2020-07-08T14:00:00-03:00,,,False
5,2020-07-08T15:00:00-03:00,,,False
5,2020-07-08T16:00:00-03:00,,,False
5,2020-07-08T17:00:00-03:00,,,False
5,2020-07-08T18:00:00-03:00,,,False
5,2020-07-08T19:00:00-03:00,,,False
5,2020-07-08T20:00:00-03:00,,,False
5,2020-07-08T21:00:00-03:00,,,False
5,2020-07-08T22:00:00-03:00,,,False
5,2020-07-08T23:00:00-03:00,,19.35,False
5,2020-07-09T00:00:00-03:00,,18.85,False
5,2020-07-09T01:00:00-03:00,,18.4,False
5,2020-07-09T02:00:00-03:00,,17.87,False
5,2020-07-09T03:00:00-03:00,,17.31,False
6,2020-07-08T05:00:00-03:00,19.02,,False
6,2020-07-08T06:00:00-03:00,,,False
6,2020-07-08T07:00:00-03:00,,,False
6,2020-07-08T08:00:00-03:00,,,False
6,2020-07-08T09:00:00-03:00,,,False
6,2020-07-08T10:00:00-03:00,,,False
6,2020-07-08T11:00:00-03:00,,,False
6,2020-07-08T12:00:00-03:00,,,False
6,2020-07-08T13:00:00-03:00,,,False
6,2020-07-08T14:00:00-03:00,,,False
6,2020-07-08T15:00:00-03:00,,,False
6,2020-07-08T16:00:00-03:00,,,False
6,2020-07-08T17:00:00-03:00,,,False
6,2020-07-08T18:00:00-03:00,,,False
6,2020-07-08T19:00:00-03:00,,,False
6,2020-07-08T20:00:00-03:00,,,False
6,2020-07-08T21:00:00-03:00,,,False
6,2020-07-08T22:00:00-03:00,,19.35,False
6,2020-07-08T23:00:00-03:00,,18.85,False
6,2020-07-09T00:00:00-03:00,,18.4,False
6,2020-07-09T01:00:00-03:00,,17.87,False
6,2020-07-09T02:00:00-03:00,,17.31,False
6,2020-07-09T03:00:00-03:00,,16.81,False
7,2020-07-08T05:00:00-03:00,19.02,,False
7,2020-07-08T06:00:00-03:00,,,False
7,2020-07-08T07:00:00-03:00,,,False
7,2020-07-08T08:00:00-03:00,,,False
7,2020-07-08T09:00:00-03:00,,,False
7,2020-07-08T10:00:00-03:00,,,False
7,2020-07-08T11:00:00-03:00,,,False
7,2020-07-08T12:00:00-03:00,,,False
7,2020-07-08T13:00:00-03:00,,,False
7,2020-07-08T14:00:00-03:00,,,False
7,2020-07-08T15:00:00-03:00,,,False
7,2020-07-08T16:00:00-03:00,,,False
7,2020-07-08T17:00:00-03:00,,,False
7,2020-07-08T18:00:00-03:00,,,False
7,2020-07-08T19:00:00-03:00,,,False
7,2020-07-08T20:00:00-03:00,,,False
7,2020-07-08T21:00:00-03:00,,19.35,False
7,2020-07-08T22:00:00-03:00,,18.85,False
7,2020-07-08T23:00:00-03:00,,18.4,False
7,2020-07-09T00:00:00-03:00,,17.87,False
7,2020-07-09T01:00:00-03:00,,17.31,False
7,2020-07-09T02:00:00-03:00,,16.81,False
7,2020-07-09T03:00:00-03:00,,16.37,False
8,2020-07-08T05:00:00-03:00,19.02,,False
8,2020-07-08T06:00:00-03:00,,,False
8,2020-07-08T07:00:00-03:00,,,False
8,2020-07-08T08:00:00-03:00,,,False
8,2020-07-08T09:00:00-03:00,,,False
8,2020-07-08T10:00:00-03:00,,,False
8,2020-07-08T11:00:00-03:00,,,False
8,2020-07-08T12:00:00-03:00,,,False
8,2020-07-08T13:00:00-03:00,,,False
8,2020-07-08T14:00:00-03:00,,,False
8,2020-07-08T15:00:00-03:00,,,False
8,2020-07-08T16:00:00-03:00,,,False
8,2020-07-08T17:00:00-03:00,,,False
8,2020-07-08T18:00:00-03:00,,,False
8,2020-07-08T19:00:00-03:00,,,False
8,2020-07-08T20:00:00-03:00,,19.35,False
8,2020-07-08T21:00:00-03:00,,18.85,False
8,2020-07-08T22:00:00-03:00,,18.4,False
8,2020-07-08T23:00:00-03:00,,17.87,False
8,2020-07-09T00:00:00-03:00,,17.31,False
8,2020-07-09T01:00:00-03:00,,16.81,False
8,2020-07-09T02:00:00-03:00,,16.37,False
8,2020-07-09T03:00:00-03:00,,15.87,False
9,2020-07-08T05:00:00-03:00,19.02,,False
9,2020-07-08T06:00:00-03:00,,,False
9,2020-07-08T07:00:00-03:00,,,False
9,2020-07-08T08:00:00-03:00,,,False
9,2020-07-08T09:00:00-03:00,,,False
9,2020-07-08T10:00:00-03:00,,,False
9,2020-07-08T11:00:00-03:00,,,False
9,2020-07-08T12:00:00-03:00,,,False
9,2020-07-08T13:00:00-03:00,,,False
9,2020-07-08T14:00:00-03:00,,,False
9,2020-07-08T15:00:00-03:00,,,False
9,2020-07-08T16:00:00-03:00,,,False
9,2020-07-08T17:00:00-03:00,,,False
9,2020-07-08T18:00:00-03:00,,,False
9,2020-07-08T19:00:00-03:00,,19.35,False
9,2020-07-08T20:00:00-03:00,,18.85,False
9,2020-07-08T21:00:00-03:00,,18.4,False
9,2020-07-08T22:00:00-03:00,,17.87,False
