origin,target_time,base_m,actual_m,target_minus_base_m,native_control_m,augmented_m,control_error_m,augmented_error_m,control_abs_error_m,augmented_abs_error_m,abs_error_change_m
2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,8.4,4.84169306393728,5.267804430336562,-7.1483069360627205,-6.722195569663438,7.1483069360627205,6.722195569663438,-0.42611136639928215
2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,9.43,5.789792825661115,5.836494951028255,-7.180207174338886,-7.133505048971745,7.180207174338886,7.133505048971745,-0.04670212536714047
2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,10.36,7.497690907826345,7.258293264612316,-6.272309092173654,-6.511706735387683,6.272309092173654,6.511706735387683,0.239397643214029
2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,11.22,7.365617478642649,6.401933479204965,-7.124382521357351,-8.088066520795035,7.124382521357351,8.088066520795035,0.9636839994376842
2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,11.95,7.58465078370872,7.66396357763003,-7.57534921629128,-7.49603642236997,7.57534921629128,7.49603642236997,-0.07931279392130985
2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,12.56,8.307812800874991,8.36062000368858,-7.502187199125009,-7.449379996311421,7.502187199125009,7.449379996311421,-0.05280720281358775
2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,13.08,8.578474249501976,9.087446839107788,-7.921525750498024,-7.412553160892212,7.921525750498024,7.412553160892212,-0.5089725896058113
2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,13.27,9.404067642329865,11.016869034670918,-7.755932357670135,-6.143130965329082,7.755932357670135,6.143130965329082,-1.6128013923410531
2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,12.760000000000002,10.442311589895809,12.21174325384982,-7.337688410104192,-5.5682567461501815,7.337688410104192,5.5682567461501815,-1.7694316639540109
2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,11.420000000000002,12.170336230532879,12.959962321309906,-6.199663769467122,-5.410037678690095,6.199663769467122,5.410037678690095,-0.789626090777027
2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,10.02,13.527595001512935,14.286891686198256,-5.262404998487064,-4.503108313801743,5.262404998487064,4.503108313801743,-0.7592966846853209
2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,8.6,14.757654045187302,15.599351174539084,-4.262345954812698,-3.4206488254609155,4.262345954812698,3.4206488254609155,-0.8416971293517825
