at,epoch,scope,classification,level_approved_m,raw_level_cm,raw_level_qc,raw_flow,raw_flow_qc,source_path,record_start_line,approved_q_in_other_preserved_xml
2025-04-06T03:45:00-03:00,1743921900.0,other,no_exact_record,,,,,,,,0
2025-04-06T04:00:00-03:00,1743922800.0,other,no_exact_record,,,,,,,,0
2025-04-06T04:15:00-03:00,1743923700.0,other,no_exact_record,,,,,,,,0
2025-04-06T04:30:00-03:00,1743924600.0,other,no_exact_record,,,,,,,,0
2025-04-26T09:45:00-03:00,1745671500.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,430883,0
2025-04-26T10:00:00-03:00,1745672400.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,430865,0
2025-04-26T10:15:00-03:00,1745673300.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,430847,0
2025-06-17T18:15:00-03:00,1750194900.0,other,q_qc_rejected,,444.00,Dado suspeito,489.40,Dado suspeito,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,340415,0
2025-09-14T21:45:00-03:00,1757897100.0,other,no_exact_record,,,,,,,,0
2025-09-14T22:00:00-03:00,1757898000.0,other,no_exact_record,,,,,,,,0
2025-09-14T22:15:00-03:00,1757898900.0,other,no_exact_record,,,,,,,,0
2025-09-14T22:30:00-03:00,1757899800.0,other,no_exact_record,,,,,,,,0
2025-09-28T19:45:00-03:00,1759099500.0,other,no_exact_record,,,,,,,,0
2025-09-28T20:00:00-03:00,1759100400.0,other,no_exact_record,,,,,,,,0
2025-09-28T20:15:00-03:00,1759101300.0,other,no_exact_record,,,,,,,,0
2025-09-28T20:30:00-03:00,1759102200.0,other,no_exact_record,,,,,,,,0
2025-10-15T17:45:00-03:00,1760561100.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133235,0
2025-10-15T18:00:00-03:00,1760562000.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133217,0
2025-10-15T18:15:00-03:00,1760562900.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133199,0
2025-10-15T18:30:00-03:00,1760563800.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133181,0
2025-10-15T18:45:00-03:00,1760564700.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133163,0
2025-10-15T19:00:00-03:00,1760565600.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133145,0
2025-10-15T19:15:00-03:00,1760566500.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133127,0
2025-10-15T19:30:00-03:00,1760567400.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133109,0
2025-10-15T19:45:00-03:00,1760568300.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133091,0
2025-10-15T20:00:00-03:00,1760569200.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,133073,0
