forecast_sha256,model_id,reference_at,issued_at,manual_revision,observed_anchor_at,anchor_age_at_reference_min,anchor_age_at_actual_issue_min,reference_minus15min_present_in_linked_receipts,linked_observation_receipts
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,radar_arvores_live_candidate,2026-09-21T16:00:00-03:00,2026-09-21T20:01:10.071258+00:00,False,2026-09-21T16:00:00-03:00,0.0,61.1678543,True,1
2d3b85231f6d718af0bb78929161b487272572edcc2acefeaf3a927f4338bfb1,hge_arno_live_candidate,2026-09-21T16:00:00-03:00,2026-09-21T20:01:10.100814+00:00,False,2026-09-21T16:00:00-03:00,0.0,61.168346899999996,True,1
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,radar_arvores_live_candidate,2026-09-21T17:00:00-03:00,2026-09-21T20:31:09.277372+00:00,False,2026-09-21T17:00:00-03:00,0.0,31.154622866666667,True,1
8444bde31a69ea6b4595d45249244f7155a2ac9a26a6bf173731a560c98f58df,hge_arno_live_candidate,2026-09-21T17:00:00-03:00,2026-09-21T20:31:09.338342+00:00,False,2026-09-21T17:00:00-03:00,0.0,31.155639033333333,True,1
971a360ec71a51cf033cb732230d29ecf3db0b1657199019814d504f3753851a,radar_arvores_live_candidate,2026-09-21T18:00:00-03:00,2026-09-21T21:02:09.620438+00:00,False,2026-09-21T17:30:00-03:00,30.0,32.160340633333334,False,1
22e604d97385ad9c265187bd2e12d01c4c99c40dba11d318f4285af90d4883c3,hge_arno_live_candidate,2026-09-21T18:00:00-03:00,2026-09-21T21:02:09.728188+00:00,False,2026-09-21T17:30:00-03:00,30.0,32.16213646666667,False,1
4291fc462eca9b448f6950b435232d04b1754d905e3091175ef70b0b0ec4de4d,radar_arvores_live_candidate,2026-09-21T18:00:00-03:00,2026-09-21T21:35:00.363259+00:00,True,2026-09-21T18:00:00-03:00,0.0,35.00605431666667,True,1
704eec3077036cb7a0b38b62c462fcc600616007c210efa69752d0bd94d48ff7,hge_arno_live_candidate,2026-09-21T18:00:00-03:00,2026-09-21T21:35:00.457099+00:00,True,2026-09-21T18:00:00-03:00,0.0,35.00761831666667,True,1
b31d299f358563172a98bf233a20c0c68216f592fde27f6af61686f6dbec89d4,radar_arvores_live_candidate,2026-09-21T19:00:00-03:00,2026-09-21T22:02:15.832959+00:00,False,2026-09-21T18:30:00-03:00,30.0,32.26388265,False,1
c8dee31732874e10e536be980c35cc985395bccf902bc64ddb688890d4c64841,hge_arno_live_candidate,2026-09-21T19:00:00-03:00,2026-09-21T22:02:15.936195+00:00,False,2026-09-21T18:30:00-03:00,30.0,32.26560325,False,1
