plant,variable,previous_timestamp,timestamp,previous_value_m,value_m,delta_m,elapsed_hours,rate_m_per_hour,previous_source_file,previous_source_line,source_file,source_line,I_raw,Q_raw,context_zero_or_negative
JIUHCA,val_nivelmontante,2026-09-21 10:00:00,2026-09-21 11:00:00,241.11,242.21,1.0999999999999943,1.0,1.0999999999999943,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,982,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,2834.0,1205.0,False
JIUHCA,val_niveljusante,2025-04-10 18:00:00,2025-04-10 19:00:00,148.11,147.11,-1.0,1.0,-1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_04-ceran.csv,955,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_04-ceran.csv,956,143.0,173.0,False
JIUHCA,val_niveljusante,2025-04-19 15:00:00,2025-04-19 16:00:00,148.05,147.02,-1.0300000000000011,1.0,-1.0300000000000011,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_04-ceran.csv,1168,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_04-ceran.csv,1169,35.0,20.0,False
JIUHCA,val_niveljusante,2025-05-18 02:00:00,2025-05-18 03:00:00,146.64,147.64,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,1155,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,1156,39.0,24.0,False
JIUHCA,val_niveljusante,2025-06-09 06:00:00,2025-06-09 07:00:00,148.3,147.27,-1.0300000000000011,1.0,-1.0300000000000011,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,919,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,920,129.0,174.0,False
JIUHCA,val_niveljusante,2025-06-09 07:00:00,2025-06-09 08:00:00,147.27,148.27,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,920,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,921,131.0,176.0,False
JIUHCA,val_niveljusante,2025-06-27 10:00:00,2025-06-27 11:00:00,148.01,149.35,1.3400000000000034,1.0,1.3400000000000034,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,1355,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,1356,481.0,466.0,False
JIUHCA,val_niveljusante,2025-07-27 23:00:00,2025-07-27 23:59:00,148.59,147.44,-1.1500000000000057,0.9833333333333333,-1.1694915254237346,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,1392,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,1393,114.0,174.0,False
JIUHCA,val_niveljusante,2025-07-31 17:00:00,2025-07-31 18:00:00,148.99,147.88,-1.1100000000000136,1.0,-1.1100000000000136,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,1482,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,1483,185.0,185.0,False
JIUHCA,val_niveljusante,2025-08-02 07:00:00,2025-08-02 08:00:00,147.36,145.97,-1.3900000000000148,1.0,-1.3900000000000148,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,776,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,777,122.0,19.0,False
JIUHCA,val_niveljusante,2025-08-02 15:00:00,2025-08-02 16:00:00,146.23,147.46,1.2300000000000182,1.0,1.2300000000000182,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,784,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,785,190.0,131.0,False
JIUHCA,val_niveljusante,2025-08-02 17:00:00,2025-08-02 18:00:00,147.54,145.95,-1.5900000000000034,1.0,-1.5900000000000034,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,786,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,787,141.0,229.0,False
JIUHCA,val_niveljusante,2025-08-02 20:00:00,2025-08-02 21:00:00,145.7,148.4,2.700000000000017,1.0,2.700000000000017,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,789,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,790,140.0,199.0,False
JIUHCA,val_niveljusante,2025-10-27 07:00:00,2025-10-27 08:00:00,145.76,147.68,1.920000000000016,1.0,1.920000000000016,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1376,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1377,72.0,72.0,False
JIUHCA,val_niveljusante,2025-10-27 08:00:00,2025-10-27 09:00:00,147.68,145.62,-2.0600000000000023,1.0,-2.0600000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1377,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1378,78.0,78.0,False
