plant,variable,previous_timestamp,timestamp,previous_value_m,value_m,delta_m,elapsed_hours,rate_m_per_hour,previous_source_file,previous_source_line,source_file,source_line,I_raw,Q_raw,context_zero_or_negative
JIUHQJ,val_nivelmontante,2026-09-21 10:00:00,2026-09-21 11:00:00,104.87,105.39,0.519999999999996,1.0,0.519999999999996,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,491,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,492,2402.0,1564.0,False
JIUHQJ,val_nivelmontante,2025-06-17 22:00:00,2025-06-17 23:00:00,104.8,105.3,0.5,1.0,0.5,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,407,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,408,1781.0,976.0,False
JIUHQJ,val_nivelmontante,2025-11-08 01:00:00,2025-11-08 02:00:00,104.47,104.94,0.46999999999999886,1.0,0.46999999999999886,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,170,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,171,1470.0,713.0,False
JIUHQJ,val_nivelmontante,2026-09-21 09:00:00,2026-09-21 10:00:00,104.41,104.87,0.46000000000000796,1.0,0.46000000000000796,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,490,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,491,1254.0,513.0,False
JIUHQJ,val_nivelmontante,2026-07-22 01:00:00,2026-07-22 02:00:00,106.99,107.42,0.4300000000000068,1.0,0.4300000000000068,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,506,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,507,6396.0,5703.0,False
JIUHQJ,val_nivelmontante,2026-07-21 23:59:00,2026-07-22 01:00:00,106.58,106.99,0.4099999999999966,1.0166666666666666,0.4032786885245868,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,505,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,506,5706.0,5045.0,False
JIUHQJ,val_nivelmontante,2026-07-22 02:00:00,2026-07-22 03:00:00,107.42,107.8,0.37999999999999545,1.0,0.37999999999999545,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,507,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,508,6948.0,6336.0,False
JIUHQJ,val_nivelmontante,2026-07-29 08:00:00,2026-07-29 09:00:00,106.91,107.28,0.37000000000000455,1.0,0.37000000000000455,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,681,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,682,6079.0,5483.0,False
JIUHQJ,val_nivelmontante,2025-11-08 02:00:00,2025-11-08 03:00:00,104.94,105.3,0.35999999999999943,1.0,0.35999999999999943,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,171,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,172,1553.0,973.0,False
JIUHQJ,val_nivelmontante,2026-07-29 06:00:00,2026-07-29 07:00:00,106.38,106.74,0.35999999999999943,1.0,0.35999999999999943,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,679,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,680,5441.0,4861.0,False
JIUHQJ,val_nivelmontante,2025-06-17 23:00:00,2025-06-17 23:59:00,105.3,105.65,0.3500000000000085,0.9833333333333333,0.3559322033898392,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,408,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,409,2268.0,1704.0,False
JIUHQJ,val_nivelmontante,2026-07-21 22:00:00,2026-07-21 23:00:00,106.05,106.39,0.3400000000000034,1.0,0.3400000000000034,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,503,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,504,4718.0,4170.0,False
JIUHQJ,val_nivelmontante,2026-07-21 18:00:00,2026-07-21 19:00:00,104.98,105.31,0.3299999999999983,1.0,0.3299999999999983,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,499,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,500,1719.0,1187.0,False
JIUHQJ,val_nivelmontante,2026-07-21 21:00:00,2026-07-21 22:00:00,105.72,106.05,0.3299999999999983,1.0,0.3299999999999983,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,502,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,503,3497.0,2965.0,False
JIUHQJ,val_nivelmontante,2026-07-22 03:00:00,2026-07-22 04:00:00,107.8,108.11,0.3100000000000023,1.0,0.3100000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,508,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,509,7384.0,6885.0,False
JIUHQJ,val_nivelmontante,2025-06-29 09:00:00,2025-06-29 10:00:00,106.2,106.5,0.29999999999999716,1.0,0.29999999999999716,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,682,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,683,4901.0,4418.0,False
JIUHQJ,val_nivelmontante,2025-09-09 10:00:00,2025-09-09 11:00:00,104.45,104.75,0.29999999999999716,1.0,0.29999999999999716,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,203,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,204,842.0,359.0,False
JIUHQJ,val_nivelmontante,2025-11-07 23:59:00,2025-11-08 01:00:00,104.17,104.47,0.29999999999999716,1.0166666666666666,0.295081967213112,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,169,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,170,954.0,470.0,False
JIUHQJ,val_nivelmontante,2026-07-28 13:00:00,2026-07-28 14:00:00,105.28,105.57,0.28999999999999204,1.0,0.28999999999999204,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,662,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,663,1766.0,1298.0,False
JIUHQJ,val_nivelmontante,2025-06-29 10:00:00,2025-06-29 11:00:00,106.5,106.78,0.28000000000000114,1.0,0.28000000000000114,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,683,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,684,5189.0,4738.0,False
JIUHQJ,val_niveljusante,2025-05-03 13:00:00,2025-05-03 14:00:00,68.74,168.74,100.00000000000001,1.0,100.00000000000001,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,62,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,63,29.0,29.0,False
JIUHQJ,val_niveljusante,2025-05-03 14:00:00,2025-05-03 15:00:00,168.74,68.75,-99.99000000000001,1.0,-99.99000000000001,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,63,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,64,28.0,28.0,False
