id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_record_index
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 01:00:00,103.3,71.5,30.0,383.0,367.0,339.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37403
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 02:00:00,103.33,71.51,33.0,418.0,369.0,341.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37404
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 03:00:00,103.33,71.5,33.0,370.0,370.0,342.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37405
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 04:00:00,103.37,71.5,37.0,434.0,370.0,342.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37406
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 05:00:00,103.39,71.5,39.0,402.0,370.0,342.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37407
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 06:00:00,103.44,71.51,44.0,451.0,370.0,342.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37408
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 07:00:00,103.5,71.5,50.0,466.0,370.0,341.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37409
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 08:00:00,103.53,71.5,53.0,418.0,370.0,342.0,0.0,28.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37410
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 09:00:00,103.56,71.48,56.0,418.0,369.0,341.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37411
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 10:00:00,103.61,71.5,61.0,450.0,369.0,341.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37412
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 11:00:00,103.63,71.5,63.0,401.0,369.0,340.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37413
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 12:00:00,103.68,71.5,68.0,449.0,369.0,340.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37414
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 13:00:00,103.72,71.5,72.0,433.0,368.0,339.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37415
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 14:00:00,103.73,71.5,73.0,384.0,368.0,340.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37416
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 15:00:00,103.76,71.5,76.0,416.0,368.0,339.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37417
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 16:00:00,103.83,71.5,83.0,480.0,367.0,338.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37418
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 17:00:00,103.89,71.48,89.0,463.0,367.0,338.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37419
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 18:00:00,104.0,71.5,100.0,543.0,366.0,337.0,0.0,29.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37420
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 19:00:00,104.2,71.48,119.96,716.0,394.0,335.0,30.0,30.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37421
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 20:00:00,104.47,71.5,146.9,913.0,478.0,332.0,116.0,30.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37422
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 21:00:00,104.74,71.67,173.84,1039.0,604.0,331.0,242.0,31.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37423
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 22:00:00,104.94,71.99,193.8,1046.0,724.0,332.0,361.0,31.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37424
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 23:00:00,105.12,72.37,215.71,1138.0,848.0,334.0,483.0,31.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37425
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-01 23:59:00,105.28,72.67,236.94,1228.0,970.0,335.0,603.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37426
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 01:00:00,105.4,73.0,252.87,1264.0,1070.0,337.0,701.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37427
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 02:00:00,105.51,73.27,267.46,1346.0,1168.0,339.0,797.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37428
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 03:00:00,105.62,73.46,282.06,1448.0,1271.0,340.0,898.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37429
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 04:00:00,105.73,73.74,296.66,1558.0,1380.0,342.0,1006.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37430
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 05:00:00,105.85,73.99,312.58,1699.0,1506.0,343.0,1130.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37431
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 06:00:00,105.9,74.18,319.21,1640.0,1560.0,344.0,1183.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37432
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 07:00:00,105.91,74.32,320.54,1587.0,1571.0,344.0,1194.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37433
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 08:00:00,105.91,74.35,320.54,1570.0,1570.0,343.0,1194.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37434
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 09:00:00,105.91,74.34,320.54,1569.0,1569.0,342.0,1194.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37435
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 10:00:00,105.88,74.34,316.56,1488.0,1537.0,342.0,1162.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37436
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 11:00:00,105.85,74.29,312.58,1455.0,1504.0,341.0,1130.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37437
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 12:00:00,106.01,74.29,333.81,1936.0,1678.0,340.0,1305.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37438
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 13:00:00,106.15,74.41,352.39,2061.0,1835.0,338.0,1464.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37439
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 14:00:00,106.2,74.8,359.02,1968.0,1887.0,334.0,1520.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37440
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 15:00:00,106.21,74.87,360.35,1914.0,1898.0,333.0,1532.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37441
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 16:00:00,106.22,74.88,361.68,1920.0,1904.0,328.0,1543.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37442
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 17:00:00,106.22,74.92,361.68,1900.0,1900.0,324.0,1543.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37443
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 18:00:00,106.21,74.94,360.35,1873.0,1889.0,324.0,1532.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37444
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 19:00:00,106.21,74.92,360.35,1888.0,1888.0,324.0,1532.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37445
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 20:00:00,106.19,74.92,357.7,1833.0,1866.0,324.0,1509.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37446
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 21:00:00,106.19,74.89,357.7,1865.0,1865.0,324.0,1509.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37447
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 22:00:00,106.2,74.87,359.02,1893.0,1877.0,323.0,1520.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37448
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 23:00:00,106.11,75.03,347.08,1947.0,2092.0,325.0,1734.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37449
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-02 23:59:00,106.06,75.14,340.45,1950.0,2031.0,321.0,1677.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37450
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-03 01:00:00,106.11,74.78,347.08,2191.0,2111.0,32.0,2046.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37451
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-03 02:00:00,106.09,74.92,344.43,2023.0,2056.0,0.0,2023.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37452
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-03 03:00:00,105.88,75.43,316.56,1808.0,2146.0,328.0,1786.0,33.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37453
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-03 04:00:00,105.79,75.37,304.62,1918.0,2063.0,341.0,1689.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37454
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2018-09-03 05:00:00,105.72,75.16,295.33,1875.0,1988.0,338.0,1618.0,32.0,0.0,,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-09.csv,37455
