window,origin_literal,all_18_lookups_available,uses_zero,Q_zero_positive_components,Q_balance_residual_gt1
2018-08-30,2018-08-30T00:00:00,True,False,False,False
2018-08-30,2018-08-30T01:00:00,True,False,False,False
2018-08-30,2018-08-30T02:00:00,True,False,False,False
2018-08-30,2018-08-30T03:00:00,True,False,False,False
2018-08-30,2018-08-30T04:00:00,True,False,False,False
2018-08-30,2018-08-30T05:00:00,True,False,False,False
2018-08-30,2018-08-30T06:00:00,True,False,False,False
2018-08-30,2018-08-30T07:00:00,True,False,False,False
2018-08-30,2018-08-30T08:00:00,True,False,False,False
2018-08-30,2018-08-30T09:00:00,True,False,False,False
2018-08-30,2018-08-30T10:00:00,True,False,False,False
2018-08-30,2018-08-30T11:00:00,True,False,False,False
2018-08-30,2018-08-30T12:00:00,True,False,False,False
2018-08-30,2018-08-30T13:00:00,True,False,False,False
2018-08-30,2018-08-30T14:00:00,True,False,False,False
2018-08-30,2018-08-30T15:00:00,True,False,False,False
2018-08-30,2018-08-30T16:00:00,True,False,False,False
2018-08-30,2018-08-30T17:00:00,True,False,False,False
2018-08-30,2018-08-30T18:00:00,True,False,False,False
2018-08-30,2018-08-30T19:00:00,True,False,False,False
2018-08-30,2018-08-30T20:00:00,True,False,False,False
2018-08-30,2018-08-30T21:00:00,True,False,False,False
2018-08-30,2018-08-30T22:00:00,True,False,False,False
2018-08-30,2018-08-30T23:00:00,True,False,False,False
2018-08-30,2018-08-31T00:00:00,True,False,False,False
2018-08-30,2018-08-31T01:00:00,True,False,False,False
2018-08-30,2018-08-31T02:00:00,True,False,False,False
2018-08-30,2018-08-31T03:00:00,True,False,False,False
2018-08-30,2018-08-31T04:00:00,True,False,False,False
2018-08-30,2018-08-31T05:00:00,True,False,False,False
2018-08-30,2018-08-31T06:00:00,True,False,False,False
2018-08-30,2018-08-31T07:00:00,True,False,False,False
2018-08-30,2018-08-31T08:00:00,True,False,False,False
2018-08-30,2018-08-31T09:00:00,True,False,False,False
2018-08-30,2018-08-31T10:00:00,True,False,False,False
2018-08-30,2018-08-31T11:00:00,True,False,False,False
2018-08-30,2018-08-31T12:00:00,True,False,False,False
2018-08-30,2018-08-31T13:00:00,True,False,False,False
2018-08-30,2018-08-31T14:00:00,True,False,False,False
2018-08-30,2018-08-31T15:00:00,True,False,False,False
2018-08-30,2018-08-31T16:00:00,True,False,False,False
2018-08-30,2018-08-31T17:00:00,True,False,False,False
2018-08-30,2018-08-31T18:00:00,True,False,False,False
2018-08-30,2018-08-31T19:00:00,True,False,False,False
2018-08-30,2018-08-31T20:00:00,True,False,False,False
2018-08-30,2018-08-31T21:00:00,True,False,False,False
2018-08-30,2018-08-31T22:00:00,True,False,False,False
2018-08-30,2018-08-31T23:00:00,True,False,False,False
2018-08-30,2018-09-01T00:00:00,True,False,False,False
2018-08-30,2018-09-01T01:00:00,True,False,False,False
2018-08-30,2018-09-01T02:00:00,True,False,False,False
2018-08-30,2018-09-01T03:00:00,True,False,False,False
2018-08-30,2018-09-01T04:00:00,True,False,False,False
2018-08-30,2018-09-01T05:00:00,True,False,False,False
2018-08-30,2018-09-01T06:00:00,True,False,False,False
2018-08-30,2018-09-01T07:00:00,True,False,False,False
2018-08-30,2018-09-01T08:00:00,True,False,False,False
2018-08-30,2018-09-01T09:00:00,True,False,False,False
2018-08-30,2018-09-01T10:00:00,True,False,False,False
2018-08-30,2018-09-01T11:00:00,True,False,False,False
2018-08-30,2018-09-01T12:00:00,True,False,False,False
2018-08-30,2018-09-01T13:00:00,True,False,False,False
2018-08-30,2018-09-01T14:00:00,True,False,False,False
2018-08-30,2018-09-01T15:00:00,True,False,False,False
2018-08-30,2018-09-01T16:00:00,True,False,False,False
2018-08-30,2018-09-01T17:00:00,True,False,False,False
2018-08-30,2018-09-01T18:00:00,True,False,False,False
2018-08-30,2018-09-01T19:00:00,True,False,False,False
2018-08-30,2018-09-01T20:00:00,True,False,False,False
2018-08-30,2018-09-01T21:00:00,True,False,False,False
2018-08-30,2018-09-01T22:00:00,True,False,False,False
2018-08-30,2018-09-01T23:00:00,True,False,False,False
2018-08-30,2018-09-02T00:00:00,True,False,False,False
2018-08-30,2018-09-02T01:00:00,True,False,False,False
2018-08-30,2018-09-02T02:00:00,True,False,False,False
2018-08-30,2018-09-02T03:00:00,True,False,False,False
2018-08-30,2018-09-02T04:00:00,True,False,False,False
2018-08-30,2018-09-02T05:00:00,True,False,False,False
2018-08-30,2018-09-02T06:00:00,True,False,False,False
2018-08-30,2018-09-02T07:00:00,True,False,False,False
2018-08-30,2018-09-02T08:00:00,True,False,False,False
2018-08-30,2018-09-02T09:00:00,True,False,False,False
2018-08-30,2018-09-02T10:00:00,True,False,False,False
2018-08-30,2018-09-02T11:00:00,True,False,False,False
2018-08-30,2018-09-02T12:00:00,True,False,False,False
2018-08-30,2018-09-02T13:00:00,True,False,False,False
2018-08-30,2018-09-02T14:00:00,True,False,False,False
2018-08-30,2018-09-02T15:00:00,True,False,False,False
2018-08-30,2018-09-02T16:00:00,True,False,False,False
2018-08-30,2018-09-02T17:00:00,True,False,False,False
2018-08-30,2018-09-02T18:00:00,True,False,False,False
2018-08-30,2018-09-02T19:00:00,True,False,False,False
2018-08-30,2018-09-02T20:00:00,True,False,False,False
2018-08-30,2018-09-02T21:00:00,True,False,False,False
2018-08-30,2018-09-02T22:00:00,True,False,False,False
2018-08-30,2018-09-02T23:00:00,True,False,False,False
2018-08-30,2018-09-03T00:00:00,True,False,False,False
2018-08-30,2018-09-03T01:00:00,True,False,False,False
2018-08-30,2018-09-03T02:00:00,True,False,False,False
2018-08-30,2018-09-03T03:00:00,True,False,False,False
2018-08-30,2018-09-03T04:00:00,True,False,False,False
2018-08-30,2018-09-03T05:00:00,True,False,False,False
2018-08-30,2018-09-03T06:00:00,True,False,False,False
2018-08-30,2018-09-03T07:00:00,True,False,False,False
2018-08-30,2018-09-03T08:00:00,True,False,False,False
2018-08-30,2018-09-03T09:00:00,True,False,False,False
2018-08-30,2018-09-03T10:00:00,True,False,False,False
2018-08-30,2018-09-03T11:00:00,True,False,False,False
2018-08-30,2018-09-03T12:00:00,True,False,False,False
2018-08-30,2018-09-03T13:00:00,True,False,False,False
2018-08-30,2018-09-03T14:00:00,True,False,False,False
2018-08-30,2018-09-03T15:00:00,True,False,False,False
2018-08-30,2018-09-03T16:00:00,True,False,False,False
2018-08-30,2018-09-03T17:00:00,True,False,False,False
2018-08-30,2018-09-03T18:00:00,True,False,False,False
2018-08-30,2018-09-03T19:00:00,True,False,False,False
2018-08-30,2018-09-03T20:00:00,True,False,False,False
2018-08-30,2018-09-03T21:00:00,True,False,False,False
2018-08-30,2018-09-03T22:00:00,True,False,False,False
2018-08-30,2018-09-03T23:00:00,True,False,False,False
