id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;id_reservatorio;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 01:00:00;49.28;25.02;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 02:00:00;49.28;25.02;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 03:00:00;49.28;25.13;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 04:00:00;49.28;25.12;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 05:00:00;49.28;25.18;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 06:00:00;49.28;25.24;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 07:00:00;49.28;25.24;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 08:00:00;49.27;25.25;60.21;227.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 09:00:00;49.27;25.27;60.21;227.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 10:00:00;49.27;25.28;60.21;227.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 11:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 12:00:00;49.28;25.29;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 13:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 14:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 15:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 16:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 17:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 18:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 19:00:00;49.28;25.28;60.42;480.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 20:00:00;49.26;25.29;60.01;-25.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 21:00:00;49.26;26.26;60.01;-25.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 22:00:00;49.26;26.25;60.01;-25.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 23:00:00;49.26;25.34;60.01;-25.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-01 23:59:00;49.26;25.28;60.01;-25.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 01:00:00;49.25;25.29;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 02:00:00;49.25;25.34;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 03:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 04:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 05:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 06:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 07:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 08:00:00;49.25;25.29;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 09:00:00;49.25;25.29;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 10:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2018-09-02 11:00:00;49.25;25.28;59.8;228.0;480.0;480.0;0.0;0.0;0.0;
