origin,plant,variable,back_hours,query_naive,source_time_naive,age_seconds,value_m3s,usable,zero,Q_zero_positive_components,balance_residual_gt1,source_file,source_record_index
2020-07-01T00:00:00-03:00,JIUHQJ,Q,0,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2376.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39586
2020-07-01T00:00:00-03:00,JIUHQJ,Q,1,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,2490.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39585
2020-07-01T00:00:00-03:00,JIUHQJ,Q,2,2020-06-30T21:00:00,2020-06-30 21:00:00,0.0,2666.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39584
2020-07-01T00:00:00-03:00,JIUHQJ,Q,4,2020-06-30T19:00:00,2020-06-30 19:00:00,0.0,1515.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39582
2020-07-01T00:00:00-03:00,JIUHQJ,Q,8,2020-06-30T15:00:00,2020-06-30 15:00:00,0.0,787.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39578
2020-07-01T00:00:00-03:00,JIUHQJ,I,0,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2231.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39586
2020-07-01T00:00:00-03:00,JIUHMC,Q,0,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2407.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43906
2020-07-01T00:00:00-03:00,JIUHMC,Q,1,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,2217.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43905
2020-07-01T00:00:00-03:00,JIUHMC,Q,2,2020-06-30T21:00:00,2020-06-30 21:00:00,0.0,2263.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43904
2020-07-01T00:00:00-03:00,JIUHMC,Q,4,2020-06-30T19:00:00,2020-06-30 19:00:00,0.0,2080.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43902
