window,origin_literal,plant,variable,back_hours,query_literal,source_literal,age_seconds,value_m3s,usable,uses_zero,Q_zero_positive_components,Q_balance_residual_gt1,source_file,source_record_index
2024-06-15,2024-06-15T00:00:00,JIUHQJ,Q,0,2024-06-14T23:00:00,2024-06-14 23:00:00,0.0,154.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39800
2024-06-15,2024-06-15T00:00:00,JIUHQJ,Q,1,2024-06-14T22:00:00,2024-06-14 22:00:00,0.0,151.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39799
2024-06-15,2024-06-15T00:00:00,JIUHQJ,Q,2,2024-06-14T21:00:00,2024-06-14 21:00:00,0.0,151.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39798
2024-06-15,2024-06-15T00:00:00,JIUHQJ,Q,4,2024-06-14T19:00:00,2024-06-14 19:00:00,0.0,151.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39796
2024-06-15,2024-06-15T00:00:00,JIUHQJ,Q,8,2024-06-14T15:00:00,2024-06-14 15:00:00,0.0,139.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39792
2024-06-15,2024-06-15T00:00:00,JIUHQJ,I,0,2024-06-14T23:00:00,2024-06-14 23:00:00,0.0,154.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,39800
2024-06-15,2024-06-15T00:00:00,JIUHMC,Q,0,2024-06-14T23:00:00,2024-06-14 23:00:00,0.0,154.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,44839
2024-06-15,2024-06-15T00:00:00,JIUHMC,Q,1,2024-06-14T22:00:00,2024-06-14 22:00:00,0.0,154.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,44838
2024-06-15,2024-06-15T00:00:00,JIUHMC,Q,2,2024-06-14T21:00:00,2024-06-14 21:00:00,0.0,151.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,44837
2024-06-15,2024-06-15T00:00:00,JIUHMC,Q,4,2024-06-14T19:00:00,2024-06-14 19:00:00,0.0,151.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,44835
2024-06-15,2024-06-15T00:00:00,JIUHMC,Q,8,2024-06-14T15:00:00,2024-06-14 15:00:00,0.0,145.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,44831
2024-06-15,2024-06-15T00:00:00,JIUHMC,I,0,2024-06-14T23:00:00,2024-06-14 23:00:00,0.0,154.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,44839
2024-06-15,2024-06-15T00:00:00,JIUHCA,Q,0,2024-06-14T23:00:00,2024-06-14 23:00:00,0.0,126.0,True,False,False,False,outputs/auditoria-qi-radar-junho2024-20260922/raw/ons-2024-06.csv,41239
