plant,ts,time,Q,I,turbined,spilled,residual,source,ONS_Q,ONS_I,delta_Q,delta_I,CERAN_Q_minus_turbined_spilled,CERAN_Q_minus_all_including_residual
monte,1789848000.0,2026-09-19T17:00:00-03:00,276.02,292.69,0.0,276.02,5.5,JSON,276.0,293.0,0.01999999999998181,-0.3100000000000023,0.0,-5.5
julho,1789848000.0,2026-09-19T17:00:00-03:00,201.42,249.75,0.0,201.42,30.42,JSON,201.0,250.0,0.4199999999999875,-0.25,0.0,-30.42
castro,1789848000.0,2026-09-19T17:00:00-03:00,173.18,173.18,154.77,18.41,18.41,JSON,173.0,173.0,0.18000000000000682,0.18000000000000682,-3.552713678800501e-15,-18.410000000000004
monte,1789851600.0,2026-09-19T18:00:00-03:00,370.4,299.57,168.6,201.8,5.5,JSON,370.0,300.0,0.39999999999997726,-0.4300000000000068,-2.842170943040401e-14,-5.500000000000028
julho,1789851600.0,2026-09-19T18:00:00-03:00,459.23,249.79,313.44,145.79,30.19,JSON,459.0,250.0,0.2300000000000182,-0.21000000000000796,2.842170943040401e-14,-30.189999999999973
castro,1789851600.0,2026-09-19T18:00:00-03:00,173.08,173.08,154.67,18.41,18.41,JSON,173.0,173.0,0.0800000000000125,0.0800000000000125,2.4868995751603507e-14,-18.409999999999975
julho,1789855200.0,2026-09-19T19:00:00-03:00,454.85,390.41,324.33,130.52,30.12,JSON,455.0,390.0,-0.14999999999997726,0.410000000000025,2.842170943040401e-14,-30.119999999999973
castro,1789855200.0,2026-09-19T19:00:00-03:00,173.26,158.45,154.86,18.4,18.4,JSON,173.0,158.0,0.2599999999999909,0.44999999999998863,-2.1316282072803006e-14,-18.40000000000002
monte,1789855200.0,2026-09-19T19:00:00-03:00,337.59,300.09,172.36,165.23,5.5,JSON,338.0,300.0,-0.410000000000025,0.08999999999997499,-2.842170943040401e-14,-5.500000000000028
julho,1789858800.0,2026-09-19T20:00:00-03:00,447.77,415.55,324.89,122.88,30.08,JSON,448.0,416.0,-0.2300000000000182,-0.44999999999998863,0.0,-30.08
castro,1789858800.0,2026-09-19T20:00:00-03:00,173.34,173.34,154.94,18.4,18.4,JSON,173.0,173.0,0.3400000000000034,0.3400000000000034,7.105427357601002e-15,-18.39999999999999
monte,1789858800.0,2026-09-19T20:00:00-03:00,307.94,274.61,171.97,135.97,5.5,JSON,308.0,275.0,-0.060000000000002274,-0.38999999999998636,0.0,-5.5
monte,1789862400.0,2026-09-19T21:00:00-03:00,290.79,269.96,171.56,119.23,5.5,JSON,291.0,270.0,-0.20999999999997954,-0.040000000000020464,1.4210854715202004e-14,-5.499999999999986
julho,1789862400.0,2026-09-19T21:00:00-03:00,432.86,352.3,326.67,106.19,29.99,JSON,433.0,352.0,-0.13999999999998636,0.30000000000001137,0.0,-29.99
castro,1789862400.0,2026-09-19T21:00:00-03:00,173.35,173.35,154.95,18.4,18.4,JSON,173.0,173.0,0.3499999999999943,0.3499999999999943,7.105427357601002e-15,-18.39999999999999
monte,1789866000.0,2026-09-19T22:00:00-03:00,281.24,268.74,171.38,109.86,5.5,JSON,281.0,269.0,0.2400000000000091,-0.2599999999999909,1.4210854715202004e-14,-5.499999999999986
julho,1789866000.0,2026-09-19T22:00:00-03:00,416.85,336.29,326.75,90.1,29.9,JSON,417.0,336.0,-0.14999999999997726,0.29000000000002046,2.842170943040401e-14,-29.89999999999997
castro,1789866000.0,2026-09-19T22:00:00-03:00,173.29,158.48,154.9,18.39,18.39,JSON,173.0,158.0,0.28999999999999204,0.47999999999998977,-1.4210854715202004e-14,-18.390000000000015
castro,1789869600.0,2026-09-19T23:00:00-03:00,173.23,158.42,154.86,18.37,18.37,JSON,173.0,158.0,0.22999999999998977,0.4199999999999875,-2.4868995751603507e-14,-18.370000000000026
julho,1789869600.0,2026-09-19T23:00:00-03:00,402.67,322.11,326.66,76.01,29.81,JSON,403.0,322.0,-0.3299999999999841,0.11000000000001364,-1.4210854715202004e-14,-29.810000000000013
monte,1789869600.0,2026-09-19T23:00:00-03:00,266.09,245.26,170.95,95.14,5.5,JSON,266.0,245.0,0.08999999999997499,0.2599999999999909,-1.4210854715202004e-14,-5.500000000000014
castro,1789876800.0,2026-09-20T01:00:00-03:00,172.87,202.48,154.47,18.4,18.4,JSON,173.0,202.0,-0.12999999999999545,0.47999999999998977,7.105427357601002e-15,-18.39999999999999
monte,1789876800.0,2026-09-20T01:00:00-03:00,257.69,253.52,170.84,86.85,5.5,JSON,258.0,254.0,-0.3100000000000023,-0.47999999999998977,0.0,-5.5
julho,1789876800.0,2026-09-20T01:00:00-03:00,377.27,312.83,323.62,53.65,29.65,JSON,377.0,313.0,0.2699999999999818,-0.17000000000001592,-2.1316282072803006e-14,-29.65000000000002
julho,1789880400.0,2026-09-20T02:00:00-03:00,367.37,286.81,323.81,43.56,29.56,JSON,367.0,287.0,0.37000000000000455,-0.18999999999999773,0.0,-29.56
monte,1789880400.0,2026-09-20T02:00:00-03:00,262.96,271.29,170.63,92.33,5.5,JSON,263.0,271.0,-0.040000000000020464,0.29000000000002046,-1.4210854715202004e-14,-5.500000000000014
castro,1789880400.0,2026-09-20T02:00:00-03:00,172.49,216.91,154.06,18.43,18.43,JSON,172.0,217.0,0.4900000000000091,-0.09000000000000341,7.105427357601002e-15,-18.429999999999993
monte,1789884000.0,2026-09-20T03:00:00-03:00,271.72,284.22,170.83,100.89,5.5,JSON,272.0,284.0,-0.2799999999999727,0.22000000000002728,1.4210854715202004e-14,-5.499999999999986
castro,1789884000.0,2026-09-20T03:00:00-03:00,172.32,231.54,153.84,18.48,18.48,JSON,172.0,232.0,0.3199999999999932,-0.46000000000000796,-1.0658141036401503e-14,-18.48000000000001
julho,1789884000.0,2026-09-20T03:00:00-03:00,362.16,313.83,323.66,38.5,29.5,JSON,362.0,314.0,0.160000000000025,-0.17000000000001592,0.0,-29.5
castro,1789887600.0,2026-09-20T04:00:00-03:00,172.41,216.83,153.89,18.52,18.52,JSON,172.0,217.0,0.4099999999999966,-0.1699999999999875,1.0658141036401503e-14,-18.51999999999999
monte,1789887600.0,2026-09-20T04:00:00-03:00,277.56,285.89,170.74,106.82,5.5,JSON,278.0,286.0,-0.4399999999999977,-0.11000000000001364,0.0,-5.5
julho,1789887600.0,2026-09-20T04:00:00-03:00,360.07,311.74,324.62,35.45,29.45,JSON,360.0,312.0,0.06999999999999318,-0.2599999999999909,-1.4210854715202004e-14,-29.450000000000014
julho,1789891200.0,2026-09-20T05:00:00-03:00,361.52,329.3,328.11,33.41,29.41,JSON,362.0,329.0,-0.4800000000000182,0.30000000000001137,-2.842170943040401e-14,-29.41000000000003
monte,1789891200.0,2026-09-20T05:00:00-03:00,303.81,337.14,171.28,132.53,5.5,JSON,304.0,337.0,-0.18999999999999773,0.13999999999998636,0.0,-5.5
castro,1789891200.0,2026-09-20T05:00:00-03:00,172.56,246.59,153.99,18.57,18.57,JSON,173.0,247.0,-0.4399999999999977,-0.4099999999999966,-7.105427357601002e-15,-18.570000000000007
julho,1789894800.0,2026-09-20T06:00:00-03:00,350.28,285.84,320.94,29.34,29.34,JSON,350.0,286.0,0.2799999999999727,-0.160000000000025,-2.4868995751603507e-14,-29.340000000000025
monte,1789894800.0,2026-09-20T06:00:00-03:00,296.33,288.0,170.55,125.78,5.5,JSON,296.0,288.0,0.3299999999999841,0.0,-2.842170943040401e-14,-5.500000000000028
castro,1789894800.0,2026-09-20T06:00:00-03:00,172.7,231.92,154.08,18.62,18.62,JSON,173.0,232.0,-0.30000000000001137,-0.0800000000000125,-2.4868995751603507e-14,-18.620000000000026
monte,1789898400.0,2026-09-20T07:00:00-03:00,338.77,388.77,169.67,169.1,5.5,JSON,339.0,389.0,-0.2300000000000182,-0.2300000000000182,0.0,-5.5
castro,1789898400.0,2026-09-20T07:00:00-03:00,172.62,246.65,153.94,18.68,18.68,JSON,173.0,247.0,-0.37999999999999545,-0.3499999999999943,7.105427357601002e-15,-18.679999999999993
