plant,variable,time,previous,value,delta_m3s_h,source_file,source_line,interpretation
castro,val_vazaoafluente,2026-07-22 02:00:00,3863.0,4480.0,617.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1251,REVIEW_ONLY_NOT_INVALIDATED
castro,val_vazaoafluente,2026-07-22 03:00:00,4480.0,5173.0,693.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1252,REVIEW_ONLY_NOT_INVALIDATED
castro,val_vazaoafluente,2026-09-21 10:00:00,605.0,1372.0,767.0,DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,982,REVIEW_ONLY_NOT_INVALIDATED
castro,val_vazaoafluente,2026-09-21 11:00:00,1372.0,2834.0,1462.0,DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,REVIEW_ONLY_NOT_INVALIDATED
castro,val_vazaodefluente,2026-07-22 02:00:00,3374.0,3887.0,513.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1251,REVIEW_ONLY_NOT_INVALIDATED
castro,val_vazaodefluente,2026-07-22 03:00:00,3887.0,4507.0,620.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1252,REVIEW_ONLY_NOT_INVALIDATED
castro,val_vazaodefluente,2026-09-21 11:00:00,513.0,1205.0,692.0,DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-17 23:00:00,954.0,1781.0,827.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,408,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-18 14:00:00,2228.0,2814.0,586.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,423,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-18 18:00:00,2811.0,3415.0,604.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,427,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-19 01:00:00,2768.0,3279.0,511.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,434,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-23 09:00:00,2058.0,2863.0,805.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,538,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-23 14:00:00,3435.0,4007.0,572.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,543,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-27 13:00:00,309.0,822.0,513.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,638,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-29 02:00:00,1533.0,2223.0,690.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,675,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-06-29 06:00:00,3159.0,3731.0,572.0,DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,679,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-07-06 18:00:00,24.0,614.0,590.0,DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,139,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-09-24 09:00:00,1110.0,603.0,-507.0,DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,562,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-09-25 15:00:00,97.0,610.0,513.0,DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,592,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-09-27 08:00:00,611.0,46.0,-565.0,DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,633,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-09-28 18:00:00,67.0,573.0,506.0,DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,667,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-10-02 03:00:00,1054.0,484.0,-570.0,DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,28,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-10-07 10:00:00,1090.0,542.0,-548.0,DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,155,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-10-14 10:00:00,582.0,77.0,-505.0,DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,323,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-11-01 03:00:00,587.0,10.0,-577.0,DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,4,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-11-01 17:00:00,32.0,534.0,502.0,DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,18,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-11-08 02:00:00,954.0,1470.0,516.0,DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,171,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-11-11 02:00:00,900.0,230.0,-670.0,DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,243,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-11-11 08:00:00,728.0,134.0,-594.0,DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,249,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2025-11-12 10:00:00,591.0,68.0,-523.0,DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,275,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-02 09:00:00,1243.0,627.0,-616.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,34,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-07 09:00:00,717.0,121.0,-596.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,154,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-14 10:00:00,549.0,25.0,-524.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,323,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-21 17:00:00,396.0,942.0,546.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,498,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-21 19:00:00,1170.0,1719.0,549.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,500,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-21 21:00:00,2092.0,2803.0,711.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,502,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-21 22:00:00,2803.0,3497.0,694.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,503,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-21 23:00:00,3497.0,4718.0,1221.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,504,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-22 01:00:00,5043.0,5706.0,663.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,506,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-22 02:00:00,5706.0,6396.0,690.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,507,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-22 03:00:00,6396.0,6948.0,552.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,508,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-22 05:00:00,7384.0,8060.0,676.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,510,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-22 06:00:00,8060.0,8574.0,514.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,511,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-22 21:00:00,6845.0,6272.0,-573.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,526,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-28 11:00:00,1035.0,518.0,-517.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,660,REVIEW_ONLY_NOT_INVALIDATED
julho,val_vazaoafluente,2026-07-28 14:00:00,973.0,1766.0,793.0,DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,663,REVIEW_ONLY_NOT_INVALIDATED
