phase,family,horizon_h,rows,all_nan_columns,all_nonfinite_columns,projected_columns,projected_all_nan_columns,weight_sum,upstream18_complete_original,upstream18_complete_projected
validation,hourly_control,1,4360,[1],[1],119,[],4692,3666,3666
validation,hourly_plus2018,1,4682,[1],[1],119,[],5074,3666,3666
test,hourly_control,1,10845,[1],[1],119,[],11231,9678,9678
test,hourly_plus2018,1,11167,[1],[1],119,[],11613,9678,9678
validation,hourly_control,2,4360,[1],[1],119,[],4800,3665,3665
validation,hourly_plus2018,2,4679,[1],[1],119,[],5193,3665,3665
test,hourly_control,2,10843,[1],[1],119,[],11453,9673,9673
test,hourly_plus2018,2,11162,[1],[1],119,[],11846,9673,9673
validation,hourly_control,3,4358,[1],[1],119,[],4946,3663,3663
validation,hourly_plus2018,3,4674,[1],[1],119,[],5352,3663,3663
test,hourly_control,3,10839,[1],[1],119,[],11719,9671,9671
test,hourly_plus2018,3,11155,[1],[1],119,[],12125,9671,9671
validation,hourly_control,4,4357,[1],[1],119,[],5095,3660,3660
validation,hourly_plus2018,4,4671,[1],[1],119,[],5537,3660,3660
test,hourly_control,4,10837,[1],[1],119,[],12055,9663,9663
test,hourly_plus2018,4,11151,[1],[1],119,[],12497,9663,9663
validation,hourly_control,5,4356,[1],[1],119,[],5288,3657,3657
validation,hourly_plus2018,5,4668,[1],[1],119,[],5744,3657,3657
test,hourly_control,5,10835,[1],[1],119,[],12457,9662,9662
test,hourly_plus2018,5,11147,[1],[1],119,[],12913,9662,9662
validation,hourly_control,6,4355,[1],[1],119,[],5443,3656,3656
validation,hourly_plus2018,6,4665,[1],[1],119,[],5909,3656,3656
test,hourly_control,6,10833,[1],[1],119,[],12797,9660,9660
test,hourly_plus2018,6,11143,[1],[1],119,[],13263,9660,9660
validation,hourly_control,7,4354,[1],[1],119,[],5572,3656,3656
validation,hourly_plus2018,7,4662,[1],[1],119,[],6044,3656,3656
test,hourly_control,7,10832,[1],[1],119,[],13054,9661,9661
test,hourly_plus2018,7,11140,[1],[1],119,[],13526,9661,9661
validation,hourly_control,8,4353,[1],[1],119,[],5709,3655,3655
validation,hourly_plus2018,8,4659,[1],[1],119,[],6191,3655,3655
test,hourly_control,8,10829,[1],[1],119,[],13343,9659,9659
test,hourly_plus2018,8,11135,[1],[1],119,[],13825,9659,9659
validation,hourly_control,9,4352,[1],[1],119,[],5800,3654,3654
validation,hourly_plus2018,9,4656,[1],[1],119,[],6292,3654,3654
test,hourly_control,9,10827,[1],[1],119,[],13507,9658,9658
test,hourly_plus2018,9,11131,[1],[1],119,[],13999,9658,9658
validation,hourly_control,10,4351,[1],[1],119,[],5909,3653,3653
validation,hourly_plus2018,10,4653,[1],[1],119,[],6409,3653,3653
test,hourly_control,10,10825,[1],[1],119,[],13677,9656,9656
test,hourly_plus2018,10,11127,[1],[1],119,[],14177,9656,9656
validation,hourly_control,11,4350,[1],[1],119,[],5984,3652,3652
validation,hourly_plus2018,11,4651,[1],[1],119,[],6493,3652,3652
test,hourly_control,11,10823,[1],[1],119,[],13799,9655,9655
test,hourly_plus2018,11,11124,[1],[1],119,[],14308,9655,9655
validation,hourly_control,12,4349,[1],[1],119,[],6053,3650,3650
validation,hourly_plus2018,12,4648,[1],[1],119,[],6578,3650,3650
test,hourly_control,12,10821,[1],[1],119,[],13863,9652,9652
test,hourly_plus2018,12,11120,[1],[1],119,[],14388,9652,9652
