phase,horizon_h,profile,subset,rows,complete,partial_missing,all_six_missing,any_missing,any_missing_fraction,column_18_missing,column_19_missing,column_20_missing,column_21_missing,column_22_missing,column_23_missing
validation,1,A,scheduled,6551,6212,53,286,339,0.05174782475957869,286,290,297,299,302,306
validation,1,A,truth_observed,6517,6182,51,284,335,0.05140402025471843,284,288,295,295,300,304
validation,1,A,truth_missing,34,30,2,2,4,0.11764705882352941,2,2,2,4,2,2
validation,1,A,paired_base_target,6479,6148,50,281,331,0.05108813088439574,281,285,291,292,297,301
validation,1,A,observed_ge_7m,28,28,0,0,0,0.0,0,0,0,0,0,0
validation,1,A,paired_ge_7m,28,28,0,0,0,0.0,0,0,0,0,0,0
validation,1,B,scheduled,6551,6212,53,286,339,0.05174782475957869,286,290,297,299,302,306
validation,1,B,truth_observed,6517,6182,51,284,335,0.05140402025471843,284,288,295,295,300,304
validation,1,B,truth_missing,34,30,2,2,4,0.11764705882352941,2,2,2,4,2,2
validation,1,B,paired_base_target,6488,6158,50,280,330,0.05086313193588163,280,284,290,291,296,300
validation,1,B,observed_ge_7m,28,28,0,0,0,0.0,0,0,0,0,0,0
validation,1,B,paired_ge_7m,28,28,0,0,0,0.0,0,0,0,0,0,0
test,1,A,scheduled,1967,1407,16,544,560,0.2846975088967972,544,545,546,548,552,556
test,1,A,truth_observed,1944,1402,16,526,542,0.2788065843621399,526,527,528,530,534,538
test,1,A,truth_missing,23,5,0,18,18,0.782608695652174,18,18,18,18,18,18
test,1,A,paired_base_target,1939,1399,16,524,540,0.2784940691077875,524,525,526,528,532,536
test,1,A,observed_ge_7m,237,144,16,77,93,0.3924050632911392,77,78,79,81,85,89
test,1,A,paired_ge_7m,236,144,16,76,92,0.3898305084745763,76,77,78,80,84,88
test,1,B,scheduled,1967,1407,16,544,560,0.2846975088967972,544,545,546,548,552,556
test,1,B,truth_observed,1944,1402,16,526,542,0.2788065843621399,526,527,528,530,534,538
test,1,B,truth_missing,23,5,0,18,18,0.782608695652174,18,18,18,18,18,18
test,1,B,paired_base_target,1940,1400,16,524,540,0.27835051546391754,524,525,526,528,532,536
test,1,B,observed_ge_7m,237,144,16,77,93,0.3924050632911392,77,78,79,81,85,89
test,1,B,paired_ge_7m,236,144,16,76,92,0.3898305084745763,76,77,78,80,84,88
validation,2,A,scheduled,6550,6212,53,285,338,0.0516030534351145,285,289,296,298,301,305
validation,2,A,truth_observed,6516,6181,51,284,335,0.05141190914671578,284,288,293,297,300,304
