phase,horizon_h,profile,subset,rows,complete,partial_missing,all_six_missing,any_missing,any_missing_fraction,column_18_missing,column_19_missing,column_20_missing,column_21_missing,column_22_missing,column_23_missing
validation,1,A,all,3530,3530,0,0,0,0.0,0,0,0,0,0,0
validation,1,A,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,1,B,all,3530,3530,0,0,0,0.0,0,0,0,0,0,0
validation,1,B,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,1,mixed,all,3530,3530,0,0,0,0.0,0,0,0,0,0,0
validation,1,mixed,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
test,1,A,all,9298,9298,0,0,0,0.0,0,0,0,0,0,0
test,1,A,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,1,B,all,9298,9298,0,0,0,0.0,0,0,0,0,0,0
test,1,B,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,1,mixed,all,9298,9298,0,0,0,0.0,0,0,0,0,0,0
test,1,mixed,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
validation,2,A,all,3528,3528,0,0,0,0.0,0,0,0,0,0,0
validation,2,A,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,2,B,all,3528,3528,0,0,0,0.0,0,0,0,0,0,0
validation,2,B,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,2,mixed,all,3528,3528,0,0,0,0.0,0,0,0,0,0,0
validation,2,mixed,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
test,2,A,all,9291,9291,0,0,0,0.0,0,0,0,0,0,0
test,2,A,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,2,B,all,9291,9291,0,0,0,0.0,0,0,0,0,0,0
test,2,B,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,2,mixed,all,9291,9291,0,0,0,0.0,0,0,0,0,0,0
test,2,mixed,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
validation,3,A,all,3526,3526,0,0,0,0.0,0,0,0,0,0,0
validation,3,A,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,3,B,all,3526,3526,0,0,0,0.0,0,0,0,0,0,0
validation,3,B,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,3,mixed,all,3526,3526,0,0,0,0.0,0,0,0,0,0,0
validation,3,mixed,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
test,3,A,all,9289,9289,0,0,0,0.0,0,0,0,0,0,0
test,3,A,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,3,B,all,9289,9289,0,0,0,0.0,0,0,0,0,0,0
test,3,B,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,3,mixed,all,9289,9289,0,0,0,0.0,0,0,0,0,0,0
test,3,mixed,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
validation,4,A,all,3523,3523,0,0,0,0.0,0,0,0,0,0,0
validation,4,A,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,4,B,all,3523,3523,0,0,0,0.0,0,0,0,0,0,0
validation,4,B,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
validation,4,mixed,all,3523,3523,0,0,0,0.0,0,0,0,0,0,0
validation,4,mixed,observed_ge_7m,157,157,0,0,0,0.0,0,0,0,0,0,0
test,4,A,all,9282,9282,0,0,0,0.0,0,0,0,0,0,0
test,4,A,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
test,4,B,all,9282,9282,0,0,0,0.0,0,0,0,0,0,0
test,4,B,observed_ge_7m,185,185,0,0,0,0.0,0,0,0,0,0,0
