dataset,period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
original,validation,1,full_schedule,all,raw_original,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.022013911700025222,0.004282256256655598,0.11681982649743483,0.5943960587357431
original,validation,1,full_schedule,all,raw_plus2020,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.021325470203991347,-0.0017612280623678016,0.10562311323878076,0.5597202429980985
original,validation,1,full_schedule,all,normalized_original,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.02201364866188811,0.00428199321851848,0.11681982649743483,0.5943960587357431
original,validation,1,full_schedule,all,normalized_plus2020,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.021325309191858408,-0.0017613890745007434,0.10562311323878076,0.5597202429980985
original,validation,1,full_schedule,level_ge_7m,raw_original,6551,34,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
original,validation,1,full_schedule,level_ge_7m,raw_plus2020,6551,34,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
original,validation,1,full_schedule,level_ge_7m,normalized_original,6551,34,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
original,validation,1,full_schedule,level_ge_7m,normalized_plus2020,6551,34,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
original,validation,1,complete24,all,raw_original,5912,21,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850954847976383,0.0010709660990267794,0.09500859502592271,0.5943960587357431
original,validation,1,complete24,all,raw_plus2020,5912,21,5891,5891,0,5891,1.0,1.0,0.01977903450196499,-0.0010824346536127455,0.0955944256509765,0.4359619156036265
original,validation,1,complete24,all,normalized_original,5912,21,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850925918692893,0.0010706768061918815,0.09500859502592271,0.5943960587357431
original,validation,1,complete24,all,normalized_plus2020,5912,21,5891,5891,0,5891,1.0,1.0,0.019778857418683828,-0.0010826117368939081,0.0955944256509765,0.4359619156036265
original,validation,1,complete24,level_ge_7m,raw_original,5912,21,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
original,validation,1,complete24,level_ge_7m,raw_plus2020,5912,21,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
original,validation,1,complete24,level_ge_7m,normalized_original,5912,21,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
original,validation,1,complete24,level_ge_7m,normalized_plus2020,5912,21,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
original,validation,1,missing24,all,raw_original,639,13,626,588,38,588,1.0,0.939297124600639,0.057123101717984216,0.036455232988953847,0.18038087655427343,0.40240299407220514
original,validation,1,missing24,all,raw_plus2020,639,13,626,588,38,587,0.9982993197278912,0.9376996805111821,0.03681875714385063,-0.008561860666068543,0.20735871842959178,0.5597202429980985
original,validation,1,missing24,all,normalized_original,639,13,626,588,38,588,1.0,0.939297124600639,0.057123101717984216,0.036455232988953847,0.18038087655427343,0.40240299407220514
original,validation,1,missing24,all,normalized_plus2020,639,13,626,588,38,587,0.9982993197278912,0.9376996805111821,0.03681875714385063,-0.008561860666068543,0.20735871842959178,0.5597202429980985
original,validation,1,missing24,level_ge_7m,raw_original,639,13,0,0,0,0,,,,,,
original,validation,1,missing24,level_ge_7m,raw_plus2020,639,13,0,0,0,0,,,,,,
original,validation,1,missing24,level_ge_7m,normalized_original,639,13,0,0,0,0,,,,,,
original,validation,1,missing24,level_ge_7m,normalized_plus2020,639,13,0,0,0,0,,,,,,
original,validation,2,full_schedule,all,raw_original,6550,34,6516,6477,39,6466,0.9983016828778756,0.9923265807243707,0.03193842446827068,0.003102399367981166,0.16324216087463073,1.3024086910998092
original,validation,2,full_schedule,all,raw_plus2020,6550,34,6516,6477,39,6467,0.9984560753435232,0.9924800491098834,0.034535605108054784,-0.002041915449936154,0.17078087006476364,1.2825089321551792
original,validation,2,full_schedule,all,normalized_original,6550,34,6516,6477,39,6468,0.998610467809171,0.992633517495396,0.03191872676139778,0.0036232900454707625,0.16503089019902725,1.292327796985405
original,validation,2,full_schedule,all,normalized_plus2020,6550,34,6516,6477,39,6466,0.9983016828778756,0.9923265807243707,0.034206823936585584,-0.0020509120447853822,0.17203929494531914,1.2903949832562718
original,validation,2,full_schedule,level_ge_7m,raw_original,6550,34,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
original,validation,2,full_schedule,level_ge_7m,raw_plus2020,6550,34,28,28,0,28,1.0,1.0,0.11696550238526024,0.0012352105638357028,0.3594508607550828,0.3728587788332991
original,validation,2,full_schedule,level_ge_7m,normalized_original,6550,34,28,28,0,28,1.0,1.0,0.11874979650671791,0.025686494933103994,0.3572941692548376,0.3662419889911206
original,validation,2,full_schedule,level_ge_7m,normalized_plus2020,6550,34,28,28,0,28,1.0,1.0,0.11586171481890194,0.004254800067946667,0.3546644857667219,0.37013404300181296
original,validation,2,complete24,all,raw_original,5912,27,5885,5885,0,5878,0.9988105352591334,0.9988105352591334,0.0297706209205942,0.002997507842193795,0.14641257146592979,1.3024086910998092
original,validation,2,complete24,all,raw_plus2020,5912,27,5885,5885,0,5881,0.999320305862362,0.999320305862362,0.031023679524707307,-0.00023419724859867776,0.14844840373455798,1.1583319428999328
original,validation,2,complete24,all,normalized_original,5912,27,5885,5885,0,5878,0.9988105352591334,0.9988105352591334,0.02977685695747634,0.0033117087766044535,0.14342027519566514,1.292327796985405
original,validation,2,complete24,all,normalized_plus2020,5912,27,5885,5885,0,5880,0.9991503823279524,0.9991503823279524,0.03068683555376738,-0.00014796778251145788,0.1481814457580338,1.1479719499803664
original,validation,2,complete24,level_ge_7m,raw_original,5912,27,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
original,validation,2,complete24,level_ge_7m,raw_plus2020,5912,27,28,28,0,28,1.0,1.0,0.11696550238526024,0.0012352105638357028,0.3594508607550828,0.3728587788332991
original,validation,2,complete24,level_ge_7m,normalized_original,5912,27,28,28,0,28,1.0,1.0,0.11874979650671791,0.025686494933103994,0.3572941692548376,0.3662419889911206
original,validation,2,complete24,level_ge_7m,normalized_plus2020,5912,27,28,28,0,28,1.0,1.0,0.11586171481890194,0.004254800067946667,0.3546644857667219,0.37013404300181296
original,validation,2,missing24,all,raw_original,638,7,631,592,39,588,0.9932432432432432,0.9318541996830428,0.05348829588393969,0.004145113268755961,0.3307599152699826,0.6502628363690341
original,validation,2,missing24,all,raw_plus2020,638,7,631,592,39,586,0.9898648648648649,0.9286846275752774,0.06944723020602755,-0.02001222223181292,0.3253258566783537,1.2825089321551792
original,validation,2,missing24,all,normalized_original,638,7,631,592,39,590,0.9966216216216216,0.9350237717908082,0.053210793984501924,0.006720681544251557,0.33229069163497743,0.6293176106514173
original,validation,2,missing24,all,normalized_plus2020,638,7,631,592,39,586,0.9898648648648649,0.9286846275752774,0.06919860034348617,-0.02096784951688343,0.3342924802684018,1.2903949832562718
original,validation,2,missing24,level_ge_7m,raw_original,638,7,0,0,0,0,,,,,,
original,validation,2,missing24,level_ge_7m,raw_plus2020,638,7,0,0,0,0,,,,,,
original,validation,2,missing24,level_ge_7m,normalized_original,638,7,0,0,0,0,,,,,,
original,validation,2,missing24,level_ge_7m,normalized_plus2020,638,7,0,0,0,0,,,,,,
original,validation,3,full_schedule,all,raw_original,6549,34,6515,6476,39,6444,0.9950586781964176,0.9891020721412126,0.04525957105840351,0.007695788363354644,0.2640266271323174,1.537354044244438
original,validation,3,full_schedule,all,raw_plus2020,6549,34,6515,6476,39,6435,0.99366893143916,0.9877206446661551,0.052479042402043756,0.0005374707838122023,0.26964836105171885,1.5437613425998904
original,validation,3,full_schedule,all,normalized_original,6549,34,6515,6476,39,6441,0.9945954292773317,0.9886415963161934,0.04548444641053118,0.006589432937947058,0.26936418537984497,1.576166597600027
original,validation,3,full_schedule,all,normalized_plus2020,6549,34,6515,6476,39,6435,0.99366893143916,0.9877206446661551,0.052976333739717316,0.001707623622931398,0.27224056531453,1.4097378439307717
original,validation,3,full_schedule,level_ge_7m,raw_original,6549,34,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16960676474370254,0.0480847892416398,0.5556545652840782,0.6140799441250824
original,validation,3,full_schedule,level_ge_7m,raw_plus2020,6549,34,28,28,0,26,0.9285714285714286,0.9285714285714286,0.1502673038111546,0.09533394613663794,0.5406408494591053,0.5506832464500686
original,validation,3,full_schedule,level_ge_7m,normalized_original,6549,34,28,28,0,26,0.9285714285714286,0.9285714285714286,0.17053312448485594,0.05278913967713853,0.5718399857851914,0.6316653597274993
original,validation,3,full_schedule,level_ge_7m,normalized_plus2020,6549,34,28,28,0,26,0.9285714285714286,0.9285714285714286,0.14103129977389464,0.09994658952576055,0.5621810374712696,0.6137224301475488
original,validation,3,complete24,all,raw_original,5912,26,5886,5886,0,5861,0.9957526333673122,0.9957526333673122,0.03993262475489892,0.004508093784665101,0.22687183754540666,1.537354044244438
original,validation,3,complete24,all,raw_plus2020,5912,26,5886,5886,0,5869,0.9971117906897723,0.9971117906897723,0.04592558613209309,0.0012754001617391814,0.23183086066858477,1.3431559959292265
original,validation,3,complete24,all,normalized_original,5912,26,5886,5886,0,5860,0.9955827387020048,0.9955827387020048,0.040485920397918186,0.003856530024163189,0.22965318576254048,1.576166597600027
original,validation,3,complete24,all,normalized_plus2020,5912,26,5886,5886,0,5869,0.9971117906897723,0.9971117906897723,0.04633252565770313,0.0020499906151820717,0.222597904676751,1.3696499190390323
original,validation,3,complete24,level_ge_7m,raw_original,5912,26,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16960676474370254,0.0480847892416398,0.5556545652840782,0.6140799441250824
original,validation,3,complete24,level_ge_7m,raw_plus2020,5912,26,28,28,0,26,0.9285714285714286,0.9285714285714286,0.1502673038111546,0.09533394613663794,0.5406408494591053,0.5506832464500686
original,validation,3,complete24,level_ge_7m,normalized_original,5912,26,28,28,0,26,0.9285714285714286,0.9285714285714286,0.17053312448485594,0.05278913967713853,0.5718399857851914,0.6316653597274993
