phase,profile,horizon_h,subset,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,A,1,all,mixed_profile_candidate,1944,1939,5,1933,1933,0,0.04783750593944735,0.04752303813272236,1.141419228155974,1.0893417393063238
test,A,1,all,profile_A_control,1944,1939,5,1933,1933,0,0.0371222429682849,0.04752303813272236,1.2985394062094997,1.0893417393063238
test,A,1,level_ge_7m,mixed_profile_candidate,237,236,1,231,231,0,0.07625871051660717,0.07627226938970261,1.141419228155974,1.0893417393063238
test,A,1,level_ge_7m,profile_A_control,237,236,1,230,231,1,0.08365381495683401,0.07627226938970261,1.2985394062094997,1.0893417393063238
test,A,2,all,mixed_profile_candidate,1943,1936,7,1895,1890,-5,0.0875271938439811,0.08743301194745765,2.35798379080882,2.1504689423766576
test,A,2,all,profile_A_control,1943,1936,7,1915,1890,-25,0.06470988559156808,0.08743301194745765,2.430986906354253,2.1504689423766576
test,A,2,level_ge_7m,mixed_profile_candidate,237,236,1,225,224,-1,0.13368154358694637,0.13151112089912695,2.35798379080882,2.1504689423766576
test,A,2,level_ge_7m,profile_A_control,237,236,1,225,224,-1,0.1420297534699279,0.13151112089912695,2.430986906354253,2.1504689423766576
test,A,3,all,mixed_profile_candidate,1942,1933,9,1869,1867,-2,0.11088536147545171,0.11045745404945126,3.5417724438313964,3.569719370791849
test,A,3,all,profile_A_control,1942,1933,9,1896,1867,-29,0.08858410963828463,0.11045745404945126,3.8502978392165037,3.569719370791849
test,A,3,level_ge_7m,mixed_profile_candidate,237,236,1,211,210,-1,0.23103349561199366,0.23675695187114063,3.5417724438313964,3.569719370791849
test,A,3,level_ge_7m,profile_A_control,237,236,1,210,210,0,0.2532196871530062,0.23675695187114063,3.8502978392165037,3.569719370791849
test,A,4,all,mixed_profile_candidate,1941,1931,10,1864,1865,1,0.13045457157932483,0.13004110638346672,4.7455033562984505,4.495891280183935
test,A,4,all,profile_A_control,1941,1931,10,1878,1865,-13,0.11497979365427792,0.13004110638346672,4.579107233006882,4.495891280183935
test,A,4,level_ge_7m,mixed_profile_candidate,237,236,1,199,198,-1,0.36092812417098286,0.36372773966969496,4.7455033562984505,4.495891280183935
test,A,4,level_ge_7m,profile_A_control,237,236,1,199,198,-1,0.34447883082737046,0.36372773966969496,4.579107233006882,4.495891280183935
test,A,5,all,mixed_profile_candidate,1940,1929,11,1845,1841,-4,0.1592206798094355,0.15873697733313114,5.4406707406415205,5.360948850950573
test,A,5,all,profile_A_control,1940,1929,11,1856,1841,-15,0.1529170486007049,0.15873697733313114,5.585721334594157,5.360948850950573
test,A,5,level_ge_7m,mixed_profile_candidate,237,236,1,178,179,1,0.4876970563733857,0.47391785890163957,5.4406707406415205,5.360948850950573
test,A,5,level_ge_7m,profile_A_control,237,236,1,182,179,-3,0.48868542525858694,0.47391785890163957,5.585721334594157,5.360948850950573
test,A,6,all,mixed_profile_candidate,1939,1927,12,1780,1765,-15,0.2079324272093252,0.20950787017503353,6.299646491687942,5.969048752400869
test,A,6,all,profile_A_control,1939,1927,12,1772,1765,-7,0.20405372470450728,0.20950787017503353,6.383213756919677,5.969048752400869
test,A,6,level_ge_7m,mixed_profile_candidate,237,236,1,170,158,-12,0.6021107824295977,0.5987305807296094,6.299646491687942,5.969048752400869
test,A,6,level_ge_7m,profile_A_control,237,236,1,162,158,-4,0.6129362573306584,0.5987305807296094,6.383213756919677,5.969048752400869
test,A,7,all,mixed_profile_candidate,1938,1925,13,1690,1701,11,0.25477754180124057,0.2522966998333465,5.194583557487675,4.9522024061965535
test,A,7,all,profile_A_control,1938,1925,13,1704,1701,-3,0.2521091968617542,0.2522966998333465,5.0700479704763755,4.9522024061965535
test,A,7,level_ge_7m,mixed_profile_candidate,237,236,1,130,135,5,0.6714841295708656,0.6581132743871035,5.194583557487675,4.9522024061965535
test,A,7,level_ge_7m,profile_A_control,237,236,1,145,135,-10,0.6506872082151711,0.6581132743871035,5.0700479704763755,4.9522024061965535
test,A,8,all,mixed_profile_candidate,1937,1923,14,1606,1613,7,0.3173513626884042,0.3193397766494865,5.45787612304345,5.287202519296349
test,A,8,all,profile_A_control,1937,1923,14,1627,1613,-14,0.30666637100702215,0.3193397766494865,5.604734107449106,5.287202519296349
test,A,8,level_ge_7m,mixed_profile_candidate,237,236,1,121,123,2,0.7751780529783651,0.7691266218230762,5.45787612304345,5.287202519296349
test,A,8,level_ge_7m,profile_A_control,237,236,1,133,123,-10,0.755319244918544,0.7691266218230762,5.604734107449106,5.287202519296349
test,A,9,all,mixed_profile_candidate,1936,1921,15,1505,1518,13,0.3855620418678308,0.38328572509377484,6.118445629477499,5.979571794885827
test,A,9,all,profile_A_control,1936,1921,15,1508,1518,10,0.37776859764541687,0.38328572509377484,6.290140102551524,5.979571794885827
test,A,9,level_ge_7m,mixed_profile_candidate,237,236,1,113,121,8,0.9356992478883963,0.91378065466397,6.118445629477499,5.979571794885827
test,A,9,level_ge_7m,profile_A_control,237,236,1,110,121,11,0.9219381059929672,0.91378065466397,6.290140102551524,5.979571794885827
test,A,10,all,mixed_profile_candidate,1935,1919,16,1418,1423,5,0.425027421975662,0.42128137678024236,6.339306509605971,6.23662723995756
test,A,10,all,profile_A_control,1935,1919,16,1428,1423,-5,0.4209481888845981,0.42128137678024236,6.511789742894907,6.23662723995756
test,A,10,level_ge_7m,mixed_profile_candidate,237,236,1,90,95,5,1.05730422497696,1.0354299298201763,6.339306509605971,6.23662723995756
test,A,10,level_ge_7m,profile_A_control,237,236,1,88,95,7,1.0271418171782014,1.0354299298201763,6.511789742894907,6.23662723995756
test,A,11,all,mixed_profile_candidate,1934,1917,17,1348,1345,-3,0.4688840541893353,0.46140253763021427,7.15943769248484,7.190010229915571
test,A,11,all,profile_A_control,1934,1917,17,1336,1345,9,0.46483961851243744,0.46140253763021427,7.1933341782238,7.190010229915571
test,A,11,level_ge_7m,mixed_profile_candidate,237,236,1,82,79,-3,1.2117416688285163,1.180639158761496,7.15943769248484,7.190010229915571
test,A,11,level_ge_7m,profile_A_control,237,236,1,88,79,-9,1.167452400439356,1.180639158761496,7.1933341782238,7.190010229915571
test,A,12,all,mixed_profile_candidate,1933,1915,18,1304,1326,22,0.49747435731090545,0.4940684525918164,7.792800339521805,7.568111173850733
test,A,12,all,profile_A_control,1933,1915,18,1314,1326,12,0.48703728990212314,0.4940684525918164,7.575214133637115,7.568111173850733
test,A,12,level_ge_7m,mixed_profile_candidate,237,236,1,75,78,3,1.3286731218781722,1.3027865158179541,7.792800339521805,7.568111173850733
test,A,12,level_ge_7m,profile_A_control,237,236,1,91,78,-13,1.2469468675886748,1.3027865158179541,7.575214133637115,7.568111173850733
test,B,1,all,mixed_profile_candidate,1944,1940,4,1931,1933,2,0.04625830552081716,0.04545814799490426,1.5158225447286915,1.459360361861748
test,B,1,all,profile_B_control,1944,1940,4,1933,1933,0,0.04267803063082794,0.04545814799490426,1.5100564871323074,1.459360361861748
test,B,1,level_ge_7m,mixed_profile_candidate,237,236,1,230,230,0,0.10507021941064681,0.10292289655693548,1.5158225447286915,1.459360361861748
test,B,1,level_ge_7m,profile_B_control,237,236,1,230,230,0,0.09411275751023761,0.10292289655693548,1.5100564871323074,1.459360361861748
test,B,2,all,mixed_profile_candidate,1943,1937,6,1915,1914,-1,0.06880451771616918,0.06833899227924685,2.7234645501539516,2.5304689423766575
test,B,2,all,profile_B_control,1943,1937,6,1910,1914,4,0.07247205676196612,0.06833899227924685,2.721435573404227,2.5304689423766575
test,B,2,level_ge_7m,mixed_profile_candidate,237,236,1,222,222,0,0.1790052843921942,0.1757825234825605,2.7234645501539516,2.5304689423766575
test,B,2,level_ge_7m,profile_B_control,237,236,1,218,222,4,0.17055488609880845,0.1757825234825605,2.721435573404227,2.5304689423766575
test,B,3,all,mixed_profile_candidate,1942,1934,8,1881,1884,3,0.0984848429997664,0.09784252460489308,3.9207443853420045,3.951513947148417
test,B,3,all,profile_B_control,1942,1934,8,1893,1884,-9,0.0969247468811543,0.09784252460489308,3.971469992707828,3.951513947148417
test,B,3,level_ge_7m,mixed_profile_candidate,237,236,1,203,203,0,0.2894468775030307,0.29099449799532445,3.9207443853420045,3.951513947148417
test,B,3,level_ge_7m,profile_B_control,237,236,1,207,203,-4,0.27295513304405666,0.29099449799532445,3.971469992707828,3.951513947148417
test,B,4,all,mixed_profile_candidate,1941,1932,9,1865,1863,-2,0.12911540247463166,0.1267437011837262,5.078591233547437,4.890351633969555
test,B,4,all,profile_B_control,1941,1932,9,1866,1863,-3,0.12304284797867071,0.1267437011837262,5.1179488471626104,4.890351633969555
test,B,4,level_ge_7m,mixed_profile_candidate,237,236,1,186,185,-1,0.4131174956725263,0.41490716677900735,5.078591233547437,4.890351633969555
test,B,4,level_ge_7m,profile_B_control,237,236,1,192,185,-7,0.4009070967444646,0.41490716677900735,5.1179488471626104,4.890351633969555
test,B,5,all,mixed_profile_candidate,1940,1930,10,1828,1832,4,0.1625412373542548,0.16121785280187476,5.651905624290726,5.767221450172864
test,B,5,all,profile_B_control,1940,1930,10,1836,1832,-4,0.16151947820922183,0.16121785280187476,5.909113440846849,5.767221450172864
test,B,5,level_ge_7m,mixed_profile_candidate,237,236,1,169,174,5,0.5232204895845944,0.5106846394153346,5.651905624290726,5.767221450172864
test,B,5,level_ge_7m,profile_B_control,237,236,1,171,174,3,0.5244969789310342,0.5106846394153346,5.909113440846849,5.767221450172864
test,B,6,all,mixed_profile_candidate,1939,1928,11,1773,1761,-12,0.21340427297382084,0.2148172653171475,6.505761062809958,6.3321520925645025
test,B,6,all,profile_B_control,1939,1928,11,1750,1761,11,0.21317542166512082,0.2148172653171475,6.670378362089796,6.3321520925645025
test,B,6,level_ge_7m,mixed_profile_candidate,237,236,1,166,153,-13,0.6355351757922351,0.6288276673611397,6.505761062809958,6.3321520925645025
test,B,6,level_ge_7m,profile_B_control,237,236,1,154,153,-1,0.6422930624109834,0.6288276673611397,6.670378362089796,6.3321520925645025
test,B,7,all,mixed_profile_candidate,1938,1926,12,1696,1696,0,0.2583193991455045,0.25586204374312677,5.3313065707358245,5.050026996111649
test,B,7,all,profile_B_control,1938,1926,12,1700,1696,-4,0.25766504216425856,0.25586204374312677,5.1786634640814455,5.050026996111649
test,B,7,level_ge_7m,mixed_profile_candidate,237,236,1,139,133,-6,0.7026550688482773,0.6901177830228249,5.3313065707358245,5.050026996111649
test,B,7,level_ge_7m,profile_B_control,237,236,1,137,133,-4,0.6945705265097771,0.6901177830228249,5.1786634640814455,5.050026996111649
test,B,8,all,mixed_profile_candidate,1937,1924,13,1613,1617,4,0.3194714389533474,0.3204504103208757,5.612418970754012,5.476989858207553
test,B,8,all,profile_B_control,1937,1924,13,1614,1617,3,0.3227151591562414,0.3204504103208757,5.691275122778958,5.476989858207553
test,B,8,level_ge_7m,mixed_profile_candidate,237,236,1,124,124,0,0.8131928986298017,0.8094157172323221,5.612418970754012,5.476989858207553
test,B,8,level_ge_7m,profile_B_control,237,236,1,124,124,0,0.8198516874678297,0.8094157172323221,5.691275122778958,5.476989858207553
test,B,9,all,mixed_profile_candidate,1936,1922,14,1529,1528,-1,0.38699866530660454,0.3851207659537863,6.137372342022433,6.034683610987383
test,B,9,all,profile_B_control,1936,1922,14,1497,1528,31,0.39008256765275684,0.3851207659537863,6.1664049021704095,6.034683610987383
test,B,9,level_ge_7m,mixed_profile_candidate,237,236,1,115,115,0,0.9819884786576049,0.9614947844326787,6.137372342022433,6.034683610987383
test,B,9,level_ge_7m,profile_B_control,237,236,1,113,115,2,0.9670168119763842,0.9614947844326787,6.1664049021704095,6.034683610987383
test,B,10,all,mixed_profile_candidate,1935,1920,15,1427,1430,3,0.4278943953424952,0.423863470840659,6.73028988534079,6.422221680078135
test,B,10,all,profile_B_control,1935,1920,15,1419,1430,11,0.4413798816356144,0.423863470840659,6.4336778764475095,6.422221680078135
test,B,10,level_ge_7m,mixed_profile_candidate,237,236,1,89,88,-1,1.1134412628023913,1.0874145506164332,6.73028988534079,6.422221680078135
test,B,10,level_ge_7m,profile_B_control,237,236,1,90,88,-2,1.1444952382355695,1.0874145506164332,6.4336778764475095,6.422221680078135
test,B,11,all,mixed_profile_candidate,1934,1918,16,1358,1370,12,0.47240799035110187,0.46523741326727763,7.161586727890171,7.046806788767743
test,B,11,all,profile_B_control,1934,1918,16,1350,1370,20,0.47596519867577963,0.46523741326727763,6.640039800767847,7.046806788767743
test,B,11,level_ge_7m,mixed_profile_candidate,237,236,1,79,79,0,1.2707682625140837,1.236997706522157,7.161586727890171,7.046806788767743
test,B,11,level_ge_7m,profile_B_control,237,236,1,82,79,-3,1.2579884028317074,1.236997706522157,6.640039800767847,7.046806788767743
test,B,12,all,mixed_profile_candidate,1933,1916,17,1317,1323,6,0.49961490285963206,0.4967837088127546,7.606918439530505,7.434999272650511
test,B,12,all,profile_B_control,1933,1916,17,1326,1323,-3,0.49684970437980597,0.4967837088127546,6.959959168263467,7.434999272650511
test,B,12,level_ge_7m,mixed_profile_candidate,237,236,1,75,81,6,1.384911641785263,1.362444455337942,7.606918439530505,7.434999272650511
test,B,12,level_ge_7m,profile_B_control,237,236,1,77,81,4,1.3522807747230332,1.362444455337942,6.959959168263467,7.434999272650511
validation,A,1,all,mixed_profile_candidate,6517,6479,38,6479,6479,0,0.021606830119421078,0.02127007809343494,0.4674960533101764,0.4118874839288442
validation,A,1,all,profile_A_control,6517,6479,38,6478,6479,1,0.018855942070563906,0.02127007809343494,0.534506660393788,0.4118874839288442
validation,A,1,level_ge_7m,mixed_profile_candidate,28,28,0,28,28,0,0.054957800373323,0.05801654214758645,0.1945792356276197,0.2654200278247618
validation,A,1,level_ge_7m,profile_A_control,28,28,0,28,28,0,0.07493645979101636,0.05801654214758645,0.34802134846687416,0.2654200278247618
validation,A,2,all,mixed_profile_candidate,6516,6477,39,6464,6465,1,0.035065751551275746,0.03467913832152271,0.785102284292053,0.7952221852221644
validation,A,2,all,profile_A_control,6516,6477,39,6465,6465,0,0.029287944206221363,0.03467913832152271,0.9411562625519316,0.7952221852221644
validation,A,2,level_ge_7m,mixed_profile_candidate,28,28,0,28,28,0,0.08590108691375604,0.0894656005154515,0.27715664018348996,0.3988978925008695
validation,A,2,level_ge_7m,profile_A_control,28,28,0,27,28,1,0.12841387834886395,0.0894656005154515,0.5606239922930918,0.3988978925008695
validation,A,3,all,mixed_profile_candidate,6515,6476,39,6443,6438,-5,0.054678652726520297,0.054302935202242206,1.314016201925865,1.1424375420895947
