phase,horizon_h,rows,weights_sum,masked_origins,unmasked_origins,cells_made_missing,masked_high_targets,unmasked_high_targets,indices_sha256,responses_sha256,weights_sha256,reconstructed_masked_inputs_sha256
validation,1,3530,3742,845,2685,5070,38,119,3239b84edb9eeca5c9542fcacc48b11864430d0590bafd934fa461310dfbdcbb,735deacb3dedcf80cb4e7fc57775fd19e51f9be2a53700a04907278311d07760,8664ab986a693c3b965a85f7a0a0d996a231b0935e6fa3a815fe5d3f89737caa,5566bbb8018178be9c3a63675061ad1312082df83f210d5195170119fbc2f872
test,1,9298,9524,2372,6926,14232,47,138,edfc14e1172790ecf91ac70508f98a8e5217f88ed3d4f87efc651933ca9c2940,2a4531557d08ad9ae1abadffdf26ed251b2814ecf897b9e2659dc0eb04f6048f,badac6e46d50eb64e9741953a430201079a9f08769e9b356e0d30cb952217e05,1dd3c95f1c1e2d693f1d17fd8be952a01a79a15b1830bce143e7436388f09cb5
validation,2,3528,3800,843,2685,5058,39,118,220b37d3258a1915beb90efb362b3a76a7b8132ae6666d96d44f2efdb66ed036,edefb3dc66da16ddc79e39b512a23d1083a4fb808c44b92b99b189bcf20e0802,d990a415e8452a39548d2c76a280056d1ff16d78f4006f8bc3153013eb6c9e5a,dda4f41a976eed9ac7407594e986dfb4c955573164f189fb4ef056f620889160
test,2,9291,9637,2371,6920,14226,47,138,5a14114e72f9e5c783e4c40ef06d0351bda6a81d57b4e24832c7580cf225461f,6d1064d0659d57c9c6ec7602bbd76c5b332c01bb5fd8e3a0676c06b18ee4a235,626362d15aa4926b1e2a0d638d3b42c3a4c9ecd86c99993d4ee70b1f03a07e91,f1d7585bae66df774204b0db67c77a5541555b15517341255b32069714ab20ce
validation,3,3526,3898,842,2684,5052,38,119,7460dca64cc6e1dc74c36ccc4eb7340a56a47ae85a9e10fc5aa9a77aaa73f6e4,7f94098e605210e162069e9d54bfcdf3206da77bd45d3613e1f5794ce82bef15,0e55d5bcbf52f84b70a3ce8c507cc0d6d105b773c526fd7e59084ab128caa147,a3787bb2d94709549d3794ca0b3c167fc45d12236dbbab08ba78feab25ced59b
test,3,9289,9815,2368,6921,14208,46,139,e34811c83443e428d94e25bc2242e4f95b45401f398a40876b2cd45f1fbbcef5,e6e6eca143d870e17bf4259b0b00b822586784bbffe5ab956883c6c7e5d4669b,038112c0a40bb4f2d280c4fd99bf45057277179787cff231cb9f26fc14d9f24b,214726763a91286fec040526e52f296c6bd005a3367cebd8a45fede5992e841c
validation,4,3523,4019,843,2680,5058,38,119,facc8007dbbce171f8e5ddf2d3bde949df2f6edf7e5bbb4bc475e05a2880fd13,30a461113aeccdaec11ef33b8ecc2943d1724d698d3384480e510ba2c4a2d484,84f2c76752ddc7ecd8742b0270ad91081f5f817e7be0a4affbef0f889b13d8bc,15243d10ac6026f5985e6c9918006914d7a22446508a89f199d274ea651c9aac
test,4,9282,10030,2368,6914,14208,47,138,1ac77574d0d3cb6ae1eeec40910dea969eb5a23436b23116524bfd1b011f859c,41f3e1877603792bdcfcb94751ee268a80082b3c4abd103bbf97e3397ce188a2,97574a11b401405b54213a2864d40a88b95b805b391889423c81485364ecdaef,63226b2851e428f2b767b6f1863c5656b352b9597fad37e49e2218d8ea432aac
validation,5,3520,4172,841,2679,5046,37,121,d336f06464af89c28aeea02e383489013e1f06fb0a5fb345733ac17c044d044e,552b4ed12cd0edf9770abadbc5f1b868d651873e58c9856df4758a41024b9fe1,b6c2d9569838d62e27499bb92a80831b02c08d5fad35be846e05787af5089bd0,4de14fc55fdeb9b81c07f0a7ae498e8181b1618987ec3bb357650934df5c59a6
test,5,9280,10368,2369,6911,14214,46,140,f7cdd0b25c22548603efbe87014dd8086e6bdb424741b0dfb88701b234545e9d,284174ab64bde8ae83e4372f78bfee7f6fc026a777492449c1ac2b7e6a4b22e7,d6b3de0e8a7f2e2d915246b2bf7d740d3aaaf4427e0f2e0230fdb696fefc1f78,dc0ebf33b7cca0128c8b75dc2458d6908a8832cba38926f4b55eae317bd86949
