phase,horizon_h,population,subset,observed_targets,pairs,failures,control_hits,augmented_hits,delta_hits,control_mae_m,augmented_mae_m,control_max_m,augmented_max_m
test,1,full_schedule,all,1944,1938,6,1924,1925,1,0.06115455391580039,0.061719644408389916,2.2888539483769783,2.2416403389302637
test,1,full_schedule,level_ge_7m,237,236,1,228,228,0,0.13001982063570697,0.13116532486417565,2.2888539483769783,2.2416403389302637
test,1,complete_upstream18,all,1360,1359,1,1357,1357,0,0.05081884780610725,0.051711174194002126,0.5362215437988027,0.5991155069158838
test,1,complete_upstream18,level_ge_7m,144,144,0,144,143,-1,0.08024027105991674,0.08466227362767867,0.4157540204737611,0.5402198371372453
test,1,missing_upstream18,all,584,579,5,567,568,1,0.08541400918881072,0.08521102786495817,2.2888539483769783,2.2416403389302637
test,1,missing_upstream18,level_ge_7m,93,92,1,84,85,1,0.2079356373630308,0.20395270940825788,2.2888539483769783,2.2416403389302637
test,2,full_schedule,all,1943,1935,8,1898,1904,6,0.08221210133086075,0.08052432321981344,3.0085622785030273,3.098020736704859
test,2,full_schedule,level_ge_7m,237,236,1,215,218,3,0.1816913689950492,0.170581050456176,3.0085622785030273,3.098020736704859
test,2,complete_upstream18,all,1358,1357,1,1342,1347,5,0.0656804047432747,0.06363743434490642,0.7567406519475135,0.6547393142323834
test,2,complete_upstream18,level_ge_7m,143,143,0,134,137,3,0.12261321074509078,0.1068994403550988,0.7567406519475135,0.6547393142323834
test,2,missing_upstream18,all,585,578,7,556,557,1,0.12102440629514148,0.12017053118391177,3.0085622785030273,3.098020736704859
test,2,missing_upstream18,level_ge_7m,94,93,1,81,81,0,0.2725319779170283,0.2685000853427785,3.0085622785030273,3.098020736704859
test,3,full_schedule,all,1942,1932,10,1879,1874,-5,0.10120592211712293,0.10242945892826975,4.121507568463075,4.058231563230118
test,3,full_schedule,level_ge_7m,237,236,1,202,200,-2,0.28695729570194706,0.2894561920773366,4.121507568463075,4.058231563230118
test,3,complete_upstream18,all,1356,1355,1,1336,1333,-3,0.0778670093027286,0.07880838078055337,0.8545238041257956,0.9269501048805164
test,3,complete_upstream18,level_ge_7m,142,142,0,130,128,-2,0.17432204908767907,0.18224214480311382,0.8545238041257956,0.9184537759801046
test,3,missing_upstream18,all,586,577,9,543,541,-2,0.15601394094468674,0.15790010171883423,4.121507568463075,4.058231563230118
test,3,missing_upstream18,level_ge_7m,95,94,1,72,72,0,0.4571084129277564,0.45141783795967305,4.121507568463075,4.058231563230118
test,4,full_schedule,all,1941,1930,11,1860,1867,7,0.12530877032224458,0.12587821276004338,4.948287514603261,5.131503932182897
test,4,full_schedule,level_ge_7m,237,236,1,189,188,-1,0.3887337600006435,0.39709884385949334,4.948287514603261,5.131503932182897
test,4,complete_upstream18,all,1355,1354,1,1325,1329,4,0.09809843749744773,0.09815599573834895,0.9850184619941071,1.129543148320602
test,4,complete_upstream18,level_ge_7m,141,141,0,124,121,-3,0.2338156860819653,0.24404460700324265,0.9850184619941071,1.129543148320602
test,4,missing_upstream18,all,586,576,10,535,538,3,0.18927194852497886,0.19104467430062375,4.948287514603261,5.131503932182897
test,4,missing_upstream18,level_ge_7m,96,95,1,65,67,2,0.6186647960273133,0.6242635532987708,4.948287514603261,5.131503932182897
test,5,full_schedule,all,1940,1928,12,1822,1828,6,0.1664160549367453,0.16018541111219706,5.449247976601654,5.196591924339362
test,5,full_schedule,level_ge_7m,237,236,1,164,169,5,0.5314847360216167,0.5022325971930114,5.449247976601654,5.196591924339362
test,5,complete_upstream18,all,1354,1353,1,1300,1305,5,0.13529578702463363,0.1337468022029717,1.6428128830190545,1.4103130363589482
test,5,complete_upstream18,level_ge_7m,140,140,0,111,113,2,0.324064437876407,0.32212167159624483,1.6428128830190545,1.4103130363589482
test,5,missing_upstream18,all,586,575,11,522,523,1,0.23964339838907064,0.22239660738033948,5.449247976601654,5.196591924339362
test,5,missing_upstream18,level_ge_7m,97,96,1,53,56,3,0.8339726708167143,0.764894363688296,5.449247976601654,5.196591924339362
test,6,full_schedule,all,1939,1926,13,1752,1751,-1,0.21819825599759762,0.2124266005586585,6.285061155174133,5.873246437072108
test,6,full_schedule,level_ge_7m,237,236,1,151,156,5,0.6573286391827966,0.6199889547214076,6.285061155174133,5.873246437072108
test,6,complete_upstream18,all,1353,1352,1,1246,1249,3,0.18504254316121527,0.18309296903558556,1.7171986777451629,1.7406104871978663
test,6,complete_upstream18,level_ge_7m,140,140,0,102,105,3,0.4103534861215363,0.378949851948285,1.7171986777451629,1.7406104871978663
test,6,missing_upstream18,all,586,574,12,506,502,-4,0.29629324511743904,0.2815190566896595,6.285061155174133,5.873246437072108
test,6,missing_upstream18,level_ge_7m,97,96,1,49,51,2,1.0175007373971345,0.9715043129322115,6.285061155174133,5.873246437072108
test,7,full_schedule,all,1938,1924,14,1681,1711,30,0.2715935998795882,0.2535827802612305,5.741668726661139,6.0208534987449145
test,7,full_schedule,level_ge_7m,237,236,1,136,140,4,0.7686365930885518,0.6995641232444646,5.741668726661139,6.0208534987449145
test,7,complete_upstream18,all,1352,1351,1,1215,1222,7,0.22323596422888806,0.2201968420527949,2.6420359502076423,2.360113419591425
test,7,complete_upstream18,level_ge_7m,140,140,0,91,96,5,0.5027925723199538,0.46324966949373436,2.6420359502076423,2.360113419591425
test,7,missing_upstream18,all,586,573,13,466,489,23,0.3856095959774868,0.33229901502492404,5.741668726661139,6.0208534987449145
test,7,missing_upstream18,level_ge_7m,97,96,1,45,44,-1,1.1563257900427575,1.044189368297613,5.741668726661139,6.0208534987449145
test,8,full_schedule,all,1937,1922,15,1621,1671,50,0.33000991457364304,0.3023318218721714,6.34538255352402,6.28361375098855
test,8,full_schedule,level_ge_7m,237,236,1,126,134,8,0.896150794225324,0.7827593546022272,6.34538255352402,6.28361375098855
test,8,complete_upstream18,all,1351,1350,1,1171,1188,17,0.2742499842217962,0.26692721580566553,2.5409748122383373,2.440486297449919
test,8,complete_upstream18,level_ge_7m,140,140,0,87,90,3,0.5558720549762772,0.5096992248431689,2.5409748122383373,2.440486297449919
test,8,missing_upstream18,all,586,572,14,450,483,33,0.4616111487956591,0.3858916438822814,6.34538255352402,6.28361375098855
test,8,missing_upstream18,level_ge_7m,97,96,1,39,44,5,1.3923906222968505,1.1809720438341873,6.34538255352402,6.28361375098855
test,9,full_schedule,all,1936,1920,16,1552,1566,14,0.3815619164533893,0.36194487289548777,6.399986252911056,7.017724924010746
test,9,full_schedule,level_ge_7m,237,236,1,111,120,9,1.0187292413104856,0.9443387018705233,6.399986252911056,7.017724924010746
test,9,complete_upstream18,all,1350,1349,1,1114,1119,5,0.32388993661229254,0.31619664318954716,3.0891831499353035,2.945866799565154
test,9,complete_upstream18,level_ge_7m,140,140,0,74,81,7,0.6725636873403933,0.6276161105260093,3.0891831499353035,2.945866799565154
test,9,missing_upstream18,all,586,571,15,438,447,9,0.5178132313494307,0.4700260670694176,6.399986252911056,7.017724924010746
test,9,missing_upstream18,level_ge_7m,97,96,1,37,39,2,1.5235540075168703,1.4062258142479394,6.399986252911056,7.017724924010746
test,10,full_schedule,all,1935,1918,17,1455,1440,-15,0.4285842414271255,0.4159925669468419,6.961267715048452,7.378425529225235
test,10,full_schedule,level_ge_7m,237,236,1,88,98,10,1.1481849155628434,1.0727185043258503,6.961267715048452,7.378425529225235
test,10,complete_upstream18,all,1349,1348,1,1046,1028,-18,0.36764524974398644,0.36765590205532817,2.881066249719037,2.687782640624228
test,10,complete_upstream18,level_ge_7m,140,140,0,58,63,5,0.7656172407194881,0.7470550672203815,2.881066249719037,2.687782640624228
test,10,missing_upstream18,all,586,570,16,409,412,3,0.5726996112321632,0.5303045393569481,6.961267715048452,7.378425529225235
test,10,missing_upstream18,level_ge_7m,97,96,1,30,35,5,1.706096108042737,1.5476443501046588,6.961267715048452,7.378425529225235
test,11,full_schedule,all,1934,1916,18,1367,1353,-14,0.4690892383514233,0.45982436277070066,7.154155835489432,7.162860263084974
test,11,full_schedule,level_ge_7m,237,236,1,80,85,5,1.3099543131639617,1.271887576421387,7.154155835489432,7.162860263084974
test,11,complete_upstream18,all,1348,1347,1,992,970,-22,0.4023331336264296,0.40447197194817075,3.2613418027195102,3.5906485043616545
test,11,complete_upstream18,level_ge_7m,140,140,0,56,55,-1,0.9015637865347391,0.9073231155059456,3.2613418027195102,3.5906485043616545
test,11,missing_upstream18,all,586,569,17,375,383,8,0.6271217041942468,0.5908606904296603,7.154155835489432,7.162860263084974
test,11,missing_upstream18,level_ge_7m,97,96,1,24,30,6,1.9055238311649108,1.8035440819230721,7.154155835489432,7.162860263084974
test,12,full_schedule,all,1933,1914,19,1341,1345,4,0.49192643675761727,0.47671018281823474,8.059887634382665,7.174798746042622
test,12,full_schedule,level_ge_7m,237,236,1,79,75,-4,1.419848006023937,1.366877431108205,8.059887634382665,7.174798746042622
test,12,complete_upstream18,all,1347,1346,1,971,977,6,0.421158445709733,0.41537204322014365,3.789866562982221,3.7366226750652185
test,12,complete_upstream18,level_ge_7m,140,140,0,57,50,-7,0.954638869018541,0.9690021438103904,3.789866562982221,3.7366226750652185
test,12,missing_upstream18,all,586,568,18,370,368,-2,0.6596266408957376,0.6220642953165282,8.059887634382665,7.174798746042622
test,12,missing_upstream18,level_ge_7m,97,96,1,22,25,3,2.0982779974901393,1.9471122250841848,8.059887634382665,7.174798746042622
validation,1,full_schedule,all,6517,6485,32,6476,6475,-1,0.04061131280517209,0.03587835259632245,0.8377492946785994,0.8833202854291589
validation,1,full_schedule,level_ge_7m,28,28,0,27,28,1,0.11175831395564192,0.10785300605884565,0.5495482370290699,0.4987287585302056
validation,1,complete_upstream18,all,6029,6012,17,6005,6004,-1,0.03223666316086127,0.033843188877675234,0.8377492946785994,0.8833202854291589
validation,1,complete_upstream18,level_ge_7m,28,28,0,27,28,1,0.11175831395564192,0.10785300605884565,0.5495482370290699,0.4987287585302056
validation,1,missing_upstream18,all,488,473,15,471,471,0,0.14705611970072532,0.06174601491451919,0.6525121643332157,0.7975660224653423
validation,1,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,2,full_schedule,all,6516,6483,33,6463,6458,-5,0.04697639021777642,0.04613520718562284,1.529144066050014,1.404936291437802
validation,2,full_schedule,level_ge_7m,28,28,0,28,28,0,0.1272477658500362,0.13511955229142725,0.49159525822109984,0.46796161614206255
validation,2,complete_upstream18,all,6025,6008,17,5998,5996,-2,0.039870847550834976,0.04293559967760832,1.529144066050014,1.404936291437802
validation,2,complete_upstream18,level_ge_7m,28,28,0,28,28,0,0.1272477658500362,0.13511955229142725,0.49159525822109984,0.46796161614206255
validation,2,missing_upstream18,all,491,475,16,465,462,-3,0.13685028567669047,0.08660519015015165,0.8408999197809859,0.9406457868760261
validation,2,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,3,full_schedule,all,6515,6481,34,6434,6446,12,0.059442849304242845,0.055262712838616786,1.9711629977394143,1.7618698423225414
validation,3,full_schedule,level_ge_7m,28,28,0,26,27,1,0.14959411655102878,0.15897043189009014,0.8236742817138918,0.6169649364250152
validation,3,complete_upstream18,all,6025,6008,17,5981,5987,6,0.05021648529414181,0.05100833096873412,1.9711629977394143,1.7618698423225414
validation,3,complete_upstream18,level_ge_7m,28,28,0,26,27,1,0.14959411655102878,0.15897043189009014,0.8236742817138918,0.6169649364250152
validation,3,missing_upstream18,all,490,473,17,453,459,6,0.17663522768201642,0.10930145760448359,1.1227443876755785,0.9001936006061899
validation,3,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,4,full_schedule,all,6514,6480,34,6411,6414,3,0.07054729055411385,0.07149639529680597,2.3443139281322054,1.7699094314496264
validation,4,full_schedule,level_ge_7m,28,28,0,27,27,0,0.18225033037992147,0.16898347869280797,0.561008592115118,0.503930142699331
validation,4,complete_upstream18,all,6020,6003,17,5972,5970,-2,0.06042667303999245,0.0647490105277622,2.3443139281322054,1.7699094314496264
validation,4,complete_upstream18,level_ge_7m,28,28,0,27,27,0,0.18225033037992147,0.16898347869280797,0.561008592115118,0.503930142699331
validation,4,missing_upstream18,all,494,477,17,439,444,5,0.19791430719409445,0.15641159606948885,0.9619429676720079,1.4310939319199552
validation,4,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,5,full_schedule,all,6513,6479,34,6366,6371,5,0.08526315030480959,0.08546882192571821,2.13998043891651,2.2877692677646824
validation,5,full_schedule,level_ge_7m,28,28,0,27,26,-1,0.2049457152856696,0.2069427268842947,1.110735224661627,1.2678339314169245
validation,5,complete_upstream18,all,6022,6005,17,5948,5948,0,0.07404683713479451,0.07763808126090246,2.13998043891651,2.2877692677646824
validation,5,complete_upstream18,level_ge_7m,28,28,0,27,26,-1,0.2049457152856696,0.2069427268842947,1.110735224661627,1.2678339314169245
validation,5,missing_upstream18,all,491,474,17,418,423,5,0.22736011356628733,0.1846747242299765,1.4131069877526423,1.3739159184721794
validation,5,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,6,full_schedule,all,6512,6478,34,6289,6297,8,0.1069154567904564,0.10998568015499516,2.423297278017234,2.3396457491762686
validation,6,full_schedule,level_ge_7m,28,28,0,21,20,-1,0.36918320277457173,0.3692234500870168,2.1737320381886134,1.9213556810105823
