phase,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,1,full_schedule,all,hourly_control,1967,23,1944,1938,6,1924,0.9927760577915377,0.9897119341563786,0.06115455391580039,0.006785497807295324,0.34897522293659083,2.2888539483769783
test,1,full_schedule,all,hourly_plus2018,1967,23,1944,1938,6,1925,0.9932920536635707,0.9902263374485597,0.061719644408389916,0.006757819822459248,0.3487353494852252,2.2416403389302637
test,1,full_schedule,level_ge_7m,hourly_control,1967,23,237,236,1,228,0.9661016949152542,0.9620253164556962,0.13001982063570697,-0.021669140283612727,0.8288567778376273,2.2888539483769783
test,1,full_schedule,level_ge_7m,hourly_plus2018,1967,23,237,236,1,228,0.9661016949152542,0.9620253164556962,0.13116532486417565,-0.012849398294231025,0.8782945015268817,2.2416403389302637
test,1,complete_upstream18,all,hourly_control,1363,3,1360,1359,1,1357,0.9985283296541575,0.9977941176470588,0.05081884780610725,0.009554112248965041,0.2610739194632422,0.5362215437988027
test,1,complete_upstream18,all,hourly_plus2018,1363,3,1360,1359,1,1357,0.9985283296541575,0.9977941176470588,0.051711174194002126,0.00996101084823152,0.2720861307665717,0.5991155069158838
test,1,complete_upstream18,level_ge_7m,hourly_control,1363,3,144,144,0,144,1.0,1.0,0.08024027105991674,-0.0008094185622865075,0.39670623897834145,0.4157540204737611
test,1,complete_upstream18,level_ge_7m,hourly_plus2018,1363,3,144,144,0,143,0.9930555555555556,0.9930555555555556,0.08466227362767867,0.005758454039476644,0.4422106875542898,0.5402198371372453
test,1,missing_upstream18,all,hourly_control,604,20,584,579,5,567,0.9792746113989638,0.9708904109589042,0.08541400918881072,0.0002871437032726216,0.5047480155550711,2.2888539483769783
test,1,missing_upstream18,all,hourly_plus2018,604,20,584,579,5,568,0.9810017271157168,0.9726027397260274,0.08521102786495817,-0.0007605508235243755,0.4991694797518091,2.2416403389302637
test,1,missing_upstream18,level_ge_7m,hourly_control,604,20,93,92,1,84,0.9130434782608695,0.9032258064516129,0.2079356373630308,-0.0543191394996016,1.7859514231228568,2.2888539483769783
test,1,missing_upstream18,level_ge_7m,hourly_plus2018,604,20,93,92,1,85,0.9239130434782609,0.9139784946236559,0.20395270940825788,-0.04197473238177346,1.7631104528241222,2.2416403389302637
test,2,full_schedule,all,hourly_control,1966,23,1943,1935,8,1898,0.9808785529715762,0.9768399382398353,0.08221210133086075,0.011920319954073893,0.4875773692051407,3.0085622785030273
