phase,horizon_h,scheduled,recent_train,added2018,recent_indices_sha256
validation,1,6551,4360,322,f12b71d9f0dec379883f8b8167cbcd4e26847bbbb2ad85f4be6c3ebce6f3d8c1
test,1,1967,10845,322,1c27e6dde0ed72450315702de75ad376e88d95fd06e95a4b24828eacd2e12111
validation,2,6550,4360,319,b8ba8c6ecacd342583d006fa331032c355845a0ccf62d251da7ca3b782919fcc
test,2,1966,10843,319,ccb3bce935345daf00e21cb52bc7e31e61842d34a9cfca76c446755bd2e29d73
validation,3,6549,4358,316,b58540074a9e2f6c140b3fe8ac2a6738414e91ac4547a5c20916029ce3d2481b
test,3,1965,10839,316,1c0372e7d9f6902fb1752e888568a7863ae3e9513c9f6c6a95c0d64049e93c38
validation,4,6548,4357,314,55a1139f0026d3641fea2c01db9db060b27a6f6fadf0aff688d92c63e4935ee0
test,4,1964,10837,314,45f597d0d2e44acd3cf07ab4b666998e2acd7998876cef000e7726ecfee5c6c9
validation,5,6547,4356,312,0898e8cd4d548b619cc775b46645c10b2039705f48a0afeafaa7ba1c6420cc17
test,5,1963,10835,312,341973792eb7784e486405b886f5f0515e6599dff7ba7eb68c5145cca8ce1e9f
validation,6,6546,4355,310,ca4212c6d72802b5f1b250aab741c018517b68d3b1bfd9a58c0c8f2f0c805b85
test,6,1962,10833,310,a30b0f4d328dfb61b3cf62906335655f3d3719c28836d5334e688a3bfa3ae978
validation,7,6545,4354,308,92bba0c9a5f2b511b5873f1a8e381103dc2c3e359a1bd596e6d9ee90ebf24366
test,7,1961,10832,308,167b6026718b28f78220ba53ac551035a4a33d386a92bff71080f816c07e6677
validation,8,6544,4353,306,335205f69c160603d39caeb66bdbcf54ff74b069ae26b88954d39cbc084ccc1d
test,8,1960,10829,306,3fcc85820c2e6217dd56eb4cb958cbd3d02a1ef72fa13dbb6c838f1d72898a0b
validation,9,6543,4352,304,9f9dbd8c76095b9c6b7e0155c5faddf3f03529b75a20d92f2e8858e4985e531a
test,9,1959,10827,304,8063144d790a2bff55a234d8a8d75097809af1a1989082be37f4e5d114f43833
validation,10,6542,4351,302,c8652fbc4201bbbdd7a329f6276e12afd2fb3d6ae8f3b01f2e6cab8058272965
test,10,1958,10825,302,19da02bb1195f0619e4a01abb60a4a2b4ae1dadacba00b43cb563f50f7d43c7a
validation,11,6541,4350,301,ae37d511e6c37547bf61d381567925e0369655a77e3d79408bf1eee78d94726e
test,11,1957,10823,301,f66abf6ec0a32181ed8bb2503bb5f38a58d943dd22f9be4a3d28e6f043222be0
validation,12,6540,4349,299,0470518b6507355778adde6ac3bad2efe737c3fe640c0b154db520fc204688fd
test,12,1956,10821,299,c1eaec635ff2740b58b7b970603d721c3c2f331f47fdbe9c307945af9940b995
