phase,family,horizon_h,n,recent_n,added_n,weight_sum,input119_sha256,response_sha256,weight_sha256,first_origin,last_origin,latest_target
validation,hourly_control,1,4360,4360,0,4692,c60ac18d0b076d88cd608cbe4291d0759cb25fe262bd496dabbc1e702f7f59bf,e0a414967015a0708c201542a47a647473adc2b3c1f55f18a00afd24687ea304,e9814b2cc70c28de9eceb92e4b452a425d59aad132dce718e09e36c613c98d4a,2025-04-01T09:00:00-03:00,2025-09-30T22:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,1,4682,4360,322,5074,885302385a2c810a0b938334fbe52f25023655b02cc387dfa4d5afaf5b1f82e6,0aa78a38a597ac848eac55b87795fd5564d4baad606ae81b01bfe078bf29a927,9ed08c9819c50a11ca558973495a2557ceae699f2bd6e2408b345a95e4869625,2018-08-30T00:00:00-03:00,2025-09-30T22:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,1,10845,10845,0,11231,3fd09647831ac0b2d187aafbf4c889d5241cc28547ae088021089553a0012b56,a529bdc30de9f931863249c11d90ed67edd20dd94856adc76533339cf70bfc15,31d991126a243ba47b3f716b2e6ae8640f8754c48f31564836e601730478727c,2025-04-01T09:00:00-03:00,2026-06-30T22:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,1,11167,10845,322,11613,90c3a617f6588a32a72f499501e25aef6760d3e2d68a25ae5ea3e72a32051213,c02ca9de17392bf152f594d65fd6dbb45ce484113ca1d92c2d07333031da727d,a741d101ac537afeb09ce4bc0213eb8198a222a349d16ed3fbc74142362962ad,2018-08-30T00:00:00-03:00,2026-06-30T22:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,2,4360,4360,0,4800,36d0f9a10a2d32ceda9f5c74fe72e8a44394b9e2b8a60c3fa220cd554fb09c9c,909b5dfa5343e28630fa7809177c95710c6c22d5ab26e67e3c6870cbb6fab9f1,c9ee04b54ca3e4a23facfdf536956e5e8958b61f1e5accfd51d10f545802e672,2025-04-01T09:00:00-03:00,2025-09-30T21:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,2,4679,4360,319,5193,760336f8dafc3321969929900603541b40f3fcfa1ffe4150ca130c5fa90f7b6a,68f4f42a85b21d8d123a486a493db1e5ec0d8c6811cbfe9a5b6908dc5aeb88d4,f40e42b73ee6eb4f0bd2b7823def68524f64714fbf6acc82d751c7a6846d5a2b,2018-08-30T00:00:00-03:00,2025-09-30T21:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,2,10843,10843,0,11453,847d326b1e9baad16c42a5c2a694123705daa7eea1dd56cdc7daf799e8bd624e,0685d908f76d5d8eac5aacb40e9d235ea24542ef00c64a01493e109fedf849e1,467c5d6d44ac47e26a0dfbaf0e947a60c3e39af0e814b4fd7dd9e9c190842bbc,2025-04-01T09:00:00-03:00,2026-06-30T21:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,2,11162,10843,319,11846,1c14b778d1dcee4f2e255c7e70fe48a42405d8063c1c57e8f280d9f3e3527c96,af336f5508a9a7abbd0c6fb03dae4ed8b66e8b27db67d64f20ac5fbc1c35b1bc,e3aaeef6b123b71d14509b8fe7489f1a7324ac9ac54813fb0a9978a21910a922,2018-08-30T00:00:00-03:00,2026-06-30T21:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,3,4358,4358,0,4946,00d20d405ee6c1fc466257c29b98bcae6de6b8c38dda7b57059d4341325f05de,c1c5c0a88ee7b9e954b67fff24bdf8fcd24f4d0715a6be72d47ae1c44a11a94c,40c29c37e4f50decaede518e98098289f4c474bfff9f084be34616ab2ad19a93,2025-04-01T09:00:00-03:00,2025-09-30T20:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,3,4674,4358,316,5352,5a7b1f66a2bdecad08dac0b9b0c1e4fb0147351239b4417987e8e3edbad727eb,2ab9d1bd399448461cdc6b9b5f1c8d565631ae7215510d6219883350cb871145,df9ee4332ec2afa2a896b4dce0eadb729a1c6585bf10f4696f0001a20d0be08e,2018-08-30T00:00:00-03:00,2025-09-30T20:00:00-03:00,2025-09-30T23:00:00-03:00
