phase,horizon_h,observed,pairs,failures,control_hits,augmented_hits,delta_hits,control_mae,augmented_mae,control_max,augmented_max
validation,1,28,28,0,28,28,0,0.0666807029630848,0.06622220494337094,0.25365721478517145,0.2656572630837264
validation,2,28,28,0,28,27,-1,0.11897886238198042,0.15047848209722506,0.36191043129735867,0.5059284225585534
validation,3,28,28,0,26,26,0,0.16960676474370254,0.18649509879742424,0.6140799441250824,0.5694744629928099
validation,4,28,28,0,26,25,-1,0.16646123882897323,0.1800532250028324,0.560207741268413,0.624557285287052
validation,5,28,28,0,25,25,0,0.2291228510791504,0.24266485543879884,0.7553061347974745,0.9036180399439244
validation,6,28,28,0,24,25,1,0.2587119452642057,0.31899240609293583,1.0962896884715265,1.8876763756515116
validation,7,28,28,0,18,14,-4,0.4275016599210431,0.6287247032197454,2.6556568259868305,3.1438582931485106
validation,8,28,28,0,20,13,-7,0.4882291267479996,0.843007084068548,2.5050304061770072,3.007068766222681
validation,9,28,28,0,17,9,-8,0.6095633629892163,0.936392368734251,2.1405087524778477,2.7928309988350986
validation,10,28,28,0,11,9,-2,0.7637956998438623,0.92121779864775,1.6643311821088886,2.376644669756846
validation,11,28,28,0,9,8,-1,0.913230549267538,0.9076195437388803,2.3488613754696814,2.21866166889059
validation,12,28,28,0,7,11,4,0.9084925009708122,0.8421427856464021,2.619470094800553,2.6933975093042157
test,1,237,236,1,230,231,1,0.07747194053705365,0.06735151255341046,1.284834339803509,1.0610535741969782
test,2,237,236,1,225,229,4,0.14574519761403643,0.12448928427543968,2.4854087637465963,2.085350770233495
test,3,237,236,1,206,215,9,0.2397801871519601,0.21271518758413818,3.5268719363183774,3.1268602650367585
test,4,237,236,1,189,198,9,0.3477376475215351,0.3153005637095231,4.159274231826119,3.9854426877239817
test,5,237,236,1,174,177,3,0.44950094391357975,0.4406633989363573,4.732017992487203,4.764388043463585
test,6,237,236,1,149,157,8,0.5992745509944473,0.564239452215428,5.717300772050423,5.165168666477445
test,7,237,236,1,132,137,5,0.7350302813017384,0.6614451995797291,5.611443817837554,5.238469590845129
test,8,237,236,1,128,134,6,0.8437648586743666,0.733641854609504,6.185898482285559,5.522181854132224
test,9,237,236,1,113,127,14,0.9692832556460395,0.8876777676944855,6.0003742492804815,6.776839453511669
test,10,237,236,1,93,106,13,1.0678142840693023,0.9651463125335699,6.464545216847842,6.315207894432116
test,11,237,236,1,85,94,9,1.1782923476697535,1.0660659180542542,6.566430652044184,7.026596817958696
test,12,237,236,1,83,89,6,1.3618131697950429,1.2255790416232042,7.5899965838495795,7.50278061239797
