phase,profile,horizon_h,subset,reference,observed_targets,failures,reference_hits,aged_hits,delta_hits,reference_mae_m,aged_mae_m,delta_mae_m,reference_max_m,aged_max_m
test,A,1,all,mixed_profile_candidate,1944,5,1933,1933,0,0.04783750593944735,0.04368604741778738,-0.004151458521659969,1.141419228155974,1.1694974274009189
test,A,1,all,profile_A_control,1944,5,1933,1933,0,0.0371222429682849,0.04368604741778738,0.006563804449502476,1.2985394062094997,1.1694974274009189
test,A,1,level_ge_7m,mixed_profile_candidate,237,1,231,231,0,0.07625871051660717,0.07710345785610287,0.0008447473394957022,1.141419228155974,1.1694974274009189
test,A,1,level_ge_7m,profile_A_control,237,1,230,231,1,0.08365381495683401,0.07710345785610287,-0.006550357100731138,1.2985394062094997,1.1694974274009189
test,A,2,all,mixed_profile_candidate,1943,7,1895,1902,7,0.0875271938439811,0.07277812869750151,-0.014749065146479584,2.35798379080882,2.346097569851504
test,A,2,all,profile_A_control,1943,7,1915,1902,-13,0.06470988559156808,0.07277812869750151,0.008068243105933431,2.430986906354253,2.346097569851504
test,A,2,level_ge_7m,mixed_profile_candidate,237,1,225,226,1,0.13368154358694637,0.13614122845602752,0.002459684869081158,2.35798379080882,2.346097569851504
test,A,2,level_ge_7m,profile_A_control,237,1,225,226,1,0.1420297534699279,0.13614122845602752,-0.005888525013900386,2.430986906354253,2.346097569851504
test,A,3,all,mixed_profile_candidate,1942,9,1869,1870,1,0.11088536147545171,0.1032126406858451,-0.00767272078960661,3.5417724438313964,3.6904468704586115
test,A,3,all,profile_A_control,1942,9,1896,1870,-26,0.08858410963828463,0.1032126406858451,0.01462853104756047,3.8502978392165037,3.6904468704586115
test,A,3,level_ge_7m,mixed_profile_candidate,237,1,211,211,0,0.23103349561199366,0.2346448714228629,0.003611375810869233,3.5417724438313964,3.6904468704586115
test,A,3,level_ge_7m,profile_A_control,237,1,210,211,1,0.2532196871530062,0.2346448714228629,-0.0185748157301433,3.8502978392165037,3.6904468704586115
test,A,4,all,mixed_profile_candidate,1941,10,1864,1858,-6,0.13045457157932483,0.12784332428219458,-0.002611247297130248,4.7455033562984505,4.870926028514681
test,A,4,all,profile_A_control,1941,10,1878,1858,-20,0.11497979365427792,0.12784332428219458,0.012863530627916661,4.579107233006882,4.870926028514681
test,A,4,level_ge_7m,mixed_profile_candidate,237,1,199,199,0,0.36092812417098286,0.3620724918759838,0.001144367705000926,4.7455033562984505,4.870926028514681
test,A,4,level_ge_7m,profile_A_control,237,1,199,199,0,0.34447883082737046,0.3620724918759838,0.017593661048613318,4.579107233006882,4.870926028514681
test,A,5,all,mixed_profile_candidate,1940,11,1845,1843,-2,0.1592206798094355,0.15896029217930438,-0.00026038763013111477,5.4406707406415205,5.651867985266682
test,A,5,all,profile_A_control,1940,11,1856,1843,-13,0.1529170486007049,0.15896029217930438,0.006043243578599478,5.585721334594157,5.651867985266682
test,A,5,level_ge_7m,mixed_profile_candidate,237,1,178,177,-1,0.4876970563733857,0.4879859455386559,0.0002888891652702008,5.4406707406415205,5.651867985266682
test,A,5,level_ge_7m,profile_A_control,237,1,182,177,-5,0.48868542525858694,0.4879859455386559,-0.0006994797199310621,5.585721334594157,5.651867985266682
test,A,6,all,mixed_profile_candidate,1939,12,1780,1771,-9,0.2079324272093252,0.20979799706843366,0.0018655698591084624,6.299646491687942,6.28471217239543
test,A,6,all,profile_A_control,1939,12,1772,1771,-1,0.20405372470450728,0.20979799706843366,0.005744272363926384,6.383213756919677,6.28471217239543
test,A,6,level_ge_7m,mixed_profile_candidate,237,1,170,165,-5,0.6021107824295977,0.6081930420740659,0.00608225964446818,6.299646491687942,6.28471217239543
test,A,6,level_ge_7m,profile_A_control,237,1,162,165,3,0.6129362573306584,0.6081930420740659,-0.004743215256592492,6.383213756919677,6.28471217239543
test,A,7,all,mixed_profile_candidate,1938,13,1690,1690,0,0.25477754180124057,0.25366943107869133,-0.0011081107225492381,5.194583557487675,5.197929471610461
