phase,profile,family,horizon_h,scheduled,inferred,max_difference_m,exact
validation,A,profile_A_control,1,6551,6511,0.0,True
validation,A,profile_B_control,1,6551,6511,0.0,True
validation,A,mixed_profile_candidate,1,6551,6511,0.0,True
validation,A,age_mixed_candidate,1,6551,6511,0.0,True
validation,B,profile_A_control,1,6551,6521,0.0,True
validation,B,profile_B_control,1,6551,6521,0.0,True
validation,B,mixed_profile_candidate,1,6551,6521,0.0,True
validation,B,age_mixed_candidate,1,6551,6521,0.0,True
test,A,profile_A_control,1,1967,1944,0.0,True
test,A,profile_B_control,1,1967,1944,0.0,True
test,A,mixed_profile_candidate,1,1967,1944,0.0,True
test,A,age_mixed_candidate,1,1967,1944,0.0,True
test,B,profile_A_control,1,1967,1945,0.0,True
test,B,profile_B_control,1,1967,1945,0.0,True
test,B,mixed_profile_candidate,1,1967,1945,0.0,True
test,B,age_mixed_candidate,1,1967,1945,0.0,True
validation,A,profile_A_control,2,6550,6510,0.0,True
validation,A,profile_B_control,2,6550,6510,0.0,True
validation,A,mixed_profile_candidate,2,6550,6510,0.0,True
validation,A,age_mixed_candidate,2,6550,6510,0.0,True
validation,B,profile_A_control,2,6550,6520,0.0,True
validation,B,profile_B_control,2,6550,6520,0.0,True
validation,B,mixed_profile_candidate,2,6550,6520,0.0,True
validation,B,age_mixed_candidate,2,6550,6520,0.0,True
test,A,profile_A_control,2,1966,1943,0.0,True
test,A,profile_B_control,2,1966,1943,0.0,True
test,A,mixed_profile_candidate,2,1966,1943,0.0,True
test,A,age_mixed_candidate,2,1966,1943,0.0,True
test,B,profile_A_control,2,1966,1944,0.0,True
test,B,profile_B_control,2,1966,1944,0.0,True
test,B,mixed_profile_candidate,2,1966,1944,0.0,True
test,B,age_mixed_candidate,2,1966,1944,0.0,True
validation,A,profile_A_control,3,6549,6509,0.0,True
validation,A,profile_B_control,3,6549,6509,0.0,True
validation,A,mixed_profile_candidate,3,6549,6509,0.0,True
validation,A,age_mixed_candidate,3,6549,6509,0.0,True
validation,B,profile_A_control,3,6549,6519,0.0,True
validation,B,profile_B_control,3,6549,6519,0.0,True
validation,B,mixed_profile_candidate,3,6549,6519,0.0,True
validation,B,age_mixed_candidate,3,6549,6519,0.0,True
test,A,profile_A_control,3,1965,1942,0.0,True
test,A,profile_B_control,3,1965,1942,0.0,True
test,A,mixed_profile_candidate,3,1965,1942,0.0,True
test,A,age_mixed_candidate,3,1965,1942,0.0,True
test,B,profile_A_control,3,1965,1943,0.0,True
test,B,profile_B_control,3,1965,1943,0.0,True
test,B,mixed_profile_candidate,3,1965,1943,0.0,True
test,B,age_mixed_candidate,3,1965,1943,0.0,True
validation,A,profile_A_control,4,6548,6508,0.0,True
validation,A,profile_B_control,4,6548,6508,0.0,True
validation,A,mixed_profile_candidate,4,6548,6508,0.0,True
validation,A,age_mixed_candidate,4,6548,6508,0.0,True
validation,B,profile_A_control,4,6548,6518,0.0,True
validation,B,profile_B_control,4,6548,6518,0.0,True
