phase,family,horizon_h,n,profile_A_rows,profile_B_rows,weights_sum,delta_sha256,weights_sha256,features_sha256
validation,profile_A_control,1,3530,3530,0,3736,b5b68ec7e4643f8406cc3791fc3eb3adff30b119a4951dd1c208c4d1fbdf75fc,bf7830b80aa10755ee70237b9dfc59d75c2052bf5ccefa6d9255a0bc4e461f36,0278f6729ea71d46566d91c7c1660da0cc66a62dac83840cde3ccdb956386fad
validation,profile_B_control,1,3530,0,3530,3748,c3bd54b72d0e3d8d8d89e49c16a72bed3651ba5dc456d66f99b5d0128b67bc1c,5d12811944a50e60146dc49a79a4bf52be66b11251d94b89d7e384c56a133e03,df5ec045523cf299ef50fd7f1c383ff1903e08101f4e235fad5d6c1d5a0b738f
validation,mixed_profile_candidate,1,3530,1712,1818,3742,735deacb3dedcf80cb4e7fc57775fd19e51f9be2a53700a04907278311d07760,8664ab986a693c3b965a85f7a0a0d996a231b0935e6fa3a815fe5d3f89737caa,a64fc03bb1bd144709925a69db1fc6911f99b3f56e24ac635168d79dc2c692e6
test,profile_A_control,1,9298,9298,0,9514,08725e849e9f31f911e2851174c5b14b9745eb2d98d1ae9a9fa7cc3b1ccaf6c3,01cd48d218ec3ca61d267331efe37cffca1880c287cb4474e95baf0e328e0203,a24cdcdc92b6a89da180bdcfed844b133535e771ab73c7a70025a541e5b25cce
test,profile_B_control,1,9298,0,9298,9532,45c82cabed58f4afc15b644025ced8651ecc0e7c827c5ca476e7afe85774ffe8,fd2c80624dddff22f4d0dcdcf29739d64b07c19cbd72fb207d1874d33c810375,4cf319d69c9cbde708d69dfee64d59e978650c5c856f43520c0bba713208d5a1
test,mixed_profile_candidate,1,9298,4585,4713,9524,2a4531557d08ad9ae1abadffdf26ed251b2814ecf897b9e2659dc0eb04f6048f,badac6e46d50eb64e9741953a430201079a9f08769e9b356e0d30cb952217e05,d334db3028560f8d2f75df9b99c47052e1c94dae8056a114c6ff40db89a9a5d4
validation,profile_A_control,2,3528,3528,0,3786,6b0b54ec09d727ea79b81134bfaa57ef6e5f81872797849bd2bcb5ac2b29c5b1,be8e897fc6d7fdfc3544d1a964eab00b06cdcf48319632c714d0bb6fe0803280,ad505e5c0a47e3e405c5c1d08abe6acd0d1cc736b14a132ba3f6e791a7814235
validation,profile_B_control,2,3528,0,3528,3808,b36ba40ee420fb0b42358062a240934473ab10612cca3c121075d4a691ab400d,b46a88e9f7e105c5ace60560ee52007043b4bbe425c5b52a46fcdce25111d8fc,d8ff2e65c42428e81dc142719d4c52ac36c31b4483dc2918b3eb123eac428417
validation,mixed_profile_candidate,2,3528,1709,1819,3800,edefb3dc66da16ddc79e39b512a23d1083a4fb808c44b92b99b189bcf20e0802,d990a415e8452a39548d2c76a280056d1ff16d78f4006f8bc3153013eb6c9e5a,f3b39ce4803582b575c9a344678433e2788cdcd096eab969fa592df6b196852a
test,profile_A_control,2,9291,9291,0,9613,dfdebfa3843d4ab24f37a16b2157742ae75bcc3b64e9f6c42110f480a3cbbb62,38536dbfadc18a686229bffc39f40678cb212513f0235b4c51946dda96c3cb1a,fbb56dfb20f7a90df8aac6ec2140dcaa81ce64cf550bb2e8f10190ffe7ec9cdb
test,profile_B_control,2,9291,0,9291,9653,1a402d0a8cb6418ddb96e3f8fc6e15cd1ed5191268f99c2f5e662c1668bf68e4,45cb8f6afb11cd693b722b5b2812ae36082484a01f2b2a1a6fa21b9b2161822b,f581c26620cf1cebe2cbfb4052d9503b6bf3232549add3bbb488cb4d244e2b8b
test,mixed_profile_candidate,2,9291,4578,4713,9637,6d1064d0659d57c9c6ec7602bbd76c5b332c01bb5fd8e3a0676c06b18ee4a235,626362d15aa4926b1e2a0d638d3b42c3a4c9ecd86c99993d4ee70b1f03a07e91,7eff51fd397c724014d2bc7f16cf92f847814524631a18e2b8e17cf094da63a0
validation,profile_A_control,3,3526,3526,0,3876,d478a2149813ecf699c956988c9b80cdee674fc05b0a6df7ca0437873cb712c6,af2f6ff39542dfe3eff3a1cb300e01a963ac1e9f99ee5f385769d2dcf1dbe77e,e5a5e5b08111e81d00ceb5970dd92841cf07fe5d0753cbda395263b3ae85a849
validation,profile_B_control,3,3526,0,3526,3910,7e626efc582bce0c795174df11eb89333bd5a3c0e0a4278c51e46489395835bb,481b3884be958667fe0b912b2ab5b7e22795f41d9c7e1129f47fe0ca28134d52,f5529808d968461be8e7d77e52fab1e8354017a49f7935ee272b8541c197fd6f
validation,mixed_profile_candidate,3,3526,1709,1817,3898,7f94098e605210e162069e9d54bfcdf3206da77bd45d3613e1f5794ce82bef15,0e55d5bcbf52f84b70a3ce8c507cc0d6d105b773c526fd7e59084ab128caa147,28f901c5447b99a4ef47c60d5bfa234031865b1c19ec222eeddf657bb988d951
test,profile_A_control,3,9289,9289,0,9791,923bba8908f28f5dc0e196f7d420159c64edcf255730b44a3402d0f2c0597904,ec9e3001ecbae2ceac9d18d049463871855d7fe5d171a440c64423a2650b78b1,27421466eae63e4129c1d3b96ab97b93a010aa0282b0c14616aaf1bc41febf93
test,profile_B_control,3,9289,0,9289,9839,771a6becb53629b5c2b7ca413c82f9c87f88eef7651bcef9e350506a7834dd40,c965bf354a429e763a3698da610780b7cca572f7fd6666c87ea6392ac93e6424,594f36c7624d1f6baa53b68af073ddca50521a7533e5330690313d0fe2a0fa89
test,mixed_profile_candidate,3,9289,4581,4708,9815,e6e6eca143d870e17bf4259b0b00b822586784bbffe5ab956883c6c7e5d4669b,038112c0a40bb4f2d280c4fd99bf45057277179787cff231cb9f26fc14d9f24b,1cee99e09184f4f7b0d14adeab11ec0d7c7c2d93d37f1f582f7c1eba8e41ce59
validation,profile_A_control,4,3523,3523,0,4005,09e2772c313df77b87e9c2abd140f28534136ee16f28942791bc79c7f2eb7c4d,f80f8e1001ce7d46df36c26896fd6c266d647cb9e9c46244b6f6e0dea86c97e3,2a69d1e7bf606a494a4f9dd4607bf065f19b8c2de8567e37af9785a83346078f
validation,profile_B_control,4,3523,0,3523,4033,87ed7736fb76075d37ddf744375dae9d949c25039f39304df6ae4beb900c5569,c8558c2f3a82285ebbbf8dde3ba2e15ddfd2c3887e14e9792f5016c7836a8f09,f571aa8c92fc6e13e22427eda1eebf9fd3de5830373dd15b0a18ebbff6cc9c20
validation,mixed_profile_candidate,4,3523,1707,1816,4019,30a461113aeccdaec11ef33b8ecc2943d1724d698d3384480e510ba2c4a2d484,84f2c76752ddc7ecd8742b0270ad91081f5f817e7be0a4affbef0f889b13d8bc,7e2d549a96981ba6b098f365ae7a1d7b62136f4a6b2a0a87837349c0cf89610f
test,profile_A_control,4,9282,9282,0,9996,85885a98ddad8c63ad7922b3e5662556e5891209cb3bb746933aee181092399b,ca9cd01dc4c8ca809aaea066da585662c0987961d11637b6db9b7dccf8048d68,c3bee3b53b3305035e1ffeb559c20a8a41cb5e2d649d59453231eb9dd2584a5b
test,profile_B_control,4,9282,0,9282,10064,53e1d533f82510b50accd0e3a726a1b6f364065957c07b8e478e13430a532b2b,74b428ac9566e8eae965e745fc4642f3c0cee9a7124424e1ee8f23db3af30d69,362b9f9f85161eec9a1ed10d5a53d57fc160372c0a3077fd73d3b19912519059
test,mixed_profile_candidate,4,9282,4575,4707,10030,41f3e1877603792bdcfcb94751ee268a80082b3c4abd103bbf97e3397ce188a2,97574a11b401405b54213a2864d40a88b95b805b391889423c81485364ecdaef,90c820caabe898428015b3d57f9f7084b090434dcc7f41890c798e77a8002590
validation,profile_A_control,5,3520,3520,0,4150,7997a5e5861a721934ac301b7fc9ed036b0368216ba1cbeadb9d0a2b0c328be6,f8a402e4e624875fb2e68163cba993e98085367f2617641e9ad0e0912e88caf0,d97d1143adbd390dab20e6e0488249428c1315bbca532cad0c08e7b05f64473d
validation,profile_B_control,5,3520,0,3520,4196,3c7aa475b7e106046a8635f8e45c1c38cfe30cf00c7bbbe9d8b6287727719750,5eae735a4cd29c81f87e9500e0a2abf534061c4ab95a7a59bb6149832f9ffe89,e0818d166af5c81295cfecef3982a2b51a1b0af1e29cf76e2308cbe3123ca39e
validation,mixed_profile_candidate,5,3520,1706,1814,4172,552b4ed12cd0edf9770abadbc5f1b868d651873e58c9856df4758a41024b9fe1,b6c2d9569838d62e27499bb92a80831b02c08d5fad35be846e05787af5089bd0,c2df826c55e1d3e42147215de4e041c253c8cd71393714e0f2f8110304b096a4
test,profile_A_control,5,9280,9280,0,10330,f153eb947641fdfed62758474946e14e74127225716f152a797445a835a1775c,129e68ce222096b47a203c38ff380ba26885bd9cd5e931dfe324d553d3c71b9d,612d9625a531abe11457c65e4a43f09dfea819a7c7baa0e8ec75817d177d64d8
test,profile_B_control,5,9280,0,9280,10414,9dacb38fecde6c2f48055d92d52245a25f2a7ddc52894012fd35eea7a211d38b,6563de49e90010d5779f8958abe1d34b4742a21bb1386aa2bbc46277707b9477,b3f7a38b714ec4c760d9142a103dc3b03de58e11431c467ada6cad72e76954a7
test,mixed_profile_candidate,5,9280,4568,4712,10368,284174ab64bde8ae83e4372f78bfee7f6fc026a777492449c1ac2b7e6a4b22e7,d6b3de0e8a7f2e2d915246b2bf7d740d3aaaf4427e0f2e0230fdb696fefc1f78,61d12227cd4806e76cc96be2d03ae0d5398bbd53912790d0c904adfba89d3906
validation,profile_A_control,6,3520,3520,0,4316,7476e87070bb213422fa12e68db2c9279e3394ac45d064ace79cb9a4dcf25e33,2b633c84a566995fc39d1137bbf1094cdf086cd70b51795bf543f3c69fecdce1,ace03d7b38cd62d999363e12c7624ca261e11ac4eb3696bb45ac533656e447ee
validation,profile_B_control,6,3520,0,3520,4348,2c98ca1445df670601830c886e93791539abfb1ba34e4cb6bdeda5de88fe9246,dd3acaecd18779147d63821f3070ba8b8cf9366a8c877d6c932276235768f215,8c113f8608e6dd3e2628d8317460c34bfc816a859ef8ba78e584f51911df68d1
validation,mixed_profile_candidate,6,3520,1707,1813,4332,7717f31ee85a9c1d76e537f40baddeffcc780ecc9f6b3fe9cff140d6781783c3,d0d1d781749138bdf56c667664976ec1c97aa12fd39ce3d9142a19a382f22d54,6305370286a4d69e72b5fde929184acfa8fc23305b03dd0de6fc610a70b03556
test,profile_A_control,6,9279,9279,0,10673,144ca9fe8c7339b6190b114f0d82966d9a8e85d8fed130b1aba388018367e44c,53d71ba1e3e43db06af94e0ade41769f1171acf3439c6ed436b1e2f2c59aed2a,ee5ae1f29c049aa495807b6868cc20b8c3ce837f82dbccd04dd86c56c803561f
test,profile_B_control,6,9279,0,9279,10735,92f6f281a9e64a9cdd0c3a792dad831be7ed3e30c30c3c08536153cb3c73afb8,8c3f590e4fc01f6917ce7d07bee1ae4797f998f3f935b21e93bb2df55e3d3f7d,b24a084f8f21b223d470ea6b75cf97438a1ce14b59b1a9eef2b0a1df6451f863
test,mixed_profile_candidate,6,9279,4567,4712,10701,3757d2ceb36122e82ae7b8ecc2612e518aea7d2ee05a9380954cc7b78c7a5edd,ce385e4184bc7a8e5bfee8efea773379d806c8264839bcb2511394ed56642f6d,1061f8b182b0cdefe0381b6bb244e96f447f74805550fbd10b381491a891f5f6
validation,profile_A_control,7,3520,3520,0,4442,9c3a6b8fb3f6d2d56a3f0a829147985433bde4c4cd19b63bdcb87d4c49d04fda,e1e727b95152c95213c628c59486e71956bdc94398c72f7e14f36253cc65ec91,357dcbd81949fba272d04e4c546da0503dcb985f9493f216471f9d6534fa10cd
validation,profile_B_control,7,3520,0,3520,4470,ec134823a04ef842fbdf77ee5767f82a570f1c3daeac85ce7d2e835f253e02a0,7faffe26b725b89063f8402672e50542f04833a0cb43509ec68afffef7620f8a,fa6d4c4025298b34196cfd7167f9934c25d86f8dd1e49661853fcecd1748ce44
validation,mixed_profile_candidate,7,3520,1706,1814,4464,630304aa1577bb27b8076c6a5646817e7c1197ecd8d97fe1b5e9c00e21cbc055,a4c1f6a138f67f475cb812e1cb44b2f9a781d0fb3b57235c7dd6566e079e8170,4ece93c7153e8ff03b007d47e6d15930e28abe4f5bb4e597f32b6495b70d9b58
test,profile_A_control,7,9281,9281,0,10929,55ffa8f1df26f82614e1b8a711b1a94f736b4b5736bf5eb5b7c62e692ba1b47f,5083ac41496aa25d003fb82a8dcb32a42dba7a25384fa08724979079e7513dc3,1fb7691ccf85f8cd47030755bb7d39722e627b68aed8db08fee48ff4c80b85f1
test,profile_B_control,7,9281,0,9281,10979,85fe507d1b1212cc7cb63a899f7883a2d770a36a84b4e7731bf47617377b6d8f,414a219b9fe7a5d3992d1324ff3a4bebb9378f48670c7f43e87ae81df92ccc2a,c8f1106a610f1a29cd92e95a9898e14ee3d9c3a2f3eb36a584626fa796914758
test,mixed_profile_candidate,7,9281,4574,4707,10955,dfc90730b0681d91ac7a162ee129622226cd8e851a41b6f8654d1e71cf323f1d,a6a5faca7ee5c400ecc9b81457dd303f0fc1167bb846d7b62b296554cc556b98,c8278e7d0189ac69bf8ffa2b818b763d8c84562b01b1c2a922ceaa023c4d70cb
validation,profile_A_control,8,3519,3519,0,4565,09a602f840a645550ca86f4a9bc20724ce802afc05ce53de235aeb4731efef18,5a6caa85d8647f2c59f3553035f5cc3caf1a0e892912bceb288f55cf1bf2d218,eade0b7f0b004c5884bd4f3c99ed90aa879baa01e733c0d95d7d33d30a08ae8e
validation,profile_B_control,8,3519,0,3519,4591,56545a806e1c98e147fbe99f194dab8908c3867c34aa3c2e9495f9ea6c88e7f1,066b9e59073e393af124b0e3683ae73e9a8119c201432053ba2611184e8f75fc,72352e9def725bacb7dee54c012e2b556f073859535661174681505fb1666275
validation,mixed_profile_candidate,8,3519,1705,1814,4581,d5327883a85314e9e1569e5f5306bb957f5359987009b567587fb0fe7d130e4b,e1233967570067a5cdf4281d9f86bb9783d7fa512aa3e5fb82395ae46b236c96,56cc9b9ce230013bd0a35cb05d7bf4593142b6292baa5961c1b29a3dbf226899
test,profile_A_control,8,9278,9278,0,11158,57030180df860703cd001e97bce58d1b571ea7a9e352b573a7e3fa75354fe355,23bbd8994a0db92f862561d346bf10bc248505f89498ac8de8ca56bc0ff80d9f,29e7740018e86f07228da9e1430866d717cfd1324cbc40072b71f5a194f53cc7
test,profile_B_control,8,9278,0,9278,11202,a8514e3661320d249f02f82d6857d414fde2aceab9c200fd2f8c86e289f64bcc,dd942c6ec529ee80cebbdd7bc827ef1fbbfb1f73d71f7d1424ba790dbff83139,58a066763e95a4574689b72974462f5234f02acb29c1adec9244a11fa109c614
test,mixed_profile_candidate,8,9278,4569,4709,11184,08f68d919b250bfb7be7fb977a26fa6ae7df9c9a75e293aef55eb59d4982ee7f,81515453ed78bba2668037c36505f074e3838a63271bb6c9c3dda1caf46f1caa,e70881faa2a362164b114920b427fca4aabea41871d9bf1c4e43628ae7b651bc
validation,profile_A_control,9,3517,3517,0,4673,837e0b852ad403bd50811bee03b87894056c10b7f2bd57ff50fd0ef1d2400119,7c6ee770b591ff55d00d7792c989e7139b87af231176eb18c64b4d1dae45f860,e746a90ca0954bfa297729fb60b5b206c28500ca52643bb3ed9407e63bbfbc09
validation,profile_B_control,9,3517,0,3517,4685,4ea0b97de7f5048ca7ede6a8a9a938aa3f2645c0b9a0c45d54d19d07c075f09b,e149d8ee8b97354b71fc115d5ce0a2a1d36554f111b1855ec79612e2483ef1c0,7dd478bf3b0e0305a945a64ef1332c4a2dde1f92edb59d0fd58c604d4939c80e
validation,mixed_profile_candidate,9,3517,1708,1809,4677,f6e639bebe89bb96f4998beb1c02e76e69cc0ea92a0a79458cd4c22b4f472faa,3b1734f55e7e9e6668197285915cf3afb5f2eb26fafbce6a5b1a527456592ea7,11856088594ea113a951269ff0dc760434fa168b0aefd8b22af954d6a0af9678
test,profile_A_control,9,9277,9277,0,11359,a8d8bce8c2a936ada73b52a3790d8e96ee2734d7201712c37cf180af259b8632,4fb1470e18a56bb3a3df952672388d61ba4f0298b84cde76adf1bca1bb73b9c4,2a5f0a1514e83479b071cd267474ceb3dfb6c64e9f4e7dc3296dbd51a3c94fa3
test,profile_B_control,9,9277,0,9277,11393,c8b3a6ee52997c11a9362f689a30e508c5175dddd1faa71eed3261561989e86a,8e1109be50fcb54ad376ecc8c65147053b48fa25130a528ccd099bdddda06034,35f868e6b687b398281500337d5247dd470eaf54bad684311e953f75de7e4723
test,mixed_profile_candidate,9,9277,4575,4702,11377,ba1a0f54c078afde97ee01e2e901488c56923591cb88248ee096996b74de24ff,410ccecfc6de28ef403c8a011a1a059675b3ac1731d99cdb7c396da13b9061d3,77238ffea772bcdd9acdbbc43e70a39631fade3a260e1554b9c1ca92aa29d57c
validation,profile_A_control,10,3516,3516,0,4758,a439df164f9c40602ade467e2df23adcd9d8f290d86bd0de0b381f56fadd53ec,cbb6e6c51a6dff3856feea17a43415945b0977491a6e02b8662baa302d287b99,4ed6f6624df905765eb5a2b6c44794a996c3ea944511f0d42eca2f3017c331cf
validation,profile_B_control,10,3516,0,3516,4774,647b5c372f21766a9e1cd05c35e502a8e80cb96e863d505d3a2e908a87646acb,e36f5c79ad90ad57a4b7b50eb431bce404d0ed0acab1c1ad78e0fa3671b50c43,8f34846e07f067021c1b4dca746c764ae65d2a2ca7a5cca4e692eb8e19491f95
validation,mixed_profile_candidate,10,3516,1704,1812,4766,0034a3fe65ebdbfb76a482a83fd1c80fec9dc5748cc32ac56e3ffabb6440167d,21c631aade426e0732d9945864d86e7b2981c415665763b8e4f73a5564a7afba,1235c07950643f4697616be85c3acd7ea3024b66d3e99f279d29722efd9f8649
test,profile_A_control,10,9274,9274,0,11516,7ac9afc24411ed00d37f37ee1230cbd3853c54fbbca879954ef4d9da94e9ad10,db252e07753cec15f2149e70c7fa1c08c4b50e6f71d78d80e35ffeaf543df2ec,ed1eb28b113e2174fbc5336f880c4f77bf8b680f97e583e79c4059e2149aece7
test,profile_B_control,10,9274,0,9274,11546,766d01ca3cbc531cf52f6895c639b02ead42411e30ef6b12abfa40dfcdb7ecfb,1574fc7d83d0449f2715af17d7ca491799103b1988d7a13e0fd10df335c6d937,6e9df7e048d49a0197a6b43e17b2120f4ec536eb25db01b046256d0664ff6801
