phase,profile,horizon_h,family,scheduled,applied,exact,max_difference_m,original_input_sha256
validation,A,1,profile_A_control,6551,6511,True,0.0,11440b97f69c26b7d7fc4c18be411ad149ead42e532923daeff42ea943f78cec
validation,A,1,profile_B_control,6551,6511,True,0.0,11440b97f69c26b7d7fc4c18be411ad149ead42e532923daeff42ea943f78cec
validation,A,1,mixed_profile_candidate,6551,6511,True,0.0,11440b97f69c26b7d7fc4c18be411ad149ead42e532923daeff42ea943f78cec
validation,A,1,flood_weight_7m,6551,6511,True,0.0,11440b97f69c26b7d7fc4c18be411ad149ead42e532923daeff42ea943f78cec
validation,B,1,profile_A_control,6551,6521,True,0.0,82007cd2a3c8bfb0396a673d6ac44226786a296e06aabb6b7e1af8b78f807266
validation,B,1,profile_B_control,6551,6521,True,0.0,82007cd2a3c8bfb0396a673d6ac44226786a296e06aabb6b7e1af8b78f807266
validation,B,1,mixed_profile_candidate,6551,6521,True,0.0,82007cd2a3c8bfb0396a673d6ac44226786a296e06aabb6b7e1af8b78f807266
validation,B,1,flood_weight_7m,6551,6521,True,0.0,82007cd2a3c8bfb0396a673d6ac44226786a296e06aabb6b7e1af8b78f807266
test,A,1,profile_A_control,1967,1944,True,0.0,ed182f2885623efd1475b28840e02a514b6a5a6f63eb17b7257877084ea993dd
test,A,1,profile_B_control,1967,1944,True,0.0,ed182f2885623efd1475b28840e02a514b6a5a6f63eb17b7257877084ea993dd
test,A,1,mixed_profile_candidate,1967,1944,True,0.0,ed182f2885623efd1475b28840e02a514b6a5a6f63eb17b7257877084ea993dd
test,A,1,flood_weight_7m,1967,1944,True,0.0,ed182f2885623efd1475b28840e02a514b6a5a6f63eb17b7257877084ea993dd
test,B,1,profile_A_control,1967,1945,True,0.0,a2c992e7582f3c3ea93fee5776cbd19932e083f80a74af872dee0a53ea267dbc
test,B,1,profile_B_control,1967,1945,True,0.0,a2c992e7582f3c3ea93fee5776cbd19932e083f80a74af872dee0a53ea267dbc
test,B,1,mixed_profile_candidate,1967,1945,True,0.0,a2c992e7582f3c3ea93fee5776cbd19932e083f80a74af872dee0a53ea267dbc
test,B,1,flood_weight_7m,1967,1945,True,0.0,a2c992e7582f3c3ea93fee5776cbd19932e083f80a74af872dee0a53ea267dbc
validation,A,2,profile_A_control,6550,6510,True,0.0,f78186dfffe6ed7e475c3c46d37b08e60fb13ac2162976d6b18be7b780d59fd0
validation,A,2,profile_B_control,6550,6510,True,0.0,f78186dfffe6ed7e475c3c46d37b08e60fb13ac2162976d6b18be7b780d59fd0
validation,A,2,mixed_profile_candidate,6550,6510,True,0.0,f78186dfffe6ed7e475c3c46d37b08e60fb13ac2162976d6b18be7b780d59fd0
validation,A,2,flood_weight_7m,6550,6510,True,0.0,f78186dfffe6ed7e475c3c46d37b08e60fb13ac2162976d6b18be7b780d59fd0
validation,B,2,profile_A_control,6550,6520,True,0.0,306370a9ea575ac66458e2605931496e81a238b4fc57ddcc13fecb07180bf377
validation,B,2,profile_B_control,6550,6520,True,0.0,306370a9ea575ac66458e2605931496e81a238b4fc57ddcc13fecb07180bf377
validation,B,2,mixed_profile_candidate,6550,6520,True,0.0,306370a9ea575ac66458e2605931496e81a238b4fc57ddcc13fecb07180bf377
validation,B,2,flood_weight_7m,6550,6520,True,0.0,306370a9ea575ac66458e2605931496e81a238b4fc57ddcc13fecb07180bf377
test,A,2,profile_A_control,1966,1943,True,0.0,8cbe30a53baec34926f4cecbf7238971f9ff1c5003da28c899fd9ca18b18494b
test,A,2,profile_B_control,1966,1943,True,0.0,8cbe30a53baec34926f4cecbf7238971f9ff1c5003da28c899fd9ca18b18494b
test,A,2,mixed_profile_candidate,1966,1943,True,0.0,8cbe30a53baec34926f4cecbf7238971f9ff1c5003da28c899fd9ca18b18494b
test,A,2,flood_weight_7m,1966,1943,True,0.0,8cbe30a53baec34926f4cecbf7238971f9ff1c5003da28c899fd9ca18b18494b
test,B,2,profile_A_control,1966,1944,True,0.0,f7116dd9d386b014d3c25966f52a042df20f0c8589a5bb0f92efc1faba9019c9
test,B,2,profile_B_control,1966,1944,True,0.0,f7116dd9d386b014d3c25966f52a042df20f0c8589a5bb0f92efc1faba9019c9
test,B,2,mixed_profile_candidate,1966,1944,True,0.0,f7116dd9d386b014d3c25966f52a042df20f0c8589a5bb0f92efc1faba9019c9
test,B,2,flood_weight_7m,1966,1944,True,0.0,f7116dd9d386b014d3c25966f52a042df20f0c8589a5bb0f92efc1faba9019c9
validation,A,3,profile_A_control,6549,6509,True,0.0,7b3e2cc0b127cd9ff3bacf8bc0cdad1cb39affc09962df412ebba297984ff22f
validation,A,3,profile_B_control,6549,6509,True,0.0,7b3e2cc0b127cd9ff3bacf8bc0cdad1cb39affc09962df412ebba297984ff22f
validation,A,3,mixed_profile_candidate,6549,6509,True,0.0,7b3e2cc0b127cd9ff3bacf8bc0cdad1cb39affc09962df412ebba297984ff22f
validation,A,3,flood_weight_7m,6549,6509,True,0.0,7b3e2cc0b127cd9ff3bacf8bc0cdad1cb39affc09962df412ebba297984ff22f
validation,B,3,profile_A_control,6549,6519,True,0.0,613ab1bd6c7822cc8126af628e1ff237521c771057b6974ba416002b336f45d5
validation,B,3,profile_B_control,6549,6519,True,0.0,613ab1bd6c7822cc8126af628e1ff237521c771057b6974ba416002b336f45d5
validation,B,3,mixed_profile_candidate,6549,6519,True,0.0,613ab1bd6c7822cc8126af628e1ff237521c771057b6974ba416002b336f45d5
validation,B,3,flood_weight_7m,6549,6519,True,0.0,613ab1bd6c7822cc8126af628e1ff237521c771057b6974ba416002b336f45d5
test,A,3,profile_A_control,1965,1942,True,0.0,afde28cc314284b674a719bfd90b07329611c4f6bc0e6534c4fbf26dcbe36ed1
test,A,3,profile_B_control,1965,1942,True,0.0,afde28cc314284b674a719bfd90b07329611c4f6bc0e6534c4fbf26dcbe36ed1
test,A,3,mixed_profile_candidate,1965,1942,True,0.0,afde28cc314284b674a719bfd90b07329611c4f6bc0e6534c4fbf26dcbe36ed1
test,A,3,flood_weight_7m,1965,1942,True,0.0,afde28cc314284b674a719bfd90b07329611c4f6bc0e6534c4fbf26dcbe36ed1
test,B,3,profile_A_control,1965,1943,True,0.0,512cc8134e890fb2c0e06623d026f0d04ae18641f19894816b1697846a6f3091
test,B,3,profile_B_control,1965,1943,True,0.0,512cc8134e890fb2c0e06623d026f0d04ae18641f19894816b1697846a6f3091
test,B,3,mixed_profile_candidate,1965,1943,True,0.0,512cc8134e890fb2c0e06623d026f0d04ae18641f19894816b1697846a6f3091
test,B,3,flood_weight_7m,1965,1943,True,0.0,512cc8134e890fb2c0e06623d026f0d04ae18641f19894816b1697846a6f3091
validation,A,4,profile_A_control,6548,6508,True,0.0,1c597342c883e9c46171b73540767a09061314a735ca324cf8d66a277710d3e3
validation,A,4,profile_B_control,6548,6508,True,0.0,1c597342c883e9c46171b73540767a09061314a735ca324cf8d66a277710d3e3
validation,A,4,mixed_profile_candidate,6548,6508,True,0.0,1c597342c883e9c46171b73540767a09061314a735ca324cf8d66a277710d3e3
validation,A,4,flood_weight_7m,6548,6508,True,0.0,1c597342c883e9c46171b73540767a09061314a735ca324cf8d66a277710d3e3
validation,B,4,profile_A_control,6548,6518,True,0.0,e8fceefe3c6b0613148469a1faad114717a79d0ef703e381cbc4cda7af5ac4c1
validation,B,4,profile_B_control,6548,6518,True,0.0,e8fceefe3c6b0613148469a1faad114717a79d0ef703e381cbc4cda7af5ac4c1
validation,B,4,mixed_profile_candidate,6548,6518,True,0.0,e8fceefe3c6b0613148469a1faad114717a79d0ef703e381cbc4cda7af5ac4c1
validation,B,4,flood_weight_7m,6548,6518,True,0.0,e8fceefe3c6b0613148469a1faad114717a79d0ef703e381cbc4cda7af5ac4c1
test,A,4,profile_A_control,1964,1941,True,0.0,06efa866b5ef0a7c7a6976ef8c9cd248074dca58c2afc866d4b7b13e0277ce1a
test,A,4,profile_B_control,1964,1941,True,0.0,06efa866b5ef0a7c7a6976ef8c9cd248074dca58c2afc866d4b7b13e0277ce1a
test,A,4,mixed_profile_candidate,1964,1941,True,0.0,06efa866b5ef0a7c7a6976ef8c9cd248074dca58c2afc866d4b7b13e0277ce1a
test,A,4,flood_weight_7m,1964,1941,True,0.0,06efa866b5ef0a7c7a6976ef8c9cd248074dca58c2afc866d4b7b13e0277ce1a
test,B,4,profile_A_control,1964,1942,True,0.0,c5a56f91b74c7ab39824ef01ddd08cfa3c58126abbedf1c83386a996d8645e31
test,B,4,profile_B_control,1964,1942,True,0.0,c5a56f91b74c7ab39824ef01ddd08cfa3c58126abbedf1c83386a996d8645e31
test,B,4,mixed_profile_candidate,1964,1942,True,0.0,c5a56f91b74c7ab39824ef01ddd08cfa3c58126abbedf1c83386a996d8645e31
test,B,4,flood_weight_7m,1964,1942,True,0.0,c5a56f91b74c7ab39824ef01ddd08cfa3c58126abbedf1c83386a996d8645e31
validation,A,5,profile_A_control,6547,6507,True,0.0,ff457f1bab39509ca6754a741445611193b87676153cb67ac5f7a459582d57ac
validation,A,5,profile_B_control,6547,6507,True,0.0,ff457f1bab39509ca6754a741445611193b87676153cb67ac5f7a459582d57ac
validation,A,5,mixed_profile_candidate,6547,6507,True,0.0,ff457f1bab39509ca6754a741445611193b87676153cb67ac5f7a459582d57ac
validation,A,5,flood_weight_7m,6547,6507,True,0.0,ff457f1bab39509ca6754a741445611193b87676153cb67ac5f7a459582d57ac
validation,B,5,profile_A_control,6547,6517,True,0.0,0db75d26fb9bf16c65ba95b3948ecc02d6628bca21514343315d797f6328628e
validation,B,5,profile_B_control,6547,6517,True,0.0,0db75d26fb9bf16c65ba95b3948ecc02d6628bca21514343315d797f6328628e
validation,B,5,mixed_profile_candidate,6547,6517,True,0.0,0db75d26fb9bf16c65ba95b3948ecc02d6628bca21514343315d797f6328628e
validation,B,5,flood_weight_7m,6547,6517,True,0.0,0db75d26fb9bf16c65ba95b3948ecc02d6628bca21514343315d797f6328628e
test,A,5,profile_A_control,1963,1940,True,0.0,bac30ec1002980532894f6d913fffd81a47e5109c6c7decb825bfc54ecc03184
test,A,5,profile_B_control,1963,1940,True,0.0,bac30ec1002980532894f6d913fffd81a47e5109c6c7decb825bfc54ecc03184
test,A,5,mixed_profile_candidate,1963,1940,True,0.0,bac30ec1002980532894f6d913fffd81a47e5109c6c7decb825bfc54ecc03184
test,A,5,flood_weight_7m,1963,1940,True,0.0,bac30ec1002980532894f6d913fffd81a47e5109c6c7decb825bfc54ecc03184
test,B,5,profile_A_control,1963,1941,True,0.0,c6a2fbf53b879b7b7fab6d93c75d4b79c02fd53d9142d8cceee519e3683fb3d6
test,B,5,profile_B_control,1963,1941,True,0.0,c6a2fbf53b879b7b7fab6d93c75d4b79c02fd53d9142d8cceee519e3683fb3d6
test,B,5,mixed_profile_candidate,1963,1941,True,0.0,c6a2fbf53b879b7b7fab6d93c75d4b79c02fd53d9142d8cceee519e3683fb3d6
test,B,5,flood_weight_7m,1963,1941,True,0.0,c6a2fbf53b879b7b7fab6d93c75d4b79c02fd53d9142d8cceee519e3683fb3d6
validation,A,6,profile_A_control,6546,6506,True,0.0,759e7e4a3217e26143f4e40f709dbfdcf5874bc43bbc9c33a33d5d5da53b69c0
validation,A,6,profile_B_control,6546,6506,True,0.0,759e7e4a3217e26143f4e40f709dbfdcf5874bc43bbc9c33a33d5d5da53b69c0
validation,A,6,mixed_profile_candidate,6546,6506,True,0.0,759e7e4a3217e26143f4e40f709dbfdcf5874bc43bbc9c33a33d5d5da53b69c0
validation,A,6,flood_weight_7m,6546,6506,True,0.0,759e7e4a3217e26143f4e40f709dbfdcf5874bc43bbc9c33a33d5d5da53b69c0
validation,B,6,profile_A_control,6546,6516,True,0.0,b0c66a5138894dd668bc128ddfedf2b7abd7e9205d5beb78f027967207347e5d
validation,B,6,profile_B_control,6546,6516,True,0.0,b0c66a5138894dd668bc128ddfedf2b7abd7e9205d5beb78f027967207347e5d
validation,B,6,mixed_profile_candidate,6546,6516,True,0.0,b0c66a5138894dd668bc128ddfedf2b7abd7e9205d5beb78f027967207347e5d
validation,B,6,flood_weight_7m,6546,6516,True,0.0,b0c66a5138894dd668bc128ddfedf2b7abd7e9205d5beb78f027967207347e5d
test,A,6,profile_A_control,1962,1939,True,0.0,a1820a8101cf8bfcb62c9b8c60d1a487639b54bbec7427a220481e7598e290a0
test,A,6,profile_B_control,1962,1939,True,0.0,a1820a8101cf8bfcb62c9b8c60d1a487639b54bbec7427a220481e7598e290a0
test,A,6,mixed_profile_candidate,1962,1939,True,0.0,a1820a8101cf8bfcb62c9b8c60d1a487639b54bbec7427a220481e7598e290a0
test,A,6,flood_weight_7m,1962,1939,True,0.0,a1820a8101cf8bfcb62c9b8c60d1a487639b54bbec7427a220481e7598e290a0
test,B,6,profile_A_control,1962,1940,True,0.0,b0e419f321f15a8a60c9340a085db43e0fef03b558c9d145af86270d7bc30227
test,B,6,profile_B_control,1962,1940,True,0.0,b0e419f321f15a8a60c9340a085db43e0fef03b558c9d145af86270d7bc30227
test,B,6,mixed_profile_candidate,1962,1940,True,0.0,b0e419f321f15a8a60c9340a085db43e0fef03b558c9d145af86270d7bc30227
test,B,6,flood_weight_7m,1962,1940,True,0.0,b0e419f321f15a8a60c9340a085db43e0fef03b558c9d145af86270d7bc30227
validation,A,7,profile_A_control,6545,6505,True,0.0,c508eb3bd4e85bb2ff2a47aa76b851192e27b44bd2a47d97867270656ae5dd45
validation,A,7,profile_B_control,6545,6505,True,0.0,c508eb3bd4e85bb2ff2a47aa76b851192e27b44bd2a47d97867270656ae5dd45
validation,A,7,mixed_profile_candidate,6545,6505,True,0.0,c508eb3bd4e85bb2ff2a47aa76b851192e27b44bd2a47d97867270656ae5dd45
validation,A,7,flood_weight_7m,6545,6505,True,0.0,c508eb3bd4e85bb2ff2a47aa76b851192e27b44bd2a47d97867270656ae5dd45
validation,B,7,profile_A_control,6545,6515,True,0.0,a48d8df5c5338db1db6c51804285e7871e19562dea4961bec4aa2fcdc23b19f3
validation,B,7,profile_B_control,6545,6515,True,0.0,a48d8df5c5338db1db6c51804285e7871e19562dea4961bec4aa2fcdc23b19f3
validation,B,7,mixed_profile_candidate,6545,6515,True,0.0,a48d8df5c5338db1db6c51804285e7871e19562dea4961bec4aa2fcdc23b19f3
validation,B,7,flood_weight_7m,6545,6515,True,0.0,a48d8df5c5338db1db6c51804285e7871e19562dea4961bec4aa2fcdc23b19f3
test,A,7,profile_A_control,1961,1938,True,0.0,18be6be683ed47039dd4f77295261fd0f0f0bdf9c009a7c58061e3ab99867f42
test,A,7,profile_B_control,1961,1938,True,0.0,18be6be683ed47039dd4f77295261fd0f0f0bdf9c009a7c58061e3ab99867f42
test,A,7,mixed_profile_candidate,1961,1938,True,0.0,18be6be683ed47039dd4f77295261fd0f0f0bdf9c009a7c58061e3ab99867f42
test,A,7,flood_weight_7m,1961,1938,True,0.0,18be6be683ed47039dd4f77295261fd0f0f0bdf9c009a7c58061e3ab99867f42
test,B,7,profile_A_control,1961,1939,True,0.0,697805c9aed28580acdaf195c553d075747440fbb79a9292b70de04ee5c2abd7
test,B,7,profile_B_control,1961,1939,True,0.0,697805c9aed28580acdaf195c553d075747440fbb79a9292b70de04ee5c2abd7
test,B,7,mixed_profile_candidate,1961,1939,True,0.0,697805c9aed28580acdaf195c553d075747440fbb79a9292b70de04ee5c2abd7
test,B,7,flood_weight_7m,1961,1939,True,0.0,697805c9aed28580acdaf195c553d075747440fbb79a9292b70de04ee5c2abd7
validation,A,8,profile_A_control,6544,6504,True,0.0,75d451fbb5ac4d34d7e0cebc7bb263ab5324c29f81de7ffbfcdc2ef702f2b478
validation,A,8,profile_B_control,6544,6504,True,0.0,75d451fbb5ac4d34d7e0cebc7bb263ab5324c29f81de7ffbfcdc2ef702f2b478
validation,A,8,mixed_profile_candidate,6544,6504,True,0.0,75d451fbb5ac4d34d7e0cebc7bb263ab5324c29f81de7ffbfcdc2ef702f2b478
validation,A,8,flood_weight_7m,6544,6504,True,0.0,75d451fbb5ac4d34d7e0cebc7bb263ab5324c29f81de7ffbfcdc2ef702f2b478
validation,B,8,profile_A_control,6544,6514,True,0.0,395ea3bea8e3b513b483e7ecbacfc1c167629718c957f4c80b2934b75d0a5579
validation,B,8,profile_B_control,6544,6514,True,0.0,395ea3bea8e3b513b483e7ecbacfc1c167629718c957f4c80b2934b75d0a5579
validation,B,8,mixed_profile_candidate,6544,6514,True,0.0,395ea3bea8e3b513b483e7ecbacfc1c167629718c957f4c80b2934b75d0a5579
validation,B,8,flood_weight_7m,6544,6514,True,0.0,395ea3bea8e3b513b483e7ecbacfc1c167629718c957f4c80b2934b75d0a5579
test,A,8,profile_A_control,1960,1937,True,0.0,d4e152bd9cff66e562d37752db9e71084bcfe387bc27df62ba9fa2432935db3d
test,A,8,profile_B_control,1960,1937,True,0.0,d4e152bd9cff66e562d37752db9e71084bcfe387bc27df62ba9fa2432935db3d
test,A,8,mixed_profile_candidate,1960,1937,True,0.0,d4e152bd9cff66e562d37752db9e71084bcfe387bc27df62ba9fa2432935db3d
test,A,8,flood_weight_7m,1960,1937,True,0.0,d4e152bd9cff66e562d37752db9e71084bcfe387bc27df62ba9fa2432935db3d
test,B,8,profile_A_control,1960,1938,True,0.0,38016dc8407db39cdc964788fb9213a8cd1d7a0d9aae65bb202c36d44496b28e
test,B,8,profile_B_control,1960,1938,True,0.0,38016dc8407db39cdc964788fb9213a8cd1d7a0d9aae65bb202c36d44496b28e
test,B,8,mixed_profile_candidate,1960,1938,True,0.0,38016dc8407db39cdc964788fb9213a8cd1d7a0d9aae65bb202c36d44496b28e
test,B,8,flood_weight_7m,1960,1938,True,0.0,38016dc8407db39cdc964788fb9213a8cd1d7a0d9aae65bb202c36d44496b28e
validation,A,9,profile_A_control,6543,6503,True,0.0,f58189b20a40f61a67f29770a5e9143dadc7c74c76f18010ba2bf20c8e62231d
validation,A,9,profile_B_control,6543,6503,True,0.0,f58189b20a40f61a67f29770a5e9143dadc7c74c76f18010ba2bf20c8e62231d
validation,A,9,mixed_profile_candidate,6543,6503,True,0.0,f58189b20a40f61a67f29770a5e9143dadc7c74c76f18010ba2bf20c8e62231d
validation,A,9,flood_weight_7m,6543,6503,True,0.0,f58189b20a40f61a67f29770a5e9143dadc7c74c76f18010ba2bf20c8e62231d
validation,B,9,profile_A_control,6543,6513,True,0.0,4b278c2d5bb491ca0642ae3010c850bbaa5700e68a1d88bf326e84f09de7feff
validation,B,9,profile_B_control,6543,6513,True,0.0,4b278c2d5bb491ca0642ae3010c850bbaa5700e68a1d88bf326e84f09de7feff
validation,B,9,mixed_profile_candidate,6543,6513,True,0.0,4b278c2d5bb491ca0642ae3010c850bbaa5700e68a1d88bf326e84f09de7feff
validation,B,9,flood_weight_7m,6543,6513,True,0.0,4b278c2d5bb491ca0642ae3010c850bbaa5700e68a1d88bf326e84f09de7feff
test,A,9,profile_A_control,1959,1936,True,0.0,8612b06f26a6dbbebd7d9e88c9669c7a681df31836260a453d12721abce73062
test,A,9,profile_B_control,1959,1936,True,0.0,8612b06f26a6dbbebd7d9e88c9669c7a681df31836260a453d12721abce73062
test,A,9,mixed_profile_candidate,1959,1936,True,0.0,8612b06f26a6dbbebd7d9e88c9669c7a681df31836260a453d12721abce73062
test,A,9,flood_weight_7m,1959,1936,True,0.0,8612b06f26a6dbbebd7d9e88c9669c7a681df31836260a453d12721abce73062
test,B,9,profile_A_control,1959,1937,True,0.0,eb0f449658ccd43648ae032f411ea3248e0b361396900366ec6b056303efe72e
test,B,9,profile_B_control,1959,1937,True,0.0,eb0f449658ccd43648ae032f411ea3248e0b361396900366ec6b056303efe72e
test,B,9,mixed_profile_candidate,1959,1937,True,0.0,eb0f449658ccd43648ae032f411ea3248e0b361396900366ec6b056303efe72e
test,B,9,flood_weight_7m,1959,1937,True,0.0,eb0f449658ccd43648ae032f411ea3248e0b361396900366ec6b056303efe72e
validation,A,10,profile_A_control,6542,6502,True,0.0,6f9f3efc79008d44f439f2a23910f36f02a00eedc629459e03fabb3684fb373f
validation,A,10,profile_B_control,6542,6502,True,0.0,6f9f3efc79008d44f439f2a23910f36f02a00eedc629459e03fabb3684fb373f
validation,A,10,mixed_profile_candidate,6542,6502,True,0.0,6f9f3efc79008d44f439f2a23910f36f02a00eedc629459e03fabb3684fb373f
validation,A,10,flood_weight_7m,6542,6502,True,0.0,6f9f3efc79008d44f439f2a23910f36f02a00eedc629459e03fabb3684fb373f
validation,B,10,profile_A_control,6542,6512,True,0.0,300a7ec3710cdab9e9532500f548ba72f4333053374730bea5c29897e687241d
validation,B,10,profile_B_control,6542,6512,True,0.0,300a7ec3710cdab9e9532500f548ba72f4333053374730bea5c29897e687241d
validation,B,10,mixed_profile_candidate,6542,6512,True,0.0,300a7ec3710cdab9e9532500f548ba72f4333053374730bea5c29897e687241d
validation,B,10,flood_weight_7m,6542,6512,True,0.0,300a7ec3710cdab9e9532500f548ba72f4333053374730bea5c29897e687241d
test,A,10,profile_A_control,1958,1935,True,0.0,8799a0b2996b76b2b8861251dac7f6c7efffc15c76488dfc25de3313e22a76ac
test,A,10,profile_B_control,1958,1935,True,0.0,8799a0b2996b76b2b8861251dac7f6c7efffc15c76488dfc25de3313e22a76ac
test,A,10,mixed_profile_candidate,1958,1935,True,0.0,8799a0b2996b76b2b8861251dac7f6c7efffc15c76488dfc25de3313e22a76ac
test,A,10,flood_weight_7m,1958,1935,True,0.0,8799a0b2996b76b2b8861251dac7f6c7efffc15c76488dfc25de3313e22a76ac
test,B,10,profile_A_control,1958,1936,True,0.0,32e325f0cd5660b5aa251041f85b7bfde4f50a4bb728d9f982b45f2aa20ce8cb
test,B,10,profile_B_control,1958,1936,True,0.0,32e325f0cd5660b5aa251041f85b7bfde4f50a4bb728d9f982b45f2aa20ce8cb
test,B,10,mixed_profile_candidate,1958,1936,True,0.0,32e325f0cd5660b5aa251041f85b7bfde4f50a4bb728d9f982b45f2aa20ce8cb
test,B,10,flood_weight_7m,1958,1936,True,0.0,32e325f0cd5660b5aa251041f85b7bfde4f50a4bb728d9f982b45f2aa20ce8cb
validation,A,11,profile_A_control,6541,6501,True,0.0,39ce4ad0e0c893ae1148d26f53f994f9179cbcd626b724aad7afac9a48c0ebbd
validation,A,11,profile_B_control,6541,6501,True,0.0,39ce4ad0e0c893ae1148d26f53f994f9179cbcd626b724aad7afac9a48c0ebbd
validation,A,11,mixed_profile_candidate,6541,6501,True,0.0,39ce4ad0e0c893ae1148d26f53f994f9179cbcd626b724aad7afac9a48c0ebbd
validation,A,11,flood_weight_7m,6541,6501,True,0.0,39ce4ad0e0c893ae1148d26f53f994f9179cbcd626b724aad7afac9a48c0ebbd
validation,B,11,profile_A_control,6541,6511,True,0.0,35c2bd98ebe2ae31f10132b5a3070a960d106c7a0fe9ff35318aff7d84d7cc44
validation,B,11,profile_B_control,6541,6511,True,0.0,35c2bd98ebe2ae31f10132b5a3070a960d106c7a0fe9ff35318aff7d84d7cc44
validation,B,11,mixed_profile_candidate,6541,6511,True,0.0,35c2bd98ebe2ae31f10132b5a3070a960d106c7a0fe9ff35318aff7d84d7cc44
validation,B,11,flood_weight_7m,6541,6511,True,0.0,35c2bd98ebe2ae31f10132b5a3070a960d106c7a0fe9ff35318aff7d84d7cc44
test,A,11,profile_A_control,1957,1934,True,0.0,3c3cd68cd3aa053506fd6e21e5643a6553b014c96ff2a9e80ad2d87e35b92cd3
test,A,11,profile_B_control,1957,1934,True,0.0,3c3cd68cd3aa053506fd6e21e5643a6553b014c96ff2a9e80ad2d87e35b92cd3
test,A,11,mixed_profile_candidate,1957,1934,True,0.0,3c3cd68cd3aa053506fd6e21e5643a6553b014c96ff2a9e80ad2d87e35b92cd3
test,A,11,flood_weight_7m,1957,1934,True,0.0,3c3cd68cd3aa053506fd6e21e5643a6553b014c96ff2a9e80ad2d87e35b92cd3
test,B,11,profile_A_control,1957,1935,True,0.0,6793750164eb5ee94827e74c7e74b857af177341e70a5b199e897b99d1699da2
test,B,11,profile_B_control,1957,1935,True,0.0,6793750164eb5ee94827e74c7e74b857af177341e70a5b199e897b99d1699da2
test,B,11,mixed_profile_candidate,1957,1935,True,0.0,6793750164eb5ee94827e74c7e74b857af177341e70a5b199e897b99d1699da2
test,B,11,flood_weight_7m,1957,1935,True,0.0,6793750164eb5ee94827e74c7e74b857af177341e70a5b199e897b99d1699da2
validation,A,12,profile_A_control,6540,6500,True,0.0,a067b4426c6640792d9476fac91b02d52814dab49e6432bc02509d22491b0296
validation,A,12,profile_B_control,6540,6500,True,0.0,a067b4426c6640792d9476fac91b02d52814dab49e6432bc02509d22491b0296
validation,A,12,mixed_profile_candidate,6540,6500,True,0.0,a067b4426c6640792d9476fac91b02d52814dab49e6432bc02509d22491b0296
validation,A,12,flood_weight_7m,6540,6500,True,0.0,a067b4426c6640792d9476fac91b02d52814dab49e6432bc02509d22491b0296
validation,B,12,profile_A_control,6540,6510,True,0.0,f3ff6cec34c5f01e7a46480c5e84b82fbc37c690465be60051df9822a4b7a319
validation,B,12,profile_B_control,6540,6510,True,0.0,f3ff6cec34c5f01e7a46480c5e84b82fbc37c690465be60051df9822a4b7a319
validation,B,12,mixed_profile_candidate,6540,6510,True,0.0,f3ff6cec34c5f01e7a46480c5e84b82fbc37c690465be60051df9822a4b7a319
validation,B,12,flood_weight_7m,6540,6510,True,0.0,f3ff6cec34c5f01e7a46480c5e84b82fbc37c690465be60051df9822a4b7a319
test,A,12,profile_A_control,1956,1933,True,0.0,1b6d29b47c7ac14c617532d90d9edf7b579ab1bd0477266f7d5e91fd6b547539
test,A,12,profile_B_control,1956,1933,True,0.0,1b6d29b47c7ac14c617532d90d9edf7b579ab1bd0477266f7d5e91fd6b547539
test,A,12,mixed_profile_candidate,1956,1933,True,0.0,1b6d29b47c7ac14c617532d90d9edf7b579ab1bd0477266f7d5e91fd6b547539
test,A,12,flood_weight_7m,1956,1933,True,0.0,1b6d29b47c7ac14c617532d90d9edf7b579ab1bd0477266f7d5e91fd6b547539
test,B,12,profile_A_control,1956,1934,True,0.0,c8f817ce733e615ed931e108fbc6a2e095ac5bfdca26e36a62f1b52846d304e7
test,B,12,profile_B_control,1956,1934,True,0.0,c8f817ce733e615ed931e108fbc6a2e095ac5bfdca26e36a62f1b52846d304e7
test,B,12,mixed_profile_candidate,1956,1934,True,0.0,c8f817ce733e615ed931e108fbc6a2e095ac5bfdca26e36a62f1b52846d304e7
test,B,12,flood_weight_7m,1956,1934,True,0.0,c8f817ce733e615ed931e108fbc6a2e095ac5bfdca26e36a62f1b52846d304e7
