phase,horizon_h,rows,targets_below_7m,targets_7_to_9m,targets_ge_9m,old_weights_sum,new_weights_sum,increase,indices_sha256,responses_sha256,old_weights_sha256,new_weights_sha256,original_mixed_inputs_sha256
validation,1,3530,3373,59,98,3742,3860,118,3239b84edb9eeca5c9542fcacc48b11864430d0590bafd934fa461310dfbdcbb,735deacb3dedcf80cb4e7fc57775fd19e51f9be2a53700a04907278311d07760,8664ab986a693c3b965a85f7a0a0d996a231b0935e6fa3a815fe5d3f89737caa,7c68df4ab89d6e136d0e63f02ef32b1797942daa98d7b440be6206e81648d437,a64fc03bb1bd144709925a69db1fc6911f99b3f56e24ac635168d79dc2c692e6
test,1,9298,9113,84,101,9524,9692,168,edfc14e1172790ecf91ac70508f98a8e5217f88ed3d4f87efc651933ca9c2940,2a4531557d08ad9ae1abadffdf26ed251b2814ecf897b9e2659dc0eb04f6048f,badac6e46d50eb64e9741953a430201079a9f08769e9b356e0d30cb952217e05,640fcf70bccf67989df77a62cff9b3830dcafc5aced33e0b04def64f62bb401b,d334db3028560f8d2f75df9b99c47052e1c94dae8056a114c6ff40db89a9a5d4
validation,2,3528,3371,59,98,3800,3918,118,220b37d3258a1915beb90efb362b3a76a7b8132ae6666d96d44f2efdb66ed036,edefb3dc66da16ddc79e39b512a23d1083a4fb808c44b92b99b189bcf20e0802,d990a415e8452a39548d2c76a280056d1ff16d78f4006f8bc3153013eb6c9e5a,acf7a3df6ebe093dbefb1b8ce6c79bef3d87de128a5240bd653d6787beccdc70,f3b39ce4803582b575c9a344678433e2788cdcd096eab969fa592df6b196852a
test,2,9291,9106,84,101,9637,9805,168,5a14114e72f9e5c783e4c40ef06d0351bda6a81d57b4e24832c7580cf225461f,6d1064d0659d57c9c6ec7602bbd76c5b332c01bb5fd8e3a0676c06b18ee4a235,626362d15aa4926b1e2a0d638d3b42c3a4c9ecd86c99993d4ee70b1f03a07e91,faf6008681de274005c695d65d7e0daaf4daf06ebc3470c43f18a06dd9f9f214,7eff51fd397c724014d2bc7f16cf92f847814524631a18e2b8e17cf094da63a0
validation,3,3526,3369,59,98,3898,4016,118,7460dca64cc6e1dc74c36ccc4eb7340a56a47ae85a9e10fc5aa9a77aaa73f6e4,7f94098e605210e162069e9d54bfcdf3206da77bd45d3613e1f5794ce82bef15,0e55d5bcbf52f84b70a3ce8c507cc0d6d105b773c526fd7e59084ab128caa147,2839b52d6826274fd3bbfa50922e6849899c92db890b7f514e4a6eb5b9dcfefa,28f901c5447b99a4ef47c60d5bfa234031865b1c19ec222eeddf657bb988d951
test,3,9289,9104,84,101,9815,9983,168,e34811c83443e428d94e25bc2242e4f95b45401f398a40876b2cd45f1fbbcef5,e6e6eca143d870e17bf4259b0b00b822586784bbffe5ab956883c6c7e5d4669b,038112c0a40bb4f2d280c4fd99bf45057277179787cff231cb9f26fc14d9f24b,d0b5748e89c75fa1793b913d402100ec93933a5f851a852c570cbb13582452e6,1cee99e09184f4f7b0d14adeab11ec0d7c7c2d93d37f1f582f7c1eba8e41ce59
validation,4,3523,3366,60,97,4019,4139,120,facc8007dbbce171f8e5ddf2d3bde949df2f6edf7e5bbb4bc475e05a2880fd13,30a461113aeccdaec11ef33b8ecc2943d1724d698d3384480e510ba2c4a2d484,84f2c76752ddc7ecd8742b0270ad91081f5f817e7be0a4affbef0f889b13d8bc,172ec2f7fcb25ab4468a41055a0d142d585d7cebb7e321e656f5f6e06278326c,7e2d549a96981ba6b098f365ae7a1d7b62136f4a6b2a0a87837349c0cf89610f
test,4,9282,9097,85,100,10030,10200,170,1ac77574d0d3cb6ae1eeec40910dea969eb5a23436b23116524bfd1b011f859c,41f3e1877603792bdcfcb94751ee268a80082b3c4abd103bbf97e3397ce188a2,97574a11b401405b54213a2864d40a88b95b805b391889423c81485364ecdaef,1e18cd7179062162b9f41db4ab760d2ee3e54867fb9d03a23d01d5cba05fe8a3,90c820caabe898428015b3d57f9f7084b090434dcc7f41890c798e77a8002590
validation,5,3520,3362,61,97,4172,4294,122,d336f06464af89c28aeea02e383489013e1f06fb0a5fb345733ac17c044d044e,552b4ed12cd0edf9770abadbc5f1b868d651873e58c9856df4758a41024b9fe1,b6c2d9569838d62e27499bb92a80831b02c08d5fad35be846e05787af5089bd0,074aa005540992b10c948786b2d532c7bdce93f8bd0c2adccc456948b93e65ae,c2df826c55e1d3e42147215de4e041c253c8cd71393714e0f2f8110304b096a4
test,5,9280,9094,86,100,10368,10540,172,f7cdd0b25c22548603efbe87014dd8086e6bdb424741b0dfb88701b234545e9d,284174ab64bde8ae83e4372f78bfee7f6fc026a777492449c1ac2b7e6a4b22e7,d6b3de0e8a7f2e2d915246b2bf7d740d3aaaf4427e0f2e0230fdb696fefc1f78,22d97f2b2c21b940860a965ff304c626496dd949844bb7879fd104259c3a1b15,61d12227cd4806e76cc96be2d03ae0d5398bbd53912790d0c904adfba89d3906
