year,family,horizon_h,subset,changed_prediction_cells_with_observed_truth,hit_to_miss,miss_to_hit,net_hits_change,classification_changes,max_abs_prediction_difference_m
2021,control120,1,all,0,0,0,0,0,0.0
2021,control120,1,level_ge_7m,0,0,0,0,0,0.0
2021,control120,2,all,0,0,0,0,0,0.0
2021,control120,2,level_ge_7m,0,0,0,0,0,0.0
2021,control120,3,all,0,0,0,0,0,0.0
2021,control120,3,level_ge_7m,0,0,0,0,0,0.0
2021,control120,4,all,0,0,0,0,0,0.0
2021,control120,4,level_ge_7m,0,0,0,0,0,0.0
2021,control120,5,all,0,0,0,0,0,0.0
2021,control120,5,level_ge_7m,0,0,0,0,0,0.0
2021,control120,6,all,2,0,0,0,0,0.0014002480984895982
2021,control120,6,level_ge_7m,0,0,0,0,0,0.0
2021,control120,7,all,0,0,0,0,0,0.0
2021,control120,7,level_ge_7m,0,0,0,0,0,0.0
2021,control120,8,all,29,0,0,0,0,0.0049362193605118065
2021,control120,8,level_ge_7m,0,0,0,0,0,0.0
2021,control120,9,all,0,0,0,0,0,0.0
2021,control120,9,level_ge_7m,0,0,0,0,0,0.0
2021,control120,10,all,0,0,0,0,0,0.0
2021,control120,10,level_ge_7m,0,0,0,0,0,0.0
2021,control120,11,all,0,0,0,0,0,0.0
2021,control120,11,level_ge_7m,0,0,0,0,0,0.0
2021,control120,12,all,0,0,0,0,0,0.0
2021,control120,12,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,1,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,1,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,2,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,2,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,3,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,3,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,4,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,4,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,5,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,5,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,6,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,6,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,7,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,7,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,8,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,8,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,9,all,1,0,0,0,0,0.0010153673099813076
2021,candidate120_plus2020,9,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,10,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,10,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,11,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,11,level_ge_7m,0,0,0,0,0,0.0
2021,candidate120_plus2020,12,all,0,0,0,0,0,0.0
2021,candidate120_plus2020,12,level_ge_7m,0,0,0,0,0,0.0
2022,control120,1,all,0,0,0,0,0,0.0
2022,control120,1,level_ge_7m,0,0,0,0,0,0.0
2022,control120,2,all,5,0,0,0,0,0.004334278518310697
2022,control120,2,level_ge_7m,0,0,0,0,0,0.0
2022,control120,3,all,0,0,0,0,0,0.0
2022,control120,3,level_ge_7m,0,0,0,0,0,0.0
2022,control120,4,all,0,0,0,0,0,0.0
2022,control120,4,level_ge_7m,0,0,0,0,0,0.0
2022,control120,5,all,0,0,0,0,0,0.0
2022,control120,5,level_ge_7m,0,0,0,0,0,0.0
2022,control120,6,all,17,0,0,0,0,0.00140024809848871
2022,control120,6,level_ge_7m,1,0,0,0,0,0.00140024809848871
2022,control120,7,all,0,0,0,0,0,0.0
2022,control120,7,level_ge_7m,0,0,0,0,0,0.0
2022,control120,8,all,1,0,0,0,0,0.007178065508187004
2022,control120,8,level_ge_7m,1,0,0,0,0,0.007178065508187004
2022,control120,9,all,21,0,0,0,0,0.009208745523891615
2022,control120,9,level_ge_7m,6,0,0,0,0,0.009208745523891615
2022,control120,10,all,0,0,0,0,0,0.0
2022,control120,10,level_ge_7m,0,0,0,0,0,0.0
2022,control120,11,all,0,0,0,0,0,0.0
2022,control120,11,level_ge_7m,0,0,0,0,0,0.0
2022,control120,12,all,0,0,0,0,0,0.0
2022,control120,12,level_ge_7m,0,0,0,0,0,0.0
2022,candidate120_plus2020,1,all,1,0,0,0,0,0.0014584292728594406
2022,candidate120_plus2020,1,level_ge_7m,0,0,0,0,0,0.0
2022,candidate120_plus2020,2,all,0,0,0,0,0,0.0
2022,candidate120_plus2020,2,level_ge_7m,0,0,0,0,0,0.0
2022,candidate120_plus2020,3,all,2,0,0,0,0,0.0015021940116604071
2022,candidate120_plus2020,3,level_ge_7m,1,0,0,0,0,0.0015021940116604071
2022,candidate120_plus2020,4,all,1,0,0,0,0,0.029309651713141704
2022,candidate120_plus2020,4,level_ge_7m,1,0,0,0,0,0.029309651713141704
