year,origin,horizon_h,target_time,missing_base,missing_truth,actual_m,control_m,candidate_m
2022,2022-05-12T12:00:00-03:00,1,2022-05-12T13:00:00-03:00,True,False,3.03,,
2022,2022-05-23T13:00:00-03:00,1,2022-05-23T14:00:00-03:00,True,False,3.0,,
2022,2022-05-25T20:00:00-03:00,1,2022-05-25T21:00:00-03:00,True,False,2.86,,
2022,2022-06-05T20:00:00-03:00,1,2022-06-05T21:00:00-03:00,True,False,3.37,,
2022,2022-06-06T14:00:00-03:00,1,2022-06-06T15:00:00-03:00,False,True,,6.336099511856059,6.62100160040729
2022,2022-06-08T00:00:00-03:00,1,2022-06-08T01:00:00-03:00,True,False,9.22,,
2022,2022-05-12T12:00:00-03:00,2,2022-05-12T14:00:00-03:00,True,False,3.02,,
2022,2022-05-23T13:00:00-03:00,2,2022-05-23T15:00:00-03:00,True,False,2.99,,
2022,2022-05-25T20:00:00-03:00,2,2022-05-25T22:00:00-03:00,True,False,2.84,,
2022,2022-06-05T20:00:00-03:00,2,2022-06-05T22:00:00-03:00,True,False,3.38,,
2022,2022-06-06T13:00:00-03:00,2,2022-06-06T15:00:00-03:00,False,True,,5.887379797624277,5.955186693616237
2022,2022-06-08T00:00:00-03:00,2,2022-06-08T02:00:00-03:00,True,False,8.99,,
2022,2022-05-12T12:00:00-03:00,3,2022-05-12T15:00:00-03:00,True,False,3.02,,
2022,2022-05-23T13:00:00-03:00,3,2022-05-23T16:00:00-03:00,True,False,2.99,,
2022,2022-05-25T20:00:00-03:00,3,2022-05-25T23:00:00-03:00,True,False,2.81,,
2022,2022-06-05T20:00:00-03:00,3,2022-06-05T23:00:00-03:00,True,False,3.38,,
2022,2022-06-06T12:00:00-03:00,3,2022-06-06T15:00:00-03:00,False,True,,5.749936173705565,6.627307859676745
2022,2022-06-08T00:00:00-03:00,3,2022-06-08T03:00:00-03:00,True,False,8.81,,
2022,2022-05-12T12:00:00-03:00,4,2022-05-12T16:00:00-03:00,True,False,3.01,,
2022,2022-05-23T13:00:00-03:00,4,2022-05-23T17:00:00-03:00,True,False,2.98,,
2022,2022-05-25T20:00:00-03:00,4,2022-05-26T00:00:00-03:00,True,False,2.78,,
2022,2022-06-05T20:00:00-03:00,4,2022-06-06T00:00:00-03:00,True,False,3.38,,
2022,2022-06-06T11:00:00-03:00,4,2022-06-06T15:00:00-03:00,False,True,,5.455039747838437,6.808058572422832
