phase,profile,horizon_h,subset,partition,category,pairs,gained,lost,both_hit,both_miss,net_hits
test,A,1,all,known_trend,rising,339,0,0,335,4,0
test,A,1,all,known_trend,falling,466,0,0,466,0,0
test,A,1,all,known_trend,stable,1129,0,0,1127,2,0
test,A,1,all,known_trend,unknown,5,0,0,5,0,0
test,A,1,all,future_response,rising,96,0,0,92,4,0
test,A,1,all,future_response,falling,7,0,0,6,1,0
test,A,1,all,future_response,stable,1836,0,0,1835,1,0
test,A,1,all,future_response,unknown,0,0,0,0,0,0
test,A,1,level_ge_7m,known_trend,rising,65,0,0,61,4,0
test,A,1,level_ge_7m,known_trend,falling,88,0,0,88,0,0
test,A,1,level_ge_7m,known_trend,stable,82,0,0,81,1,0
test,A,1,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,A,1,level_ge_7m,future_response,rising,24,0,0,20,4,0
test,A,1,level_ge_7m,future_response,falling,7,0,0,6,1,0
test,A,1,level_ge_7m,future_response,stable,205,0,0,205,0,0
test,A,1,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,2,all,known_trend,rising,338,1,0,328,9,1
test,A,2,all,known_trend,falling,465,2,0,451,12,2
test,A,2,all,known_trend,stable,1128,7,3,1108,10,4
test,A,2,all,known_trend,unknown,5,0,0,5,0,0
test,A,2,all,future_response,rising,209,2,2,196,9,0
test,A,2,all,future_response,falling,82,0,0,78,4,0
test,A,2,all,future_response,stable,1645,8,1,1618,18,7
test,A,2,all,future_response,unknown,0,0,0,0,0,0
test,A,2,level_ge_7m,known_trend,rising,70,1,0,62,7,1
test,A,2,level_ge_7m,known_trend,falling,88,0,0,85,3,0
test,A,2,level_ge_7m,known_trend,stable,77,0,0,77,0,0
test,A,2,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,A,2,level_ge_7m,future_response,rising,40,0,0,34,6,0
test,A,2,level_ge_7m,future_response,falling,44,0,0,40,4,0
test,A,2,level_ge_7m,future_response,stable,152,1,0,151,0,1
test,A,2,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,3,all,known_trend,rising,336,2,3,311,20,-1
test,A,3,all,known_trend,falling,465,2,0,440,23,2
test,A,3,all,known_trend,stable,1127,0,0,1110,17,0
test,A,3,all,known_trend,unknown,5,0,0,5,0,0
test,A,3,all,future_response,rising,294,3,3,258,30,0
test,A,3,all,future_response,falling,266,0,0,259,7,0
test,A,3,all,future_response,stable,1373,1,0,1349,23,1
