phase,profile,horizon_h,family,subset,partition,scheduled_parent,classified_rows,observed_targets,unknown_truth
test,A,1,profile_A_control,all,known_trend,1967,1967,1944,23
test,A,1,profile_A_control,all,future_response,1967,1967,1944,23
test,A,1,profile_A_control,all,training_response_support,1967,1967,1944,23
test,A,1,profile_B_control,all,known_trend,1967,1967,1944,23
test,A,1,profile_B_control,all,future_response,1967,1967,1944,23
test,A,1,profile_B_control,all,training_response_support,1967,1967,1944,23
test,A,1,mixed_profile_candidate,all,known_trend,1967,1967,1944,23
test,A,1,mixed_profile_candidate,all,future_response,1967,1967,1944,23
test,A,1,mixed_profile_candidate,all,training_response_support,1967,1967,1944,23
test,A,1,age_mixed_candidate,all,known_trend,1967,1967,1944,23
test,A,1,age_mixed_candidate,all,future_response,1967,1967,1944,23
test,A,1,age_mixed_candidate,all,training_response_support,1967,1967,1944,23
test,A,1,profile_A_control,level_ge_7m,known_trend,1967,260,237,23
test,A,1,profile_A_control,level_ge_7m,future_response,1967,260,237,23
test,A,1,profile_A_control,level_ge_7m,training_response_support,1967,260,237,23
test,A,1,profile_B_control,level_ge_7m,known_trend,1967,260,237,23
test,A,1,profile_B_control,level_ge_7m,future_response,1967,260,237,23
test,A,1,profile_B_control,level_ge_7m,training_response_support,1967,260,237,23
test,A,1,mixed_profile_candidate,level_ge_7m,known_trend,1967,260,237,23
test,A,1,mixed_profile_candidate,level_ge_7m,future_response,1967,260,237,23
test,A,1,mixed_profile_candidate,level_ge_7m,training_response_support,1967,260,237,23
test,A,1,age_mixed_candidate,level_ge_7m,known_trend,1967,260,237,23
test,A,1,age_mixed_candidate,level_ge_7m,future_response,1967,260,237,23
test,A,1,age_mixed_candidate,level_ge_7m,training_response_support,1967,260,237,23
test,A,2,profile_A_control,all,known_trend,1966,1966,1943,23
test,A,2,profile_A_control,all,future_response,1966,1966,1943,23
test,A,2,profile_A_control,all,training_response_support,1966,1966,1943,23
test,A,2,profile_B_control,all,known_trend,1966,1966,1943,23
test,A,2,profile_B_control,all,future_response,1966,1966,1943,23
test,A,2,profile_B_control,all,training_response_support,1966,1966,1943,23
test,A,2,mixed_profile_candidate,all,known_trend,1966,1966,1943,23
test,A,2,mixed_profile_candidate,all,future_response,1966,1966,1943,23
test,A,2,mixed_profile_candidate,all,training_response_support,1966,1966,1943,23
test,A,2,age_mixed_candidate,all,known_trend,1966,1966,1943,23
test,A,2,age_mixed_candidate,all,future_response,1966,1966,1943,23
test,A,2,age_mixed_candidate,all,training_response_support,1966,1966,1943,23
test,A,2,profile_A_control,level_ge_7m,known_trend,1966,260,237,23
test,A,2,profile_A_control,level_ge_7m,future_response,1966,260,237,23
test,A,2,profile_A_control,level_ge_7m,training_response_support,1966,260,237,23
test,A,2,profile_B_control,level_ge_7m,known_trend,1966,260,237,23
test,A,2,profile_B_control,level_ge_7m,future_response,1966,260,237,23
test,A,2,profile_B_control,level_ge_7m,training_response_support,1966,260,237,23
test,A,2,mixed_profile_candidate,level_ge_7m,known_trend,1966,260,237,23
test,A,2,mixed_profile_candidate,level_ge_7m,future_response,1966,260,237,23
test,A,2,mixed_profile_candidate,level_ge_7m,training_response_support,1966,260,237,23
test,A,2,age_mixed_candidate,level_ge_7m,known_trend,1966,260,237,23
test,A,2,age_mixed_candidate,level_ge_7m,future_response,1966,260,237,23
test,A,2,age_mixed_candidate,level_ge_7m,training_response_support,1966,260,237,23
test,A,3,profile_A_control,all,known_trend,1965,1965,1942,23
test,A,3,profile_A_control,all,future_response,1965,1965,1942,23
test,A,3,profile_A_control,all,training_response_support,1965,1965,1942,23
test,A,3,profile_B_control,all,known_trend,1965,1965,1942,23
test,A,3,profile_B_control,all,future_response,1965,1965,1942,23
test,A,3,profile_B_control,all,training_response_support,1965,1965,1942,23
test,A,3,mixed_profile_candidate,all,known_trend,1965,1965,1942,23
test,A,3,mixed_profile_candidate,all,future_response,1965,1965,1942,23
test,A,3,mixed_profile_candidate,all,training_response_support,1965,1965,1942,23
test,A,3,age_mixed_candidate,all,known_trend,1965,1965,1942,23
test,A,3,age_mixed_candidate,all,future_response,1965,1965,1942,23
