phase,profile,horizon_h,subset,family,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,A,1,all,linear_trend_only,mixed_profile_candidate,1944,1939,5,1933,1930,-3,0.04783750593944735,0.04534173306413763,1.141419228155974,0.789395916295458
test,A,1,all,linear_trend_only,profile_A_control,1944,1939,5,1933,1930,-3,0.0371222429682849,0.04534173306413763,1.2985394062094997,0.789395916295458
test,A,1,all,linear_trend_hybrid,mixed_profile_candidate,1944,1939,5,1933,1936,3,0.04783750593944735,0.04339364762779993,1.141419228155974,0.9270085216329988
test,A,1,all,linear_trend_hybrid,profile_A_control,1944,1939,5,1933,1936,3,0.0371222429682849,0.04339364762779993,1.2985394062094997,0.9270085216329988
test,A,1,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,231,232,1,0.07625871051660717,0.05553054820195463,1.141419228155974,0.789395916295458
test,A,1,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,230,232,2,0.08365381495683401,0.05553054820195463,1.2985394062094997,0.789395916295458
test,A,1,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,231,233,2,0.07625871051660717,0.05735259308271931,1.141419228155974,0.9270085216329988
test,A,1,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,230,233,3,0.08365381495683401,0.05735259308271931,1.2985394062094997,0.9270085216329988
test,A,2,all,linear_trend_only,mixed_profile_candidate,1943,1936,7,1895,1891,-4,0.0875271938439811,0.0802045557182539,2.35798379080882,1.3287239150663588
test,A,2,all,linear_trend_only,profile_A_control,1943,1936,7,1915,1891,-24,0.06470988559156808,0.0802045557182539,2.430986906354253,1.3287239150663588
test,A,2,all,linear_trend_hybrid,mixed_profile_candidate,1943,1936,7,1895,1901,6,0.0875271938439811,0.08557207636592938,2.35798379080882,1.1029253811259956
test,A,2,all,linear_trend_hybrid,profile_A_control,1943,1936,7,1915,1901,-14,0.06470988559156808,0.08557207636592938,2.430986906354253,1.1029253811259956
test,A,2,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,225,229,4,0.13368154358694637,0.11144793215390529,2.35798379080882,1.3287239150663588
test,A,2,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,225,229,4,0.1420297534699279,0.11144793215390529,2.430986906354253,1.3287239150663588
test,A,2,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,225,228,3,0.13368154358694637,0.10867535554257916,2.35798379080882,1.1029253811259956
test,A,2,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,225,228,3,0.1420297534699279,0.10867535554257916,2.430986906354253,1.1029253811259956
test,A,3,all,linear_trend_only,mixed_profile_candidate,1942,1933,9,1869,1866,-3,0.11088536147545171,0.11138512621226969,3.5417724438313964,2.097196714472455
test,A,3,all,linear_trend_only,profile_A_control,1942,1933,9,1896,1866,-30,0.08858410963828463,0.11138512621226969,3.8502978392165037,2.097196714472455
test,A,3,all,linear_trend_hybrid,mixed_profile_candidate,1942,1933,9,1869,1883,14,0.11088536147545171,0.10754173650608881,3.5417724438313964,1.7044724619281792
test,A,3,all,linear_trend_hybrid,profile_A_control,1942,1933,9,1896,1883,-13,0.08858410963828463,0.10754173650608881,3.8502978392165037,1.7044724619281792
test,A,3,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,211,220,9,0.23103349561199366,0.19987563227588045,3.5417724438313964,2.097196714472455
test,A,3,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,210,220,10,0.2532196871530062,0.19987563227588045,3.8502978392165037,2.097196714472455
test,A,3,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,211,219,8,0.23103349561199366,0.17371479796714578,3.5417724438313964,1.7044724619281792
test,A,3,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,210,219,9,0.2532196871530062,0.17371479796714578,3.8502978392165037,1.7044724619281792
test,A,4,all,linear_trend_only,mixed_profile_candidate,1941,1931,10,1864,1837,-27,0.13045457157932483,0.14724055062542987,4.7455033562984505,2.9980843110809836
test,A,4,all,linear_trend_only,profile_A_control,1941,1931,10,1878,1837,-41,0.11497979365427792,0.14724055062542987,4.579107233006882,2.9980843110809836
test,A,4,all,linear_trend_hybrid,mixed_profile_candidate,1941,1931,10,1864,1857,-7,0.13045457157932483,0.12654645947675466,4.7455033562984505,2.524798278141498
test,A,4,all,linear_trend_hybrid,profile_A_control,1941,1931,10,1878,1857,-21,0.11497979365427792,0.12654645947675466,4.579107233006882,2.524798278141498
test,A,4,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,199,202,3,0.36092812417098286,0.3220706244528171,4.7455033562984505,2.9980843110809836
test,A,4,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,199,202,3,0.34447883082737046,0.3220706244528171,4.579107233006882,2.9980843110809836
test,A,4,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,199,200,1,0.36092812417098286,0.26300593381205245,4.7455033562984505,2.524798278141498
test,A,4,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,199,200,1,0.34447883082737046,0.26300593381205245,4.579107233006882,2.524798278141498
test,A,5,all,linear_trend_only,mixed_profile_candidate,1940,1929,11,1845,1806,-39,0.1592206798094355,0.196757962077808,5.4406707406415205,3.9500317569155943
test,A,5,all,linear_trend_only,profile_A_control,1940,1929,11,1856,1806,-50,0.1529170486007049,0.196757962077808,5.585721334594157,3.9500317569155943
test,A,5,all,linear_trend_hybrid,mixed_profile_candidate,1940,1929,11,1845,1840,-5,0.1592206798094355,0.15506749817240917,5.4406707406415205,3.135079294508719
test,A,5,all,linear_trend_hybrid,profile_A_control,1940,1929,11,1856,1840,-16,0.1529170486007049,0.15506749817240917,5.585721334594157,3.135079294508719
test,A,5,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,178,169,-9,0.4876970563733857,0.46988661632187917,5.4406707406415205,3.9500317569155943
test,A,5,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,182,169,-13,0.48868542525858694,0.46988661632187917,5.585721334594157,3.9500317569155943
test,A,5,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,178,179,1,0.4876970563733857,0.3612412512673785,5.4406707406415205,3.135079294508719
test,A,5,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,182,179,-3,0.48868542525858694,0.3612412512673785,5.585721334594157,3.135079294508719
test,A,6,all,linear_trend_only,mixed_profile_candidate,1939,1927,12,1780,1674,-106,0.2079324272093252,0.2595549675358975,6.299646491687942,5.020349448282318
test,A,6,all,linear_trend_only,profile_A_control,1939,1927,12,1772,1674,-98,0.20405372470450728,0.2595549675358975,6.383213756919677,5.020349448282318
test,A,6,all,linear_trend_hybrid,mixed_profile_candidate,1939,1927,12,1780,1776,-4,0.2079324272093252,0.19704682015118394,6.299646491687942,4.080085735119627
test,A,6,all,linear_trend_hybrid,profile_A_control,1939,1927,12,1772,1776,4,0.20405372470450728,0.19704682015118394,6.383213756919677,4.080085735119627
test,A,6,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,170,128,-42,0.6021107824295977,0.6145292017881232,6.299646491687942,5.020349448282318
test,A,6,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,162,128,-34,0.6129362573306584,0.6145292017881232,6.383213756919677,5.020349448282318
test,A,6,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,170,165,-5,0.6021107824295977,0.45127683942966385,6.299646491687942,4.080085735119627
test,A,6,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,162,165,3,0.6129362573306584,0.45127683942966385,6.383213756919677,4.080085735119627
test,A,7,all,linear_trend_only,mixed_profile_candidate,1938,1925,13,1690,1482,-208,0.25477754180124057,0.34042271323822715,5.194583557487675,6.407720144776622
test,A,7,all,linear_trend_only,profile_A_control,1938,1925,13,1704,1482,-222,0.2521091968617542,0.34042271323822715,5.0700479704763755,6.407720144776622
test,A,7,all,linear_trend_hybrid,mixed_profile_candidate,1938,1925,13,1690,1704,14,0.25477754180124057,0.24683327039155997,5.194583557487675,4.660265469511605
test,A,7,all,linear_trend_hybrid,profile_A_control,1938,1925,13,1704,1704,0,0.2521091968617542,0.24683327039155997,5.0700479704763755,4.660265469511605
test,A,7,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,130,105,-25,0.6714841295708656,0.7654885275453609,5.194583557487675,6.407720144776622
test,A,7,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,145,105,-40,0.6506872082151711,0.7654885275453609,5.0700479704763755,6.407720144776622
test,A,7,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,130,150,20,0.6714841295708656,0.5184529483582617,5.194583557487675,4.660265469511605
test,A,7,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,145,150,5,0.6506872082151711,0.5184529483582617,5.0700479704763755,4.660265469511605
test,A,8,all,linear_trend_only,mixed_profile_candidate,1937,1923,14,1606,1301,-305,0.3173513626884042,0.4348150722518543,5.45787612304345,7.491231646929507
test,A,8,all,linear_trend_only,profile_A_control,1937,1923,14,1627,1301,-326,0.30666637100702215,0.4348150722518543,5.604734107449106,7.491231646929507
test,A,8,all,linear_trend_hybrid,mixed_profile_candidate,1937,1923,14,1606,1609,3,0.3173513626884042,0.30866415112537826,5.45787612304345,5.596733140622106
test,A,8,all,linear_trend_hybrid,profile_A_control,1937,1923,14,1627,1609,-18,0.30666637100702215,0.30866415112537826,5.604734107449106,5.596733140622106
test,A,8,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,121,87,-34,0.7751780529783651,0.9306736196338696,5.45787612304345,7.491231646929507
test,A,8,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,133,87,-46,0.755319244918544,0.9306736196338696,5.604734107449106,7.491231646929507
test,A,8,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,121,141,20,0.7751780529783651,0.6010282539388198,5.45787612304345,5.596733140622106
test,A,8,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,133,141,8,0.755319244918544,0.6010282539388198,5.604734107449106,5.596733140622106
test,A,9,all,linear_trend_only,mixed_profile_candidate,1936,1921,15,1505,1118,-387,0.3855620418678308,0.536060010277933,6.118445629477499,8.353094084907724
test,A,9,all,linear_trend_only,profile_A_control,1936,1921,15,1508,1118,-390,0.37776859764541687,0.536060010277933,6.290140102551524,8.353094084907724
test,A,9,all,linear_trend_hybrid,mixed_profile_candidate,1936,1921,15,1505,1500,-5,0.3855620418678308,0.36335213530933397,6.118445629477499,6.205871188459708
test,A,9,all,linear_trend_hybrid,profile_A_control,1936,1921,15,1508,1500,-8,0.37776859764541687,0.36335213530933397,6.290140102551524,6.205871188459708
test,A,9,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,113,69,-44,0.9356992478883963,1.1220232484190218,6.118445629477499,8.353094084907724
test,A,9,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,110,69,-41,0.9219381059929672,1.1220232484190218,6.290140102551524,8.353094084907724
