phase,profile,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,A,1,full_schedule,all,profile_A_control,1967,23,1944,1939,5,1933,0.9969056214543579,0.9943415637860082,0.0371222429682849,0.00031574249549438574,0.21510511095232232,1.2985394062094997
test,A,1,full_schedule,all,profile_B_control,1967,23,1944,1939,5,1912,0.9860752965446106,0.9835390946502057,0.06303231581576944,0.00544372362743687,0.40312457464527224,1.1376505785463262
test,A,1,full_schedule,all,mixed_profile_candidate,1967,23,1944,1939,5,1933,0.9969056214543579,0.9943415637860082,0.04783750593944735,0.0016042383445942052,0.30354887951476256,1.141419228155974
test,A,1,full_schedule,all,linear_trend_only,1967,23,1944,1939,5,1930,0.9953584321815369,0.992798353909465,0.04534173306413763,0.00015899494276810076,0.277767721213973,0.789395916295458
test,A,1,full_schedule,all,linear_trend_hybrid,1967,23,1944,1939,5,1936,0.998452810727179,0.9958847736625515,0.04339364762779993,0.001126962630680864,0.2626729871379985,0.9270085216329988
test,A,1,full_schedule,level_ge_7m,profile_A_control,1967,23,237,236,1,230,0.9745762711864406,0.9704641350210971,0.08365381495683401,0.004328512216800681,0.5373691728450916,1.2985394062094997
test,A,1,full_schedule,level_ge_7m,profile_B_control,1967,23,237,236,1,231,0.9788135593220338,0.9746835443037974,0.0775943146177403,-0.0030883871545847098,0.4773267779115205,1.1376505785463262
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,1967,23,237,236,1,231,0.9788135593220338,0.9746835443037974,0.07625871051660717,0.005757975327753496,0.4563071747801155,1.141419228155974
test,A,1,full_schedule,level_ge_7m,linear_trend_only,1967,23,237,236,1,232,0.9830508474576272,0.9789029535864979,0.05553054820195463,0.015350322833305757,0.2705135787286755,0.789395916295458
test,A,1,full_schedule,level_ge_7m,linear_trend_hybrid,1967,23,237,236,1,233,0.9872881355932204,0.9831223628691983,0.05735259308271931,0.007838811479446407,0.38359569873347404,0.9270085216329988
test,A,1,complete24,all,profile_A_control,1353,3,1350,1350,0,1350,1.0,1.0,0.0304847864407132,0.0010034537392053463,0.16552146689464775,0.4271823756500037
test,A,1,complete24,all,profile_B_control,1353,3,1350,1350,0,1337,0.9903703703703703,0.9903703703703703,0.05900560993384436,0.005716792611886191,0.3787469497620109,0.6468784824758886
test,A,1,complete24,all,mixed_profile_candidate,1353,3,1350,1350,0,1350,1.0,1.0,0.04312327604488985,0.0010444003423434212,0.26588508970708497,0.4769284998001275
test,A,1,complete24,all,linear_trend_only,1353,3,1350,1350,0,1348,0.9985185185185185,0.9985185185185185,0.03944593765718386,-0.0005582523878761329,0.20896939658939645,0.6042693445050871
test,A,1,complete24,all,linear_trend_hybrid,1353,3,1350,1350,0,1350,1.0,1.0,0.042481120539532964,-0.0007287430486729236,0.23927491028152414,0.4144015818014508
test,A,1,complete24,level_ge_7m,profile_A_control,1353,3,144,144,0,144,1.0,1.0,0.055442801166581394,0.00919925049033519,0.24315126317165353,0.41233080449643644
test,A,1,complete24,level_ge_7m,profile_B_control,1353,3,144,144,0,144,1.0,1.0,0.058889196649375565,-0.0003785530509610477,0.3782499166329646,0.4303116973062888
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,1353,3,144,144,0,144,1.0,1.0,0.04882486232682682,0.006183181671581168,0.3025030817446567,0.3813849950539048
test,A,1,complete24,level_ge_7m,linear_trend_only,1353,3,144,144,0,144,1.0,1.0,0.040526283321768775,0.007596413099771709,0.16586821079626118,0.19713324754407324
test,A,1,complete24,level_ge_7m,linear_trend_hybrid,1353,3,144,144,0,144,1.0,1.0,0.04300901457822262,2.594809325963861e-05,0.22947810139738778,0.3019052016470454
test,A,1,missing24,all,profile_A_control,614,20,594,589,5,583,0.9898132427843803,0.9814814814814815,0.05233542855779558,-0.001260505686186085,0.30304356193663556,1.2985394062094997
test,A,1,missing24,all,profile_B_control,614,20,594,589,5,575,0.9762308998302207,0.968013468013468,0.07226160773529214,0.004817843951704128,0.549141731456145,1.1376505785463262
test,A,1,missing24,all,mixed_profile_candidate,614,20,594,589,5,583,0.9898132427843803,0.9814814814814815,0.05864261690320395,0.0028873984516206205,0.3450497054481585,1.141419228155974
test,A,1,missing24,all,linear_trend_only,614,20,594,589,5,582,0.9881154499151104,0.9797979797979798,0.0588550162549485,0.001802940437453526,0.40798947682000397,0.789395916295458
test,A,1,missing24,all,linear_trend_hybrid,614,20,594,589,5,586,0.9949066213921901,0.9865319865319865,0.04548517830549163,0.005380277855006185,0.3133265046729254,0.9270085216329988
test,A,1,missing24,level_ge_7m,profile_A_control,614,20,93,92,1,86,0.9347826086956522,0.9247311827956989,0.1278101843676642,-0.003295252037427247,0.9799900488125015,1.2985394062094997
test,A,1,missing24,level_ge_7m,profile_B_control,614,20,93,92,1,87,0.9456521739130435,0.9354838709677419,0.10687189056822423,-0.007329866621126094,0.8088713084859145,1.1376505785463262
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,614,20,93,92,1,87,0.9456521739130435,0.9354838709677419,0.11919864681365469,0.005092434963501487,0.8242910444531536,1.141419228155974
test,A,1,missing24,level_ge_7m,linear_trend_only,614,20,93,92,1,88,0.9565217391304348,0.946236559139785,0.07901548453615857,0.02748687719883731,0.6722806154017643,0.789395916295458
test,A,1,missing24,level_ge_7m,linear_trend_hybrid,614,20,93,92,1,89,0.967391304347826,0.956989247311828,0.07980341161149673,0.020067641127390914,0.7076814202885171,0.9270085216329988
